player,player_handle,season_from,season_to,team_from,team_from_name,team_to,team_to_name,has_transaction,player_match_score,txn_player_matched,txn_date,txn_type,txn_team_raw,txn_team_abbrev,team_abbrev_match,txn_raw,near_miss_player,near_miss_score,near_miss_date,near_miss_raw
B.A. Dickey,,6,7,SUN,Sunnydale Slayers,HFX,Halifax Helmsmen,Y,1.0,P B.A. Dickey,2022-05-16,sign,Halifax Highlanders,HFX,Y,"**Transactions effective Session 10**

we'll organize this by team...

:Waverunners: Malibu Waverunners sign 1B/UTIL **R",,,,
B.A. Dickey,,7,8,HFX,Halifax Helmsmen,BFB,Blubs Bay Flappy Bois,Y,1.0,P B.A. Dickey,2022-08-29,sign,Blubs Bay Flappy Bois,BFB,Y,:FlappyBois: Blubs Bay Flappy Bois sign P **B.A. Dickey**,,,,
Babatunde Oladotun,baba,1,2,KYM,Kentucky Mashers,SHH,Sleepy Hollow Horsemen,Y,1.0,Baba,2018-12-02,draft,Sleepy Hollow Horsemen,SHH,Y,"With the third pick in the Season 2 Draft, the Sleepy Hollow Horsemen select @Baba.",,,,
Babatunde Oladotun,baba,2,3,SHH,Sleepy Hollow Horsemen,POR,Portland Pioneers,Y,1.0,Baba,2018-12-02,draft,Sleepy Hollow Horsemen,SHH,N,"With the third pick in the Season 2 Draft, the Sleepy Hollow Horsemen select @Baba.",,,,
Babatunde Oladotun,baba,3,4,POR,Portland Pioneers,REK,Reykjavik Valkyries,N,0.516,Brandon Blade,2020-09-23,sign,Rhinos,,N,:Rhinos: sign **Brandon Blade**,Brandon Blade,0.516,2020-09-23,:Rhinos: sign **Brandon Blade**
Babatunde Oladotun,baba,6,7,OO,Oslo Otters,ACP,Acadia Peregrines,Y,1.0,Pitcher Babatunde Oladotun,2022-01-18,sign,Acadia Peregrines,ACP,Y,:Peregrines: Acadia Peregrines sign Pitcher **Babatunde Oladotun**,,,,
Barney Summers,,2,3,LPJ,Lonestar Pumpjacks,GRZ,Ursa Major Grizzlies,N,0.6,barnes,2019-07-23,draft,Malibu Waverunners,,N,With the 28th pick the Malibu Waverunners select @barnes,barnes,0.6,2019-07-23,With the 28th pick the Malibu Waverunners select @barnes
Barney Summers,,3,4,GRZ,Ursa Major Grizzlies,ACP,Acadia Peregrines,N,0.615,Baron Samedi,2020-09-21,sign,FlappyBois,,N,":BBG:  sign **Release T. Kraken**
:Rhinos:  sign **Harry Peritestes**
:McDophers:  sign **Thomas Nova**
:Helmsmen:  sign",Baron Samedi,0.615,2020-09-21,":BBG:  sign **Release T. Kraken**
:Rhinos:  sign **Harry Peritestes**
:McDophers:  sign **Thomas Nova**
:Helmsmen:  sign"
Barney Turbo,barn | melon #95,2,3,SUN,Sunnydale Slayers,GRZ,Ursa Major Grizzlies,N,0.556,barnes,2019-07-23,draft,Malibu Waverunners,,N,With the 28th pick the Malibu Waverunners select @barnes,barnes,0.556,2019-07-23,With the 28th pick the Malibu Waverunners select @barnes
Barney Turbo,barn | melon #95,3,4,GRZ,Ursa Major Grizzlies,BUF,Buffalo Bullfrogs,N,0.56,Rickey Tucker,2020-09-21,sign,Gorillas,,N,:Gorillas: sign **Rickey Tucker**,Rickey Tucker,0.56,2020-09-21,:Gorillas: sign **Rickey Tucker**
Barney Turbo,barn | melon #95,6,7,BUF,Buffalo Bullfrogs,REK,Reykjavik Valkyries,Y,1.0,Right Fielder Barney Turbo,2022-01-18,sign,Reykjavik Valkyries,REK,Y,:valkyries: Reykjavik Valkyries sign Right Fielder **Barney Turbo**,,,,
Barney Turbo,barn | melon #95,7,12,REK,Reykjavik Valkyries,HMH,Humongous Melonheads,N,0.64,Harvey Burton,2025-07-20,draft,Argentina Beef,,N,":ArgentinaBeef: With the 98th overall pick in the WNC Draft, the Argentina Beef select **Harvey Burton**",Harvey Burton,0.64,2025-07-20,":ArgentinaBeef: With the 98th overall pick in the WNC Draft, the Argentina Beef select **Harvey Burton**"
Baron Samedi,,4,5,ACP,Acadia Peregrines,BFB,Blubs Bay Flappy Bois,Y,1.0,Baron Samedi,2020-09-21,sign,FlappyBois,BFB,Y,":BBG:  sign **Release T. Kraken**
:Rhinos:  sign **Harry Peritestes**
:McDophers:  sign **Thomas Nova**
:Helmsmen:  sign",,,,
Baron Samedi,,8,9,BFB,Blubs Bay Flappy Bois,ASS,Aruba Sea Serpents,Y,1.0,2B Baron Samedi,2023-05-08,sign,SeaSerpents,ASS,Y,:SeaSerpents: sign 2B **Baron Samedi**,,,,
Bartholomew Crumblepuff,bartholomew crumblepuff,5,6,GHG,Gas House Gorillas,SMD,Sopher McDophers,N,0.719,The Real Cope and Bartholomew Crumblepuff,2021-04-28,draft,Finland,,N,":finland: With the 144th and 145th picks in the WNC draft, Finland selects @The Real Cope and @Bartholomew Crumblepuff",The Real Cope and Bartholomew Crumblepuff,0.719,2021-04-28,":finland: With the 144th and 145th picks in the WNC draft, Finland selects @The Real Cope and @Bartholomew Crumblepuff"
Base Ventura,,2,3,KYM,Kentucky Mashers,BBG,Baldur's Gate Beholders,N,0.462,Master Cashier,2018-11-28,sign,The Sunnydale Slayers,,N,The Sunnydale Slayers sign Master Cashier,Master Cashier,0.462,2018-11-28,The Sunnydale Slayers sign Master Cashier
Basebally McBaseballface Jr.,,1,2,BFB,Blubs Bay Flappy Bois,CIN,Cincinnati Longhorns,N,0.439,Master Cashier,2018-11-28,sign,The Sunnydale Slayers,,N,The Sunnydale Slayers sign Master Cashier,Master Cashier,0.439,2018-11-28,The Sunnydale Slayers sign Master Cashier
Basebally McBaseballface Jr.,,2,3,CIN,Cincinnati Longhorns,ACP,Acadia Peregrines,N,0.439,Master Cashier,2018-11-28,sign,The Sunnydale Slayers,,N,The Sunnydale Slayers sign Master Cashier,Master Cashier,0.439,2018-11-28,The Sunnydale Slayers sign Master Cashier
Basebally McBaseballface Jr.,,3,4,ACP,Acadia Peregrines,GRZ,Ursa Major Grizzlies,N,0.409,Chevalier Mal Fet,2019-07-23,draft,Portland Pioneers,,N,With the 31st pick the Portland Pioneers select @Chevalier Mal Fet,Chevalier Mal Fet,0.409,2019-07-23,With the 31st pick the Portland Pioneers select @Chevalier Mal Fet
Basethony Balltano,,5,6,SMD,Sopher McDophers,POR,Portland Pioneers,Y,1.0,Basethony Balltano,2021-06-17,sign,Pioneers,POR,Y,:Pioneers: sign **Basethony Balltano** (C/COF),,,,
Basethony Balltano,,6,7,POR,Portland Pioneers,ASS,Aruba Sea Serpents,Y,1.0,Catcher Basethony Balltano,2022-01-23,sign,Aruba Sea Serpents,ASS,Y,:Serpents: Aruba Sea Serpents sign Catcher **Basethony Balltano**,,,,
Basethony Balltano,,7,12,ASS,Aruba Sea Serpents,REK,Reykjavik Valkyries,Y,1.0,Basethony Balltano,2025-09-20,draft,Reykjavik Valkyries,REK,Y,":REK: With the 6th overall pick of the S12 MLN Draft, the *Reykjavik Valkyries* select **Basethony Balltano**",,,,
Basil,,11,12,SUN,Sunnydale Slayers,ACP,Acadia Peregrines,N,0.5,LF Six,2024-10-03,sign,Carolina Reapers,,N,:CAR: Carolina Reapers sign LF **Six**,LF Six,0.5,2024-10-03,:CAR: Carolina Reapers sign LF **Six**
Ben Bramly,ben bramly,8,12,BFB,Blubs Bay Flappy Bois,ACP,Acadia Peregrines,N,0.522,Bleak Trailer,2024-10-06,draft,Sopher McDophers,,N,":SMD: With the fourteenth overall pick in the S11 MLN Draft, the *Sopher McDophers* select RF **Bleak Trailer**",Bleak Trailer,0.522,2024-10-06,":SMD: With the fourteenth overall pick in the S11 MLN Draft, the *Sopher McDophers* select RF **Bleak Trailer**"
Berna Pozo,"berna ""no longer"" pozo 🇵🇦 🇬🇧",1,2,MAL,Malibu Waverunners,CIN,Cincinnati Longhorns,N,0.476,CGorzo,2018-12-02,draft,Vancouver Vampires,,N,"With the thirty eighth pick in the Season 2 Draft, the Vancouver Vampires select @CGorzo",CGorzo,0.476,2018-12-02,"With the thirty eighth pick in the Season 2 Draft, the Vancouver Vampires select @CGorzo"
Berna Pozo,"berna ""no longer"" pozo 🇵🇦 🇬🇧",4,5,CIN,Cincinnati Longhorns,HFX,Halifax Helmsmen,Y,1.0,Berna Pozo,2020-09-23,sign,Helmsmen,HFX,Y,:Helmsmen: sign **Berna Pozo**,,,,
Berna Pozo,"berna ""no longer"" pozo 🇵🇦 🇬🇧",5,6,HFX,Halifax Helmsmen,MAL,Malibu Waverunners,Y,1.0,Berna Pozo,2021-06-15,sign,Waverunners,MAL,Y,:Waverunners:  sign **Berna Pozo** (C),,,,
Big Smoke Anderson,,6,7,POR,Portland Pioneers,MAL,Malibu Waverunners,Y,1.0,Catcher Big Smoke Anderson,2022-01-22,sign,Malibu Waverunners,MAL,Y,:Waverunners: Malibu Waverunners sign Catcher **Big Smoke Anderson**,,,,
Bill “Pegleg” Bailey,,6,7,HFX,Halifax Helmsmen,ACP,Acadia Peregrines,N,0.581,3B/UTIL G Baby,2022-03-16,sign,Sunnydale Slayers,,N,:slayers: Sunnydale Slayers sign 3B/UTIL **G Baby**,3B/UTIL G Baby,0.581,2022-03-16,:slayers: Sunnydale Slayers sign 3B/UTIL **G Baby**
Billy Winters,billy winters-retired,2,3,LPJ,Lonestar Pumpjacks,GHG,Gas House Gorillas,Y,1.0,Billy Winters-Retired,2019-07-23,draft,Gas House Gorillas,GHG,Y,With the 22nd pick the Gas House Gorillas select @Billy Winters-Retired,,,,
Blue Moon Barthelemy,,1,2,BFB,Blubs Bay Flappy Bois,SHH,Sleepy Hollow Horsemen,N,0.438,Jordon Adell,2019-07-23,draft,Gas House Gorillas,,N,With the 36th pick the Gas House Gorillas select @Jordon Adell,Jordon Adell,0.438,2019-07-23,With the 36th pick the Gas House Gorillas select @Jordon Adell
Bob Dunagee,redwagon,8,9,NO,New Orleans Crawdads,SUN,Sunnydale Slayers,Y,1.0,1B Bob Dunagee,2023-05-06,sign,Slayers,SUN,Y,:Slayers: sign 1B **Bob Dunagee**,,,,
Bob Wehadababyitzaboy,,3,4,POR,Portland Pioneers,SUN,Sunnydale Slayers,N,0.414,Bob Winn,2019-07-23,draft,Portland Pioneers,,N,"With the sixth pick in the Season 3 Draft, the Portland Pioneers select @Bob Winn",Bob Winn,0.414,2019-07-23,"With the sixth pick in the Season 3 Draft, the Portland Pioneers select @Bob Winn"
Bob Winn,bob winn,7,8,SUN,Sunnydale Slayers,NO,New Orleans Crawdads,Y,1.0,Bob Winn,2023-04-19,draft,Prisoners of Azerbaijan,POR,N,"🇦🇿 With the 44th overall pick in the WNC draft, the Prisoners of Azerbaijan select **C Bob Winn**",,,,
Bob Winn,bob winn,8,9,NO,New Orleans Crawdads,MIA,Miami Fuego,Y,1.0,Bob Winn,2023-04-19,draft,Prisoners of Azerbaijan,POR,N,"🇦🇿 With the 44th overall pick in the WNC draft, the Prisoners of Azerbaijan select **C Bob Winn**",,,,
Bobby Portis,jack,9,10,NO,New Orleans Crawdads,REK,Reykjavik Valkyries,Y,1.0,P Bobby Portis,2024-01-22,sign,Reykjavik Valkyries,REK,Y,:Rek: Reykjavik Valkyries sign P **Bobby Portis**,,,,
Bobby Vance,,4,5,HFX,Halifax Helmsmen,ASS,Aruba Sea Serpents,Y,1.0,Bobby Vance,2020-09-21,sign,Rhinos,CIN,Y,:Rhinos: sign **Bobby Vance**,,,,
Bobbymir Guerrero Jr.,brotherbear002,6,7,JAM,JAM,NO,New Orleans Crawdads,Y,1.0,Bobbymir Guerrero Jr,2022-01-22,draft,crawdads New Orleans Crawdads,NO,Y,"With the 25th overall pick in the S7 Draft, the :crawdads: New Orleans Crawdads select **P Bobbymir Guerrero Jr.**",,,,
Bofadeez Newtz,,2,3,SHH,Sleepy Hollow Horsemen,BFB,Blubs Bay Flappy Bois,N,0.429,Random Defence,2018-12-02,draft,Acadia Peregrines,,N,"With the twenty fifth pick in the Season 2 Draft, the Acadia Peregrines select @Random Defence",Random Defence,0.429,2018-12-02,"With the twenty fifth pick in the Season 2 Draft, the Acadia Peregrines select @Random Defence"
Bom Trady,,1,2,CIN,Cincinnati Longhorns,POR,Portland Pioneers,N,0.462,Andy,2019-07-23,draft,New Orleans Crawdads,,N,"With the 7th pick in the Season 3 Draft, the New Orleans Crawdads select @Andy",Andy,0.462,2019-07-23,"With the 7th pick in the Season 3 Draft, the New Orleans Crawdads select @Andy"
Borg Torbjorgsson,börg tørbjörgssön,7,8,HFX,Halifax Helmsmen,BUF,Buffalo Bullfrogs,N,0.516,1B Ioe Torrent,2023-05-03,sign,Carolina Reapers,,N,:Reapers:  Carolina Reapers sign 1B **Ioe Torrent**,1B Ioe Torrent,0.516,2023-05-03,:Reapers:  Carolina Reapers sign 1B **Ioe Torrent**
Borg Torbjorgsson,börg tørbjörgssön,9,10,KC,Kansas City Kitties,OGO,Ogaki Oni,N,0.516,1B Ioe Torrent,2023-05-03,sign,Carolina Reapers,,N,:Reapers:  Carolina Reapers sign 1B **Ioe Torrent**,1B Ioe Torrent,0.516,2023-05-03,:Reapers:  Carolina Reapers sign 1B **Ioe Torrent**
Bradle Beamen,,7,8,POR,Portland Pioneers,SMD,Sopher McDophers,Y,1.0,Bradle Beamen,2021-09-14,sign,Pioneers,POR,N,"**Session 6 Transactions (Effective Session 7)**

:Buff: Sign **Sarah Buntingsworth** (P) & **Sandy Collazo** (P) Retire",,,,
Brent Chillwater,,9,10,POR,Portland Pioneers,KC,Kansas City Kitties,Y,1.0,P Brent Chillwater,2024-01-22,sign,Kansas City Kitties,KC,Y,:KCLettering: Kansas City Kitties sign P **Brent Chillwater**,,,,
Brian MacDonald,ashen_1,3,4,REK,Reykjavik Valkyries,KYM,Kentucky Mashers,N,0.643,Brandon Blade,2020-09-23,sign,Rhinos,,N,:Rhinos: sign **Brandon Blade**,Brandon Blade,0.643,2020-09-23,:Rhinos: sign **Brandon Blade**
Brian Taylor,"somehow, palbeetine returned",5,6,GRZ,Ursa Major Grizzlies,POR,Portland Pioneers,Y,1.0,"Somehow, PalBeeTine Returned",2020-09-26,draft,Ursa Major Grizzlies,GRZ,N,"With the 13th overall pick in the S5 Draft, the Ursa Major Grizzlies select @Somehow, PalBeeTine Returned",,,,
Brian Taylor,"somehow, palbeetine returned",8,9,POR,Portland Pioneers,MIA,Miami Fuego,Y,1.0,C Brian Taylor,2023-05-04,sign,miami,MIA,Y,:miami: sign C **Brian Taylor**,,,,
Brian Taylor,"somehow, palbeetine returned",9,10,MIA,Miami Fuego,RC,Raccoon City Outbreak,Y,0.8,C/CINF Brian Taylor,2024-01-23,sign,Raccoon City Outbreak,RC,Y,:RC: Raccoon City Outbreak sign C/CINF **Brian Taylor**,,,,
Brian Taylor,"somehow, palbeetine returned",10,11,RC,Raccoon City Outbreak,RLY,R'Lyeh Ancients,Y,0.828,C/COF Brian Taylor,2024-10-01,sign,R'Lyeh Ancients,RLY,Y,:RLY: R'Lyeh Ancients sign C/COF **Brian Taylor**,,,,
Brian Taylor,"somehow, palbeetine returned",11,12,RLY,R'Lyeh Ancients,GRZ,Ursa Major Grizzlies,Y,0.8,C/CINF Brian Taylor,2025-08-02,sign,Ursa Major Grizzlies,GRZ,Y,":SMD:Sopher McDophers sign CF **Rusty Nails**
:SMD:Sopher McDophers sign RF **Master Cashier**
:SMD:Sopher McDophers sig",,,,
Britt O'War,britt o'war,2,3,REK,Reykjavik Valkyries,SHH,Sleepy Hollow Horsemen,Y,1.0,Britt O'War,2018-12-02,draft,Henrik Omegas,SMD,N,"With the twenty third pick in the Season 2 Draft, the Henrik Omegas select @Britt O'War",,,,
Britt O'War,britt o'war,3,4,SHH,Sleepy Hollow Horsemen,HFX,Halifax Helmsmen,N,0.545,"Somehow, PalBeeTine Returned",2020-09-26,draft,Ursa Major Grizzlies,,N,"With the 13th overall pick in the S5 Draft, the Ursa Major Grizzlies select @Somehow, PalBeeTine Returned","Somehow, PalBeeTine Returned",0.545,2020-09-26,"With the 13th overall pick in the S5 Draft, the Ursa Major Grizzlies select @Somehow, PalBeeTine Returned"
Bryce Parker,,10,11,POR,Portland Pioneers,CAR,Carolina Reapers,Y,1.0,CF Bryce Parker,2024-10-01,sign,Carolina Reapers,CAR,Y,":CAR: Carolina Reapers sign 2B/UTIL **Q Kimbrel**
:CAR: Carolina Reapers sign CF **Bryce Parker**",,,,
Bucky Gorgonzola,,11,12,POR,Portland Pioneers,ACP,Acadia Peregrines,Y,1.0,Bucky Gorgonzola,2025-07-20,draft,Sweden Caroleans,CAR,N,":SwedenCaroleans: With the 87th overall pick in the WNC Draft, the Sweden Caroleans select **Bucky Gorgonzola**",,,,
Bucky Sabre III,,11,12,MIA,Miami Fuego,CAR,Carolina Reapers,Y,1.0,2B Bucky Sabre III,2025-04-05,sign,Miami Fuego,MIA,N,":CAR: Carolina Reapers sign LF **Josiah Queen**

:MIA: Miami Fuego sign 2B **Bucky Sabre III**

:KC: KC Kitties sign LHP",,,,
Burgess Whitehead,burgess whitehead -  1b - stud,2,3,LPJ,Lonestar Pumpjacks,GRZ,Ursa Major Grizzlies,Y,0.773,Burgess Whitehead - 1B - Stud,2018-12-02,draft,Lonestar Pumpjacks,LPJ,N,"With the thirty second pick in the Season 2 Draft, the Lonestar Pumpjacks select @Burgess Whitehead -  1B - Stud",,,,
Burgess Whitehead,burgess whitehead -  1b - stud,7,8,GRZ,Ursa Major Grizzlies,ACP,Acadia Peregrines,Y,1.0,3b Burgess Whitehead,2022-08-28,sign,Acadia Peregrines,ACP,Y,:Peregrines: Acadia Peregrines sign 3b **Burgess Whitehead**,,,,
Buzz Schwinghammer,,1,2,VAN,Vancouver Vampires,GHG,Gas House Gorillas,N,0.452,Billy Winters-Retired,2019-07-23,draft,Gas House Gorillas,,N,With the 22nd pick the Gas House Gorillas select @Billy Winters-Retired,Billy Winters-Retired,0.452,2019-07-23,With the 22nd pick the Gas House Gorillas select @Billy Winters-Retired
Cal Lidous,,2,3,HFX,Halifax Helmsmen,SUN,Sunnydale Slayers,N,0.522,Callie Braden,2020-02-23,draft,Kentucky Mashers,,N,With the 19th overall pick in the S4 Draft the Kentucky Mashers select **P Callie Braden**,Callie Braden,0.522,2020-02-23,With the 19th overall pick in the S4 Draft the Kentucky Mashers select **P Callie Braden**
Cal Lidous,,5,6,SUN,Sunnydale Slayers,POR,Portland Pioneers,Y,1.0,Cal Lidous,2020-09-26,sign,slayerscrown,SUN,N,:slayerscrown: sign **Cal Lidous**,,,,
Cal Lidous,,6,7,POR,Portland Pioneers,MAL,Malibu Waverunners,Y,1.0,Pitcher ﻿Cal Lidous,2022-01-18,sign,Malibu Waverunners,MAL,Y,:Waverunners: Malibu Waverunners sign Pitcher ﻿**Cal Lidous**,,,,
Cali Guerensk,,4,5,BFB,Blubs Bay Flappy Bois,ASS,Aruba Sea Serpents,Y,1.0,Cali Guerensk,2020-06-09,sign,FlappyBois,BFB,N,:FlappyBois: sign Cali Guerensk (RHP),,,,
Calvin Ball,,10,11,REK,Reykjavik Valkyries,KC,Kansas City Kitties,Y,1.0,2B/UTIL Calvin Ball,2024-10-01,sign,Kansas City Kitties,KC,Y,:KC: Kansas City Kitties sign 2B/UTIL **Calvin Ball**,,,,
Calvin Guerensk,drag0ng0ld8,7,8,ASS,Aruba Sea Serpents,POR,Portland Pioneers,Y,1.0,P Calvin Guerensk,2022-08-27,sign,Portland Pioneers,POR,Y,:Pioneers: Portland Pioneers sign P **Calvin Guerensk**,,,,
Calvin Huff,"calvin ""mak0shark"" huff -p #42",2,3,GHG,Gas House Gorillas,BBG,Baldur's Gate Beholders,N,0.455,Jonah Levin,2020-02-23,draft,Kentucky Mashers,,N,With the 26th overall pick in the S4 Draft the Kentucky Mashers select **2B Jonah Levin**,Jonah Levin,0.455,2020-02-23,With the 26th overall pick in the S4 Draft the Kentucky Mashers select **2B Jonah Levin**
Cam’ron West,dpz1156,6,7,BFB,Blubs Bay Flappy Bois,POR,Portland Pioneers,Y,1.0,DPZ1156,2021-04-28,draft,United Kingdom,MIA,N,":brexhits: With the 123rd pick in the WNC draft, The United Kingdom selects @DPZ1156",,,,
Cannibal Johnson,,2,3,SHH,Sleepy Hollow Horsemen,MAL,Malibu Waverunners,N,0.444,Maud Nelson,2018-12-02,draft,Henrik Omegas,,N,"With the forty seventh pick in the Season 2 Draft, the Henrik Omegas select @Maud Nelson",Maud Nelson,0.444,2018-12-02,"With the forty seventh pick in the Season 2 Draft, the Henrik Omegas select @Maud Nelson"
Cap Keeler,,4,5,NO,New Orleans Crawdads,GHG,Gas House Gorillas,Y,1.0,Cap Keeler,2020-09-21,sign,Gorillas,GHG,Y,:Gorillas:  sign **Cap Keeler**,,,,
Charlie Scott,semicharmedmike,11,12,SUN,Sunnydale Slayers,CAR,Carolina Reapers,Y,1.0,Charlie Scott,2025-07-20,draft,Hungary Hungry Hippos,GHG,N,":HUNGARY: With the 45th overall pick of the WNC Draft, the Hungary Hungry Hippos select **Charlie Scott**",,,,
Charlie Yeager,bum,1,2,ACP,Acadia Peregrines,LPJ,Lonestar Pumpjacks,Y,1.0,Bum,2018-12-02,draft,Lonestar Jumping Jacks,LPJ,Y,"With the fortieth pick in the Season 2 Draft, the Lonestar Jumping Jacks select @Bum",,,,
Chief Cory,llemonduck,2,3,REK,Reykjavik Valkyries,BFB,Blubs Bay Flappy Bois,Y,1.0,LlemonDuck,2019-07-23,draft,Blubs Bay Flappy Bois,BFB,Y,"With the 11th pick in the season 3 draft, the Blubs Bay Flappy Bois select @LlemonDuck",,,,
CJ Ayer,,7,8,HFX,Halifax Helmsmen,ACP,Acadia Peregrines,Y,1.0,LF CJ Ayer,2022-03-27,sign,Halifax Highlanders,HFX,N,"**Transactions effective Sessions 6**

:Valkyries: Reykjavik Valkyries place RF **Barney Turbo** on hiatus

:Highlanders",,,,
CJ Ayer,,8,9,ACP,Acadia Peregrines,HFX,Halifax Helmsmen,Y,1.0,LF CJ Ayer,2022-03-27,sign,Halifax Highlanders,HFX,Y,"**Transactions effective Sessions 6**

:Valkyries: Reykjavik Valkyries place RF **Barney Turbo** on hiatus

:Highlanders",,,,
CJ Ayer,,9,10,HFX,Halifax Helmsmen,MIA,Miami Fuego,Y,1.0,LF CJ Ayer,2024-01-22,sign,Miami Fuego,MIA,Y,:miami:  Miami Fuego sign LF **CJ Ayer**,,,,
CJ Ayer,,10,11,MIA,Miami Fuego,POR,Portland Pioneers,Y,1.0,LF CJ Ayer,2024-01-22,sign,Miami Fuego,MIA,N,:miami:  Miami Fuego sign LF **CJ Ayer**,,,,
Clem N. Tine,clem,6,7,POR,Portland Pioneers,MAL,Malibu Waverunners,Y,0.9,Pitcher Clem.N.Tine,2022-01-18,sign,Malibu Waverunners,MAL,Y,:Waverunners:  Malibu Waverunners sign Pitcher **Clem.N.Tine** (1 Minute Early..),,,,
Clive Babineaux,,1,2,CIN,Cincinnati Longhorns,LPJ,Lonestar Pumpjacks,N,0.5,Alf,2019-07-23,draft,Cincinnati Rhinos,,N,With the 35th pick the Cincinnati Rhinos select @Alf,Alf,0.5,2019-07-23,With the 35th pick the Cincinnati Rhinos select @Alf
Connor Morgan,bigvoldaddy,5,6,MAL,Malibu Waverunners,POR,Portland Pioneers,Y,1.0,Connor Morgan,2021-06-15,sign,Pioneers,POR,Y,:Pioneers: sign **Connor Morgan** (3B),,,,
