remaining,outs,obc,batting_lead,win_prob,win_sum,n
12,0,001,-12,0.0062,5,806
12,0,001,-13,0.0025,2,792
12,0,001,-14,0.005,4,797
12,0,001,-15,0.0025,2,789
12,0,001,-16,0.0013,1,776
12,0,001,-17,0.0,0,722
12,0,001,-18,0.0016,1,629
12,0,010,18,1.0,1034,1034
12,0,010,17,1.0,698,698
12,0,010,16,1.0,707,707
12,0,010,15,0.9986,695,696
12,0,010,14,1.0,697,697
12,0,010,13,1.0,671,671
12,0,010,12,0.9956,685,688
12,0,010,11,0.9971,699,701
12,0,010,10,0.9853,669,679
12,0,010,9,0.991,658,664
12,0,010,8,0.9758,646,662
12,0,010,7,0.9695,636,656
12,0,010,6,0.9295,593,638
12,0,010,5,0.9014,265,294
12,0,010,4,0.8477,796,939
12,0,010,3,0.8133,2013,2475
12,0,010,2,0.741,4807,6487
12,0,010,1,0.6516,11403,17500
12,0,010,0,0.5564,67061,120531
12,0,010,-1,0.4759,335,704
12,0,010,-2,0.3348,230,687
12,0,010,-3,0.2638,181,686
12,0,010,-4,0.2422,170,702
12,0,010,-5,0.1459,102,699
12,0,010,-6,0.1037,73,704
12,0,010,-7,0.0674,46,682
12,0,010,-8,0.0471,32,680
12,0,010,-9,0.033,23,697
12,0,010,-10,0.0247,17,688
12,0,010,-11,0.0106,7,663
12,0,010,-12,0.0086,6,697
12,0,010,-13,0.0015,1,676
12,0,010,-14,0.0029,2,687
12,0,010,-15,0.0044,3,689
12,0,010,-16,0.0016,1,637
12,0,010,-17,0.0,0,593
12,0,010,-18,0.0,0,540
12,0,011,18,1.0,1204,1204
12,0,011,17,1.0,878,878
12,0,011,16,1.0,916,916
12,0,011,15,1.0,897,897
12,0,011,14,1.0,863,863
12,0,011,13,0.9966,868,871
12,0,011,12,0.9977,867,869
12,0,011,11,0.9954,868,872
12,0,011,10,0.9965,852,855
12,0,011,9,0.9845,827,840
12,0,011,8,0.972,832,856
12,0,011,7,0.9693,822,848
12,0,011,6,0.9392,633,674
12,0,011,5,0.9186,203,221
12,0,011,4,0.8709,553,635
12,0,011,3,0.8219,1394,1696
12,0,011,2,0.7604,3545,4662
12,0,011,1,0.6769,8499,12555
12,0,011,0,0.5826,76910,132015
12,0,011,-1,0.4777,397,831
12,0,011,-2,0.383,334,872
12,0,011,-3,0.3184,284,892
12,0,011,-4,0.2363,202,855
12,0,011,-5,0.1639,138,842
12,0,011,-6,0.1071,92,859
12,0,011,-7,0.0889,76,855
12,0,011,-8,0.0636,54,849
12,0,011,-9,0.0317,28,884
12,0,011,-10,0.0241,21,870
12,0,011,-11,0.0182,16,880
12,0,011,-12,0.0034,3,891
12,0,011,-13,0.0034,3,891
12,0,011,-14,0.0058,5,858
12,0,011,-15,0.0012,1,859
12,0,011,-16,0.0012,1,832
12,0,011,-17,0.0012,1,834
12,0,011,-18,0.0,0,713
12,0,100,18,1.0,742,742
12,0,100,17,1.0,578,578
12,0,100,16,1.0,574,574
12,0,100,15,1.0,582,582
12,0,100,14,1.0,575,575
12,0,100,13,0.9982,565,566
12,0,100,12,0.9983,576,577
12,0,100,11,0.9915,580,585
12,0,100,10,0.9863,576,584
12,0,100,9,0.9915,582,587
12,0,100,8,0.9855,542,550
12,0,100,7,0.9667,522,540
12,0,100,6,0.9394,543,578
12,0,100,5,0.8951,623,696
12,0,100,4,0.8952,393,439
12,0,100,3,0.8333,980,1176
12,0,100,2,0.7447,2503,3361
12,0,100,1,0.6779,6024,8886
12,0,100,0,0.5837,14204,24334
12,0,100,-1,0.4758,266,559
12,0,100,-2,0.3681,208,565
12,0,100,-3,0.2743,158,576
12,0,100,-4,0.1759,102,580
12,0,100,-5,0.149,86,577
12,0,100,-6,0.0839,48,572
12,0,100,-7,0.0662,38,574
12,0,100,-8,0.0348,20,574
12,0,100,-9,0.033,19,576
12,0,100,-10,0.0243,14,577
12,0,100,-11,0.0125,7,561
12,0,100,-12,0.0105,6,574
12,0,100,-13,0.0085,5,587
12,0,100,-14,0.0,0,574
12,0,100,-15,0.0018,1,564
12,0,100,-16,0.0,0,559
12,0,100,-17,0.0038,2,530
12,0,100,-18,0.0,0,505
12,0,101,18,1.0,1172,1172
12,0,101,17,1.0,821,821
12,0,101,16,1.0,853,853
12,0,101,15,0.9988,834,835
12,0,101,14,1.0,837,837
12,0,101,13,0.9965,849,852
12,0,101,12,0.9954,859,863
12,0,101,11,0.9964,828,831
12,0,101,10,0.9893,836,845
12,0,101,9,0.9866,812,823
12,0,101,8,0.9789,788,805
12,0,101,7,0.9723,771,793
12,0,101,6,0.9397,748,796
12,0,101,5,0.9552,256,268
12,0,101,4,0.8859,497,561
12,0,101,3,0.8333,1315,1578
12,0,101,2,0.768,3406,4435
12,0,101,1,0.6956,8216,11812
12,0,101,0,0.6066,19354,31906
12,0,101,-1,0.5031,412,819
12,0,101,-2,0.367,302,823
12,0,101,-3,0.307,249,811
12,0,101,-4,0.2425,202,833
12,0,101,-5,0.1691,137,810
12,0,101,-6,0.1184,99,836
12,0,101,-7,0.0908,76,837
12,0,101,-8,0.0747,62,830
12,0,101,-9,0.0337,28,831
12,0,101,-10,0.033,27,817
12,0,101,-11,0.0167,14,838
12,0,101,-12,0.0093,8,858
12,0,101,-13,0.0024,2,828
12,0,101,-14,0.0035,3,847
12,0,101,-15,0.0024,2,843
12,0,101,-16,0.0013,1,797
12,0,101,-17,0.0013,1,758
12,0,101,-18,0.0016,1,625
12,0,110,18,1.0,949,949
12,0,110,17,1.0,693,693
12,0,110,16,1.0,698,698
12,0,110,15,1.0,702,702
12,0,110,14,0.9971,688,690
12,0,110,13,0.9971,684,686
12,0,110,12,0.9972,700,702
12,0,110,11,0.9971,681,683
12,0,110,10,0.9942,683,687
12,0,110,9,0.9852,667,677
12,0,110,8,0.9838,669,680
12,0,110,7,0.967,616,637
12,0,110,6,0.9463,546,577
12,0,110,5,0.9419,648,688
12,0,110,4,0.9203,439,477
12,0,110,3,0.8434,1196,1418
12,0,110,2,0.7995,2986,3735
12,0,110,1,0.7217,7310,10129
12,0,110,0,0.6329,16996,26856
12,0,110,-1,0.5255,360,685
12,0,110,-2,0.4319,298,690
12,0,110,-3,0.3607,246,682
12,0,110,-4,0.2763,181,655
12,0,110,-5,0.2009,136,677
12,0,110,-6,0.1168,82,702
12,0,110,-7,0.088,61,693
12,0,110,-8,0.0648,44,679
12,0,110,-9,0.0411,28,681
12,0,110,-10,0.0234,16,685
12,0,110,-11,0.0183,13,711
12,0,110,-12,0.0103,7,678
12,0,110,-13,0.0031,2,655
12,0,110,-14,0.0,0,685
12,0,110,-15,0.0029,2,683
12,0,110,-16,0.0015,1,662
12,0,110,-17,0.0,0,616
12,0,110,-18,0.0,0,536
12,0,111,18,1.0,1627,1627
12,0,111,17,1.0,1091,1091
12,0,111,16,1.0,1143,1143
12,0,111,15,0.9991,1142,1143
12,0,111,14,1.0,1113,1113
12,0,111,13,0.9991,1080,1081
12,0,111,12,0.9991,1119,1120
12,0,111,11,0.9954,1081,1086
12,0,111,10,0.9964,1099,1103
12,0,111,9,0.9909,1088,1098
12,0,111,8,0.9802,1040,1061
12,0,111,7,0.9739,1007,1034
12,0,111,6,0.9564,812,849
12,0,111,5,0.9388,276,294
12,0,111,4,0.9199,632,687
12,0,111,3,0.8604,1608,1869
12,0,111,2,0.8039,3989,4962
12,0,111,1,0.7372,9786,13274
12,0,111,0,0.6568,23808,36250
12,0,111,-1,0.5678,620,1092
12,0,111,-2,0.4649,503,1082
12,0,111,-3,0.3973,441,1110
12,0,111,-4,0.3128,346,1106
12,0,111,-5,0.2326,257,1105
12,0,111,-6,0.1495,168,1124
12,0,111,-7,0.1225,137,1118
12,0,111,-8,0.0926,103,1112
12,0,111,-9,0.0544,60,1102
12,0,111,-10,0.0426,47,1103
12,0,111,-11,0.0248,27,1088
12,0,111,-12,0.014,16,1144
12,0,111,-13,0.0087,10,1145
12,0,111,-14,0.0054,6,1108
12,0,111,-15,0.0038,4,1060
12,0,111,-16,0.0019,2,1038
12,0,111,-17,0.001,1,972
12,0,111,-18,0.0,0,773
12,1,000,18,1.0,3852,3852
12,1,000,17,1.0,1520,1520
12,1,000,16,0.9994,1552,1553
12,1,000,15,0.9988,1606,1608
12,1,000,14,0.9993,1527,1528
12,1,000,13,0.9993,1514,1515
12,1,000,12,0.9928,1522,1533
12,1,000,11,0.9893,1482,1498
12,1,000,10,0.9891,1363,1378
12,1,000,9,0.9809,1286,1311
12,1,000,8,0.9648,878,910
12,1,000,7,0.9405,916,974
12,1,000,6,0.9213,2025,2198
12,1,000,5,0.8786,4341,4941
12,1,000,4,0.828,9709,11726
12,1,000,3,0.7611,19753,25953
12,1,000,2,0.6777,37176,54857
12,1,000,1,0.5778,60539,104772
12,1,000,0,0.4725,596310,1262036
12,1,000,-1,0.3907,599,1533
12,1,000,-2,0.2818,436,1547
12,1,000,-3,0.1871,291,1555
12,1,000,-4,0.1443,218,1511
12,1,000,-5,0.1017,158,1553
12,1,000,-6,0.0621,93,1498
12,1,000,-7,0.0374,58,1549
12,1,000,-8,0.0223,34,1527
12,1,000,-9,0.0229,35,1527
12,1,000,-10,0.0033,5,1526
12,1,000,-11,0.0047,7,1485
12,1,000,-12,0.0053,8,1520
12,1,000,-13,0.0007,1,1499
12,1,000,-14,0.0007,1,1469
12,1,000,-15,0.0,0,1248
12,1,000,-16,0.0009,1,1098
12,1,000,-17,0.0,0,983
12,1,000,-18,0.0,0,806
12,1,001,18,0.9996,2800,2801
12,1,001,17,1.0,1595,1595
12,1,001,16,0.9994,1575,1576
12,1,001,15,0.9981,1611,1614
12,1,001,14,0.9994,1592,1593
12,1,001,13,0.995,1594,1602
12,1,001,12,0.9968,1578,1583
12,1,001,11,0.9905,1570,1585
12,1,001,10,0.9856,1573,1596
12,1,001,9,0.9762,1479,1515
12,1,001,8,0.9703,1339,1380
12,1,001,7,0.9543,751,787
12,1,001,6,0.9201,887,964
12,1,001,5,0.8852,1766,1995
12,1,001,4,0.8328,3940,4731
12,1,001,3,0.773,8678,11227
12,1,001,2,0.6941,17388,25051
12,1,001,1,0.5982,31553,52746
12,1,001,0,0.4973,281655,566351
12,1,001,-1,0.3914,618,1579
12,1,001,-2,0.3007,482,1603
12,1,001,-3,0.2184,349,1598
12,1,001,-4,0.1688,274,1623
12,1,001,-5,0.1161,179,1542
12,1,001,-6,0.0842,135,1604
12,1,001,-7,0.0446,71,1593
12,1,001,-8,0.0383,60,1568
12,1,001,-9,0.0224,37,1651
12,1,001,-10,0.0148,24,1624
12,1,001,-11,0.0089,14,1578
12,1,001,-12,0.0069,11,1595
12,1,001,-13,0.0013,2,1580
12,1,001,-14,0.0019,3,1600
12,1,001,-15,0.0,0,1468
12,1,001,-16,0.0007,1,1402
12,1,001,-17,0.0,0,1315
12,1,001,-18,0.0,0,988
12,1,010,18,1.0,2344,2344
12,1,010,17,0.9992,1323,1324
12,1,010,16,1.0,1347,1347
12,1,010,15,1.0,1346,1346
12,1,010,14,0.997,1309,1313
12,1,010,13,0.9985,1298,1300
12,1,010,12,0.9954,1297,1303
12,1,010,11,0.994,1336,1344
12,1,010,10,0.9883,1270,1285
12,1,010,9,0.9749,1205,1236
12,1,010,8,0.9685,1136,1173
12,1,010,7,0.9586,649,677
12,1,010,6,0.9369,832,888
12,1,010,5,0.8777,1141,1300
12,1,010,4,0.8313,2710,3260
12,1,010,3,0.7871,5914,7514
12,1,010,2,0.7092,11776,16605
12,1,010,1,0.6171,21771,35281
12,1,010,0,0.5157,79303,153787
12,1,010,-1,0.3933,525,1335
12,1,010,-2,0.3371,451,1338
12,1,010,-3,0.2269,304,1340
12,1,010,-4,0.1897,248,1307
12,1,010,-5,0.1152,148,1285
12,1,010,-6,0.079,106,1341
12,1,010,-7,0.0559,73,1305
12,1,010,-8,0.0297,39,1311
12,1,010,-9,0.0275,36,1308
12,1,010,-10,0.0148,20,1349
12,1,010,-11,0.0093,12,1286
12,1,010,-12,0.004,5,1256
12,1,010,-13,0.0015,2,1328
12,1,010,-14,0.0023,3,1311
12,1,010,-15,0.0039,5,1285
12,1,010,-16,0.0,0,1178
12,1,010,-17,0.0,0,1073
12,1,010,-18,0.0,0,848
12,1,011,18,1.0,2611,2611
12,1,011,17,1.0,1638,1638
12,1,011,16,0.9994,1631,1632
12,1,011,15,0.9994,1566,1567
12,1,011,14,1.0,1608,1608
12,1,011,13,0.9956,1590,1597
12,1,011,12,0.9963,1620,1626
12,1,011,11,0.993,1700,1712
12,1,011,10,0.9892,1559,1576
12,1,011,9,0.9817,1506,1534
12,1,011,8,0.9734,1539,1581
12,1,011,7,0.9597,1192,1242
12,1,011,6,0.9429,677,718
12,1,011,5,0.896,939,1048
12,1,011,4,0.84,2115,2518
12,1,011,3,0.7937,4882,6151
12,1,011,2,0.7215,10143,14058
12,1,011,1,0.6285,19907,31673
12,1,011,0,0.5336,104590,195996
12,1,011,-1,0.4439,720,1622
12,1,011,-2,0.3593,600,1670
12,1,011,-3,0.2548,429,1684
12,1,011,-4,0.1965,324,1649
12,1,011,-5,0.1509,247,1637
12,1,011,-6,0.098,165,1683
12,1,011,-7,0.0632,104,1645
12,1,011,-8,0.0428,68,1589
12,1,011,-9,0.0319,53,1662
12,1,011,-10,0.0212,35,1653
12,1,011,-11,0.0088,14,1588
12,1,011,-12,0.0068,11,1612
12,1,011,-13,0.0044,7,1609
12,1,011,-14,0.0043,7,1636
12,1,011,-15,0.0013,2,1499
12,1,011,-16,0.002,3,1469
12,1,011,-17,0.0,0,1439
12,1,011,-18,0.0,0,1060
12,1,100,18,1.0,1562,1562
12,1,100,17,1.0,1050,1050
12,1,100,16,1.0,986,986
12,1,100,15,0.996,1002,1006
12,1,100,14,0.999,1010,1011
12,1,100,13,0.999,1010,1011
12,1,100,12,0.9961,1029,1033
12,1,100,11,0.9933,1040,1047
12,1,100,10,0.9855,1016,1031
12,1,100,9,0.9826,1019,1037
12,1,100,8,0.9752,903,926
12,1,100,7,0.959,935,975
12,1,100,6,0.9417,614,652
12,1,100,5,0.9152,820,896
12,1,100,4,0.8618,1415,1642
12,1,100,3,0.7906,3020,3820
12,1,100,2,0.7202,6291,8735
12,1,100,1,0.6421,12132,18895
12,1,100,0,0.5405,19753,36544
12,1,100,-1,0.437,454,1039
12,1,100,-2,0.3321,345,1039
12,1,100,-3,0.2442,252,1032
12,1,100,-4,0.1635,172,1052
12,1,100,-5,0.1272,135,1061
12,1,100,-6,0.0716,76,1061
12,1,100,-7,0.0535,55,1028
12,1,100,-8,0.0341,36,1057
12,1,100,-9,0.0259,27,1042
12,1,100,-10,0.0137,14,1023
12,1,100,-11,0.0057,6,1046
12,1,100,-12,0.0019,2,1039
12,1,100,-13,0.0029,3,1025
12,1,100,-14,0.001,1,1040
12,1,100,-15,0.0,0,1038
12,1,100,-16,0.0,0,963
12,1,100,-17,0.0,0,910
12,1,100,-18,0.0,0,777
12,1,101,18,1.0,2438,2438
12,1,101,17,0.9993,1535,1536
12,1,101,16,1.0,1519,1519
12,1,101,15,0.9993,1497,1498
12,1,101,14,0.9973,1463,1467
12,1,101,13,0.9986,1475,1477
12,1,101,12,0.9974,1519,1523
12,1,101,11,0.9935,1539,1549
12,1,101,10,0.9833,1469,1494
12,1,101,9,0.9776,1398,1430
12,1,101,8,0.9704,1279,1318
12,1,101,7,0.957,1203,1257
12,1,101,6,0.9203,751,816
12,1,101,5,0.9095,864,950
12,1,101,4,0.8654,1903,2199
12,1,101,3,0.8099,4239,5234
12,1,101,2,0.736,8938,12144
12,1,101,1,0.6521,17279,26499
12,1,101,0,0.5583,33087,59268
12,1,101,-1,0.4695,708,1508
12,1,101,-2,0.3436,514,1496
12,1,101,-3,0.2693,402,1493
12,1,101,-4,0.1962,291,1483
12,1,101,-5,0.1392,208,1494
12,1,101,-6,0.1014,155,1528
12,1,101,-7,0.0741,108,1458
12,1,101,-8,0.0449,72,1603
12,1,101,-9,0.0279,43,1543
12,1,101,-10,0.0237,35,1479
12,1,101,-11,0.011,16,1461
12,1,101,-12,0.0046,7,1516
12,1,101,-13,0.0014,2,1453
12,1,101,-14,0.0007,1,1449
12,1,101,-15,0.0007,1,1435
12,1,101,-16,0.0,0,1385
12,1,101,-17,0.0008,1,1274
12,1,101,-18,0.001,1,1006
12,1,110,18,1.0,1972,1972
12,1,110,17,0.9992,1221,1222
12,1,110,16,0.9992,1195,1196
12,1,110,15,0.9992,1268,1269
12,1,110,14,0.9975,1206,1209
12,1,110,13,0.9992,1215,1216
12,1,110,12,0.996,1244,1249
12,1,110,11,0.9976,1233,1236
12,1,110,10,0.9942,1195,1202
12,1,110,9,0.9795,1097,1120
12,1,110,8,0.9781,1070,1094
12,1,110,7,0.9613,968,1007
12,1,110,6,0.9444,594,629
12,1,110,5,0.9153,897,980
12,1,110,4,0.8881,1730,1948
12,1,110,3,0.8258,3770,4565
12,1,110,2,0.7494,7610,10155
12,1,110,1,0.6742,15472,22950
12,1,110,0,0.5782,25987,44941
12,1,110,-1,0.4829,564,1168
12,1,110,-2,0.3833,463,1208
12,1,110,-3,0.2987,359,1202
12,1,110,-4,0.2477,297,1199
12,1,110,-5,0.1558,189,1213
12,1,110,-6,0.0856,104,1215
12,1,110,-7,0.0696,83,1192
12,1,110,-8,0.0497,59,1187
12,1,110,-9,0.035,43,1228
12,1,110,-10,0.0143,18,1258
12,1,110,-11,0.0142,18,1267
12,1,110,-12,0.0121,15,1238
12,1,110,-13,0.0034,4,1188
12,1,110,-14,0.0032,4,1244
12,1,110,-15,0.0008,1,1212
12,1,110,-16,0.0,0,1120
12,1,110,-17,0.0,0,1000
12,1,110,-18,0.0,0,792
12,1,111,18,1.0,3215,3215
12,1,111,17,1.0,1929,1929
12,1,111,16,0.9995,1909,1910
12,1,111,15,0.9974,1902,1907
12,1,111,14,0.9984,1901,1904
12,1,111,13,0.9979,1889,1893
12,1,111,12,0.9958,1881,1889
12,1,111,11,0.9958,1875,1883
12,1,111,10,0.994,1830,1841
12,1,111,9,0.9899,1764,1782
12,1,111,8,0.9766,1589,1627
12,1,111,7,0.9626,1005,1044
12,1,111,6,0.9551,787,824
12,1,111,5,0.9162,962,1050
12,1,111,4,0.8841,2326,2631
12,1,111,3,0.8173,4982,6096
12,1,111,2,0.7583,10501,13848
12,1,111,1,0.6796,21081,31018
12,1,111,0,0.5889,38798,65882
12,1,111,-1,0.471,894,1898
12,1,111,-2,0.4013,760,1894
12,1,111,-3,0.3219,620,1926
12,1,111,-4,0.2515,475,1889
12,1,111,-5,0.1905,365,1916
12,1,111,-6,0.1255,240,1913
12,1,111,-7,0.0915,177,1934
12,1,111,-8,0.0653,124,1899
12,1,111,-9,0.0421,81,1924
12,1,111,-10,0.0266,50,1883
12,1,111,-11,0.022,41,1864
12,1,111,-12,0.0128,24,1879
12,1,111,-13,0.0072,13,1818
12,1,111,-14,0.0036,7,1921
12,1,111,-15,0.0006,1,1812
12,1,111,-16,0.0017,3,1753
12,1,111,-17,0.0006,1,1584
12,1,111,-18,0.0009,1,1120
12,2,000,18,1.0,6688,6688
12,2,000,17,0.9996,2495,2496
12,2,000,16,0.9988,2537,2540
12,2,000,15,0.9988,2536,2539
12,2,000,14,0.9984,2470,2474
12,2,000,13,0.9979,2425,2430
12,2,000,12,0.9936,2337,2352
12,2,000,11,0.9892,2197,2221
12,2,000,10,0.9865,1602,1624
12,2,000,9,0.9819,1576,1605
12,2,000,8,0.9649,1702,1764
12,2,000,7,0.9469,2477,2616
12,2,000,6,0.9158,4711,5144
12,2,000,5,0.8758,9296,10614
12,2,000,4,0.8175,17660,21603
12,2,000,3,0.7464,30900,41398
12,2,000,2,0.6603,47882,72516
12,2,000,1,0.5597,63242,112991
12,2,000,0,0.4508,391313,868027
12,2,000,-1,0.3641,906,2488
12,2,000,-2,0.2573,628,2441
12,2,000,-3,0.1681,420,2499
12,2,000,-4,0.1243,307,2469
12,2,000,-5,0.082,207,2525
12,2,000,-6,0.0563,140,2485
12,2,000,-7,0.0358,90,2513
12,2,000,-8,0.0186,47,2522
12,2,000,-9,0.0133,32,2414
12,2,000,-10,0.0048,12,2513
12,2,000,-11,0.0025,6,2424
12,2,000,-12,0.0025,6,2422
12,2,000,-13,0.0017,4,2391
12,2,000,-14,0.0013,3,2322
12,2,000,-15,0.0,0,2016
12,2,000,-16,0.0,0,1721
12,2,000,-17,0.0,0,1410
12,2,000,-18,0.0,0,1083
12,2,001,18,0.9998,5688,5689
12,2,001,17,0.9992,2643,2645
12,2,001,16,0.9989,2650,2653
12,2,001,15,0.9992,2575,2577
12,2,001,14,0.9992,2572,2574
12,2,001,13,0.9969,2578,2586
12,2,001,12,0.9957,2560,2571
12,2,001,11,0.9901,2493,2518
12,2,001,10,0.9881,2334,2362
12,2,001,9,0.9684,1655,1709
12,2,001,8,0.9706,1516,1562
12,2,001,7,0.9382,1502,1601
12,2,001,6,0.924,2542,2751
12,2,001,5,0.8777,5025,5725
12,2,001,4,0.8185,10016,12237
12,2,001,3,0.7571,18502,24437
12,2,001,2,0.6723,31331,46602
12,2,001,1,0.5743,46700,81315
12,2,001,0,0.4662,228483,490062
12,2,001,-1,0.3643,957,2627
12,2,001,-2,0.2681,705,2630
12,2,001,-3,0.1903,499,2622
12,2,001,-4,0.1394,356,2554
12,2,001,-5,0.0908,240,2643
12,2,001,-6,0.0645,172,2667
12,2,001,-7,0.0398,106,2661
12,2,001,-8,0.0272,71,2611
12,2,001,-9,0.0107,28,2613
12,2,001,-10,0.0087,23,2646
12,2,001,-11,0.0038,10,2608
12,2,001,-12,0.0035,9,2593
12,2,001,-13,0.0008,2,2602
12,2,001,-14,0.0008,2,2487
12,2,001,-15,0.0009,2,2286
12,2,001,-16,0.0004,1,2224
12,2,001,-17,0.0005,1,1848
12,2,001,-18,0.0,0,1248
12,2,010,18,1.0,4882,4882
12,2,010,17,0.9996,2261,2262
12,2,010,16,0.9983,2325,2329
12,2,010,15,0.9991,2263,2265
12,2,010,14,0.9982,2240,2244
12,2,010,13,0.9978,2303,2308
12,2,010,12,0.9947,2233,2245
12,2,010,11,0.9911,2119,2138
12,2,010,10,0.9856,1985,2014
12,2,010,9,0.9741,1877,1927
12,2,010,8,0.9662,1372,1420
12,2,010,7,0.9512,1345,1414
12,2,010,6,0.9205,2096,2277
12,2,010,5,0.8751,3901,4458
12,2,010,4,0.8284,7809,9427
12,2,010,3,0.762,14171,18596
12,2,010,2,0.6785,23739,34985
12,2,010,1,0.5811,35599,61263
12,2,010,0,0.476,76525,160753
12,2,010,-1,0.3595,825,2295
12,2,010,-2,0.2817,646,2293
12,2,010,-3,0.1918,440,2294
12,2,010,-4,0.1534,344,2242
12,2,010,-5,0.0942,214,2272
12,2,010,-6,0.0702,158,2252
12,2,010,-7,0.0444,100,2254
12,2,010,-8,0.0275,62,2251
12,2,010,-9,0.0236,53,2243
12,2,010,-10,0.0083,19,2295
12,2,010,-11,0.005,11,2183
12,2,010,-12,0.0027,6,2203
12,2,010,-13,0.0018,4,2167
12,2,010,-14,0.0009,2,2166
12,2,010,-15,0.001,2,2104
12,2,010,-16,0.0,0,1869
12,2,010,-17,0.0,0,1563
12,2,010,-18,0.0,0,1134
12,2,011,18,1.0,4104,4104
12,2,011,17,1.0,2140,2140
12,2,011,16,0.9991,2245,2247
12,2,011,15,1.0,2206,2206
12,2,011,14,0.9991,2184,2186
12,2,011,13,0.9944,2146,2158
12,2,011,12,0.9959,2178,2187
12,2,011,11,0.9936,2168,2182
12,2,011,10,0.9823,2106,2144
12,2,011,9,0.9762,1766,1809
12,2,011,8,0.9747,1195,1226
12,2,011,7,0.9448,1079,1142
12,2,011,6,0.9155,1290,1409
12,2,011,5,0.8847,2464,2785
12,2,011,4,0.8364,5147,6154
12,2,011,3,0.7706,9875,12814
12,2,011,2,0.6897,17389,25212
12,2,011,1,0.5938,28443,47896
12,2,011,0,0.4909,87397,178040
12,2,011,-1,0.4091,875,2139
12,2,011,-2,0.3015,651,2159
12,2,011,-3,0.2203,485,2202
12,2,011,-4,0.1606,358,2229
12,2,011,-5,0.1054,236,2239
12,2,011,-6,0.0742,167,2252
12,2,011,-7,0.0609,134,2202
12,2,011,-8,0.0283,63,2228
12,2,011,-9,0.0201,44,2185
12,2,011,-10,0.0139,31,2224
12,2,011,-11,0.009,20,2212
12,2,011,-12,0.0044,10,2250
12,2,011,-13,0.0014,3,2200
12,2,011,-14,0.0031,7,2225
12,2,011,-15,0.0005,1,2103
12,2,011,-16,0.0,0,1993
12,2,011,-17,0.0006,1,1748
12,2,011,-18,0.0,0,1208
12,2,100,18,1.0,2901,2901
12,2,100,17,0.9994,1633,1634
12,2,100,16,1.0,1612,1612
12,2,100,15,0.9975,1599,1603
12,2,100,14,0.9994,1598,1599
12,2,100,13,0.9968,1571,1576
12,2,100,12,0.9956,1599,1606
12,2,100,11,0.9905,1567,1582
12,2,100,10,0.9873,1480,1499
12,2,100,9,0.9804,1501,1531
12,2,100,8,0.9632,1412,1466
12,2,100,7,0.9428,890,944
12,2,100,6,0.9152,1057,1155
12,2,100,5,0.8859,1701,1920
12,2,100,4,0.8244,3103,3764
12,2,100,3,0.7555,6073,8038
12,2,100,2,0.6817,10862,15933
12,2,100,1,0.5875,17927,30512
12,2,100,0,0.4846,25749,53138
12,2,100,-1,0.3751,605,1613
12,2,100,-2,0.2888,480,1662
