season,session,game_code,game_id,play_num,off_team,def_team,inning,half,outs,obc,result,play_code,category,batter_name,pitcher_name,diff
2,16,021601,181,21601020,Sopher McDophers,Miami Fuego,3,top,0,011,DP,0_4_DP,batted_ball_gap,Smitty Hoppenscotch,Tony Smehrik,420
2,16,021605,185,21605003,Sunnydale Slayers,R'Lyeh Ancients,1,top,0,011,DP,0_4_DP,batted_ball_gap,Jack Marnette,Thomas Nova,400
2,17,021702,189,21702010,Kansas City Kitties,Humongous Melonheads,2,top,0,011,DP,0_4_DP,batted_ball_gap,Bofadeez Newtz,Rascal Alex,395
3,02,030208,208,30208012,Humongous Melonheads,Sopher McDophers,2,top,0,011,DP,0_4_DP,batted_ball_gap,Mylo Grams,Tony Smehrik,489
3,04,030402,218,30402055,Sunnydale Slayers,Acadia Peregrines,7,top,0,011,DP,0_4_DP,batted_ball_gap,Riles McGiles,Mako Bierman,487
3,05,030501,225,30501045,Ursa Major Grizzlies,Gas House Gorillas,5,bottom,0,011,DP,0_4_DP,batted_ball_gap,Kali McSuntas,Geno Scaramucci,495
3,05,030505,229,30505017,Raccoon City Outbreak,Humongous Melonheads,2,bottom,0,011,DP,0_4_DP,batted_ball_gap,Viking Fishbird,Stephen Sondheim,460
3,05,030505,229,30505024,Raccoon City Outbreak,Humongous Melonheads,3,bottom,0,011,DP,0_4_DP,batted_ball_gap,Dinger Sampson,Stephen Sondheim,457
3,07,030707,247,30707011,Humongous Melonheads,Kansas City Kitties,2,top,0,011,DP,0_4_DP,batted_ball_gap,Jerome Garcia,Tyrone Jennings III,486
3,08,030804,252,30804039,Sunnydale Slayers,Halifax Highlanders,4,bottom,0,011,DP,0_4_DP,batted_ball_gap,Pablo Sanchez,Jordan Peppers,490
3,11,031104,276,31104024,Raccoon City Outbreak,Sunnydale Slayers,3,top,0,011,DP,0_4_DP,batted_ball_gap,Robert Atech,Master Cashier,482
1,04,010405,23,10405019,Gas House Gorillas,Baldur's Gate Beholders,3,bottom,0,011,GO,0_4_GO,batted_ball_gap,Ecliptic Astrum,Hans Ali,256
2,11,021101,146,21101028,Miami Fuego,Sunnydale Slayers,4,top,0,011,GO,0_4_GO,batted_ball_gap,Red Trapper,Thomas Nova,266
3,09,030906,262,30906025,Halifax Highlanders,Sopher McDophers,4,top,0,101,GO,0_5_GO,batted_ball_gap,Spike Suzuki,Atlas Quin,333
1,08,010806,48,10806063,Baldur's Gate Beholders,Halifax Highlanders,8,bottom,0,000,FC,0_6_FC,batted_ball_gap,Ross Fire,Dan Gerzone,250
1,06,010602,32,10602029,Carolina Reapers,Halifax Highlanders,4,top,0,111,DP,0_7_DP,batted_ball_gap,Johnny Hopkins,Dan Gerzone,474
2,15,021505,178,21505057,Sunnydale Slayers,Halifax Highlanders,8,top,0,011,DP,0_7_DP,batted_ball_gap,Jack Marnette,Jordan Peppers,407
3,16,031602,310,31602029,Raccoon City Outbreak,Aruba Sea Serpents,4,top,0,111,DP,0_7_DP,batted_ball_gap,Willie Mays Hayes,Daraya Jonjet,420
3,12,031203,283,31203010,Halifax Highlanders,Portland Pioneers,1,bottom,0,111,DP32,0_7_DP32,batted_ball_gap,Rusty Nails,Angel Leon,455
1,02,010202,8,10202030,Sopher McDophers,Carolina Reapers,4,bottom,0,111,DPRun,0_7_DPRun,batted_ball_gap,Chris Robin,Rub A. Chikin,424
1,02,010204,10,10204061,R'Lyeh Ancients,Gas House Gorillas,8,bottom,0,001,DPRun,0_7_DPRun,batted_ball_gap,JP Panik,Douglas McElroy Jr.,428
1,02,010206,12,10206017,Baldur's Gate Beholders,Acadia Peregrines,2,bottom,0,111,DPRun,0_7_DPRun,batted_ball_gap,Spike McBride,Kegs Mabry,466
1,04,010401,19,10401032,Humongous Melonheads,Kansas City Kitties,4,top,0,111,DPRun,0_7_DPRun,batted_ball_gap,Jerome Garcia,Blue Moon Barthelemy,390
1,10,011001,55,11001012,Sopher McDophers,Kansas City Kitties,1,top,0,111,DPRun,0_7_DPRun,batted_ball_gap,SirNose d'Voidoffunk,Lee Allen Ripley,424
1,10,011005,59,11005004,Sunnydale Slayers,Gas House Gorillas,1,top,0,111,DPRun,0_7_DPRun,batted_ball_gap,Haraldo McKenzie,Simon Dominic,408
3,02,030202,202,30202050,Sunnydale Slayers,Baldur's Gate Beholders,5,top,0,111,DPRun,0_7_DPRun,batted_ball_gap,Tyrone Lannister,Devin Arianna,416
2,06,020602,112,20602004,Carolina Reapers,Sopher McDophers,1,top,1,001,GO,1_1_GO,batted_ball_gap,Austin Schwartz,Atlas Quin,355
2,11,021105,150,21105044,Baldur's Gate Beholders,R'Lyeh Ancients,5,bottom,1,001,GO,1_1_GO,batted_ball_gap,Clive Babineaux,Goro Shinoda,260
1,02,010205,11,10205035,Halifax Highlanders,Sunnydale Slayers,5,top,1,011,DP,1_4_DP,batted_ball_gap,Bud Tuggli,Lee Allen Ripley,472
1,03,010305,17,10305019,Sunnydale Slayers,Gas House Gorillas,2,bottom,1,011,DP,1_4_DP,batted_ball_gap,Mike Cal,Geno Scaramucci,487
1,03,010306,18,10306027,Acadia Peregrines,Halifax Highlanders,4,bottom,1,101,DP,1_4_DP,batted_ball_gap,Sleve McDichael,Charlie Yeager,436
1,05,010505,29,10505026,Gas House Gorillas,Halifax Highlanders,4,top,1,011,DP,1_4_DP,batted_ball_gap,Hank Murphy,Jordan Peppers,467
1,07,010701,37,10701044,Acadia Peregrines,Kansas City Kitties,5,top,1,011,DP,1_4_DP,batted_ball_gap,Justin Paglia,Lee Allen Ripley,423
1,07,010705,41,10705004,Gas House Gorillas,Miami Fuego,1,top,1,011,DP,1_4_DP,batted_ball_gap,Hank Murphy,Syd Kidd,473
1,08,010803,45,10803011,Aruba Sea Serpents,Kansas City Kitties,1,bottom,1,011,DP,1_4_DP,batted_ball_gap,Bom Trady,S.A.R Dinka,184
1,09,010901,49,10901012,Miami Fuego,Kansas City Kitties,2,top,1,011,DP,1_4_DP,batted_ball_gap,Grim Carp,Phil Coulson,390
1,09,010904,52,10904035,Halifax Highlanders,Sunnydale Slayers,4,bottom,1,011,DP,1_4_DP,batted_ball_gap,Isaiah Harmon,Thomas Nova,427
1,11,011104,64,11104007,R'Lyeh Ancients,Halifax Highlanders,1,bottom,1,011,DP,1_4_DP,batted_ball_gap,JP Panik,Jordan Peppers,379
1,11,011105,65,11105009,Sunnydale Slayers,Acadia Peregrines,1,bottom,1,011,DP,1_4_DP,batted_ball_gap,Tony Bigdik,Baron Samedi,484
1,12,011202,68,11202008,Humongous Melonheads,Sopher McDophers,1,bottom,1,011,DP,1_4_DP,batted_ball_gap,Henrik Omega,William Hatchet,475
1,12,011203,69,11203029,Miami Fuego,Aruba Sea Serpents,3,bottom,1,011,DP,1_4_DP,batted_ball_gap,Juan Diego De Las Rosas Jr.,Miss Bats,431
1,12,011204,70,11204012,Baldur's Gate Beholders,Sunnydale Slayers,2,top,1,011,DP,1_4_DP,batted_ball_gap,John Fitz,Tim Burr,415
1,12,011204,70,11204022,Sunnydale Slayers,Baldur's Gate Beholders,3,bottom,1,011,DP,1_4_DP,batted_ball_gap,Pete Wheeler,Hans Ali,410
1,12,011206,72,11206056,Acadia Peregrines,R'Lyeh Ancients,6,bottom,1,011,DP,1_4_DP,batted_ball_gap,Cody Omega,Teddy Ballinger,483
1,13,011302,74,11302012,R'Lyeh Ancients,Sunnydale Slayers,1,bottom,1,011,DP,1_4_DP,batted_ball_gap,Master Cashier,Thomas Nova,397
2,02,020206,88,20206028,Halifax Highlanders,R'Lyeh Ancients,3,top,1,011,DP,1_4_DP,batted_ball_gap,Chris Gorzo,Boaty McBoatface,403
2,03,020307,96,20307024,Acadia Peregrines,Gas House Gorillas,3,top,1,011,DP,1_4_DP,batted_ball_gap,JP Panik,Geno Scaramucci,0
2,04,020401,97,20401039,Miami Fuego,R'Lyeh Ancients,5,bottom,1,011,DP,1_4_DP,batted_ball_gap,Fuzzy Dunlop,Nate Lewis,467
2,05,020502,105,20502042,Reykjavik Valkyries,Carolina Reapers,6,top,1,011,DP,1_4_DP,batted_ball_gap,Famous Anus,Tommy Foxconn,402
2,05,020504,107,20504026,Humongous Melonheads,Acadia Peregrines,3,top,1,011,DP,1_4_DP,batted_ball_gap,Steve Hofbardozzi Jr.,Miss Bats,429
2,06,020603,113,20603048,Sunnydale Slayers,Aruba Sea Serpents,6,top,1,011,DP,1_4_DP,batted_ball_gap,Master Cashier,Willoughby Hoose,437
2,08,020807,131,20807004,Reykjavik Valkyries,R'Lyeh Ancients,1,top,1,011,DP,1_4_DP,batted_ball_gap,Maud Nelson,Pete Jones,407
2,09,020901,132,20901010,Miami Fuego,Halifax Highlanders,1,bottom,1,011,DP,1_4_DP,batted_ball_gap,Pennis Brinner,Cal Lidous,480
2,09,020904,135,20904036,R'Lyeh Ancients,Humongous Melonheads,5,top,1,011,DP,1_4_DP,batted_ball_gap,Phil Coulson,Rascal Alex,435
2,10,021002,140,21002013,Humongous Melonheads,Carolina Reapers,2,top,1,011,DP,1_4_DP,batted_ball_gap,Stephen Sondheim,Artie Ziff,467
2,10,021003,141,21003036,Sopher McDophers,Acadia Peregrines,4,bottom,1,011,DP,1_4_DP,batted_ball_gap,Kegs Mabry,Mako Bierman,425
2,14,021403,169,21403016,Aruba Sea Serpents,Sopher McDophers,1,bottom,1,011,DP,1_4_DP,batted_ball_gap,Justin Martin,Atlas Quin,455
2,15,021503,176,21503014,Gas House Gorillas,Aruba Sea Serpents,2,bottom,1,011,DP,1_4_DP,batted_ball_gap,Conor Sexton,LaPrince Frye,446
2,15,021505,178,21505054,Halifax Highlanders,Sunnydale Slayers,7,bottom,1,001,DP,1_4_DP,batted_ball_gap,Donked McToad,Ricky Vaughn,500
3,01,030105,197,30105025,Portland Pioneers,Reykjavik Valkyries,3,top,1,011,DP,1_4_DP,batted_ball_gap,Kalin Young,Britt O'War,468
3,01,030105,197,30105049,Portland Pioneers,Reykjavik Valkyries,6,top,1,011,DP,1_4_DP,batted_ball_gap,Remi Renaldo,Britt O'War,480
3,01,030107,199,30107004,Gas House Gorillas,Humongous Melonheads,1,top,1,011,DP,1_4_DP,batted_ball_gap,Conor Sexton,Hudson Hildebrandt,475
3,03,030302,210,30302059,Baldur's Gate Beholders,Acadia Peregrines,7,top,1,011,DP,1_4_DP,batted_ball_gap,Base Ventura,True Pierce,427
3,03,030308,216,30308057,Humongous Melonheads,Aruba Sea Serpents,6,bottom,1,011,DP,1_4_DP,batted_ball_gap,Garrett Evans,LaPrince Frye,445
3,04,030405,221,30405035,Kansas City Kitties,Raccoon City Outbreak,4,bottom,1,011,DP,1_4_DP,batted_ball_gap,Antwan Zella,Diego Medina,478
3,05,030506,230,30506042,Carolina Reapers,Reykjavik Valkyries,5,top,1,011,DP,1_4_DP,batted_ball_gap,Dick Pole,Brian MacDonald,452
3,06,030606,238,30606042,Aruba Sea Serpents,Carolina Reapers,4,top,1,011,DP,1_4_DP,batted_ball_gap,Skel Etor,Hans Ali,500
3,06,030607,239,30607022,Kansas City Kitties,Reykjavik Valkyries,2,bottom,1,011,DP,1_4_DP,batted_ball_gap,Ricky Calzone,Britt O'War,465
3,08,030801,249,30801020,Ursa Major Grizzlies,Portland Pioneers,2,bottom,1,011,DP,1_4_DP,batted_ball_gap,Kali McSuntas,Gus Buster,489
3,09,030908,264,30908037,R'Lyeh Ancients,Aruba Sea Serpents,5,top,1,011,DP,1_4_DP,batted_ball_gap,Boof Boog,Rekt Kiddo,477
3,12,031205,285,31205011,Carolina Reapers,Raccoon City Outbreak,2,top,1,011,DP,1_4_DP,batted_ball_gap,Austin Schwartz,Nate Lewis,458
3,13,031307,295,31307036,Reykjavik Valkyries,Sopher McDophers,5,top,1,000,DP,1_4_DP,batted_ball_gap,Roland Kholin,William Hatchet,458
3,17,031701,311,31701010,Raccoon City Outbreak,Sunnydale Slayers,2,top,1,011,DP,1_4_DP,batted_ball_gap,Yolanda Martinez,Cal Lidous,460
2,06,020602,112,20602017,Sopher McDophers,Carolina Reapers,2,bottom,1,011,DP32,1_4_DP32,batted_ball_gap,Buckeye Logan II,Teddy Ballinger,464
2,07,020703,120,20703040,Aruba Sea Serpents,Humongous Melonheads,4,top,1,011,DP32,1_4_DP32,batted_ball_gap,Magic Simmons,Hudson Hildebrandt,466
2,11,021107,152,21107049,Portland Pioneers,Acadia Peregrines,5,bottom,1,011,DP32,1_4_DP32,batted_ball_gap,Fortuk Monmouth,Mako Bierman,450
3,13,031305,293,31305049,Raccoon City Outbreak,Miami Fuego,5,top,1,011,FCLead,1_4_FCLead,batted_ball_gap,Bob Dunagee,Will Charles,393
3,14,031404,300,31404053,R'Lyeh Ancients,Halifax Highlanders,6,bottom,1,011,FCLead,1_4_FCLead,batted_ball_gap,Jayson Bae Jr.,Frozen Inertia,427
1,01,010105,5,10105012,R'Lyeh Ancients,Sunnydale Slayers,2,top,1,101,GO,1_5_GO,batted_ball_gap,Thomas Thompson III,Angel Leon,224
3,01,030104,196,30104021,Sunnydale Slayers,Miami Fuego,2,bottom,2,111,GO,1_5_GO,batted_ball_gap,Chip Otle,Ronald Eagle V,319
1,02,010204,10,10204070,Gas House Gorillas,R'Lyeh Ancients,9,top,0,111,DP,1_7_DP,batted_ball_gap,Jimmy Johns,Boaty McBoatface,436
1,02,010204,10,10204072,R'Lyeh Ancients,Gas House Gorillas,9,bottom,1,000,DP,1_7_DP,batted_ball_gap,Thomas Thompson III,Geno Scaramucci,433
1,04,010401,19,10401022,Humongous Melonheads,Kansas City Kitties,3,top,1,111,DP,1_7_DP,batted_ball_gap,Freddie Freeballs,Phil Coulson,410
1,04,010406,24,10406015,Acadia Peregrines,Sunnydale Slayers,2,bottom,1,101,DP,1_7_DP,batted_ball_gap,Steve Shurwin,Lee Allen Ripley,467
1,05,010504,28,10504046,Acadia Peregrines,R'Lyeh Ancients,5,top,1,111,DP,1_7_DP,batted_ball_gap,Dougal McGoogol,Ace Brasco,479
1,07,010703,39,10703062,Carolina Reapers,Baldur's Gate Beholders,7,bottom,1,001,DP,1_7_DP,batted_ball_gap,Alex Yaxley,Morris Deratt,395
1,09,010902,50,10902005,Sopher McDophers,Carolina Reapers,1,top,1,111,DP,1_7_DP,batted_ball_gap,Dick Woolridge Jr.,Rub A. Chikin,479
1,10,011003,57,11003027,Aruba Sea Serpents,Carolina Reapers,3,bottom,1,111,DP,1_7_DP,batted_ball_gap,Brandon Blade,Tommy Foxconn,487
1,11,011106,66,11106011,Gas House Gorillas,Baldur's Gate Beholders,2,top,1,111,DP,1_7_DP,batted_ball_gap,Conor Sexton,Hans Ali,493
1,11,011106,66,11106046,Gas House Gorillas,Baldur's Gate Beholders,7,top,1,011,DP,1_7_DP,batted_ball_gap,Conor Sexton,Hans Ali,500
2,02,020203,85,20203037,Humongous Melonheads,Kansas City Kitties,5,top,1,111,DP,1_7_DP,batted_ball_gap,Steve Hofbardozzi Jr.,Babatunde Oladotun,426
2,02,020204,86,20204039,Aruba Sea Serpents,Reykjavik Valkyries,5,top,1,111,DP,1_7_DP,batted_ball_gap,Vandalia Halen,Britt O'War,466
2,03,020306,95,20306009,Portland Pioneers,Baldur's Gate Beholders,1,bottom,1,111,DP,1_7_DP,batted_ball_gap,Robin Reynolds,Syd Kidd,442
2,11,021106,151,21106048,Gas House Gorillas,Halifax Highlanders,6,top,1,111,DP,1_7_DP,batted_ball_gap,River Ride,Patrick Mahomes,427
2,14,021404,170,21404015,Baldur's Gate Beholders,Reykjavik Valkyries,2,top,1,111,DP,1_7_DP,batted_ball_gap,Rabbi Chase,Britt O'War,445
3,02,030202,202,30202061,Sunnydale Slayers,Baldur's Gate Beholders,6,top,1,111,DP,1_7_DP,batted_ball_gap,Charles Bullion,Devin Arianna,419
3,03,030305,213,30305049,Miami Fuego,Raccoon City Outbreak,5,top,1,111,DP,1_7_DP,batted_ball_gap,KC Bats,Mat Gamel,471
3,04,030402,218,30402015,Sunnydale Slayers,Acadia Peregrines,2,top,1,111,DP,1_7_DP,batted_ball_gap,Riles McGiles,Miss Bats,472
3,04,030403,219,30403021,Portland Pioneers,Gas House Gorillas,2,top,1,111,DP,1_7_DP,batted_ball_gap,Timmy Bendiš,Billy Winters,421
3,04,030405,221,30405021,Kansas City Kitties,Raccoon City Outbreak,2,bottom,1,111,DP,1_7_DP,batted_ball_gap,Mr. Jim Business,Diego Medina,462
3,05,030505,229,30505050,Raccoon City Outbreak,Humongous Melonheads,6,bottom,1,111,DP,1_7_DP,batted_ball_gap,Viking Fishbird,Stephen Sondheim,437
3,06,030606,238,30606005,Aruba Sea Serpents,Carolina Reapers,1,top,1,111,DP,1_7_DP,batted_ball_gap,Johnny Hendrix,Kurt Anger,423
3,08,030802,250,30802021,Gas House Gorillas,Acadia Peregrines,2,bottom,1,111,DP,1_7_DP,batted_ball_gap,Ornn Mistborn,Miss Bats,406
3,08,030805,253,30805009,Raccoon City Outbreak,Reykjavik Valkyries,1,bottom,1,111,DP,1_7_DP,batted_ball_gap,Jarey Butts,Adam Croft,452
3,09,030908,264,30908047,R'Lyeh Ancients,Aruba Sea Serpents,6,top,1,111,DP,1_7_DP,batted_ball_gap,Juniper Nyula,Rekt Kiddo,417
3,11,031104,276,31104033,Raccoon City Outbreak,Sunnydale Slayers,4,top,1,111,DP,1_7_DP,batted_ball_gap,Jarey Butts,Cal Lidous,434
2,11,021106,151,21106015,Gas House Gorillas,Halifax Highlanders,2,top,1,111,DP32,1_7_DP32,batted_ball_gap,Dixon Uraz,Jordan Peppers,461
2,14,021406,172,21406021,R'Lyeh Ancients,Portland Pioneers,3,bottom,1,111,DP32,1_7_DP32,batted_ball_gap,Lloyd Gross,Syd Kidd,445
1,01,010102,2,10102009,Carolina Reapers,Humongous Melonheads,1,bottom,1,111,FC,1_7_FC,batted_ball_gap,Brohei Brohtani,Jay Bedia,218
1,04,010402,20,10402017,Miami Fuego,Carolina Reapers,2,bottom,1,111,FC,1_7_FC,batted_ball_gap,Isaac Saffron,Rub A. Chikin,302
2,06,020607,117,20607014,Halifax Highlanders,Gas House Gorillas,2,top,2,001,FC,2_1_FC,batted_ball_gap,Butters Stotch,Calvin Huff,254
2,08,020806,130,20806008,Kansas City Kitties,Gas House Gorillas,1,bottom,2,001,FC,2_1_FC,batted_ball_gap,Blue Moon Barthelemy,Bartholomew Crumblepuff,319
2,09,020907,138,20907044,Acadia Peregrines,Reykjavik Valkyries,5,top,2,001,FC,2_1_FC,batted_ball_gap,JP Panik,Brian MacDonald,283
3,02,030204,204,30204004,R'Lyeh Ancients,Gas House Gorillas,1,top,2,001,FC,2_1_FC,batted_ball_gap,Dallas Houston,Bartholomew Crumblepuff,277
2,13,021307,166,21307012,Halifax Highlanders,Portland Pioneers,2,top,2,011,FC3rd,2_4_FC3rd,batted_ball_gap,Donked McToad,Gus Buster,253
1,04,010401,19,10401029,Humongous Melonheads,Kansas City Kitties,4,top,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Herrera O'Doubles,Jay Schwizzle,0
1,05,010503,27,10503004,Aruba Sea Serpents,Miami Fuego,1,bottom,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Willie Mays Hayes,Willoughby Hoose,0
1,08,010803,45,10803022,Aruba Sea Serpents,Kansas City Kitties,3,bottom,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Finkle Sparkles,S.A.R Dinka,0
1,08,010806,48,10806038,Baldur's Gate Beholders,Halifax Highlanders,5,bottom,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Dallas Houston,Dan Gerzone,0
1,10,011004,58,11004023,Halifax Highlanders,Acadia Peregrines,3,bottom,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Isaiah Harmon,Baron Samedi,0
2,07,020704,121,20704004,Baldur's Gate Beholders,Kansas City Kitties,1,bottom,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Jimmy Johns,Guillermo Caruthers,0
2,09,020901,132,20901001,Halifax Highlanders,Miami Fuego,1,top,0,111,AutoBB,0_0_AutoBB,no_pa_expected,Francis Herman Swagger,Jay Bedia,0
2,12,021202,154,21202032,Carolina Reapers,Reykjavik Valkyries,4,top,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Alex Yaxley,Caleb Miller,0
2,15,021501,174,21501033,Carolina Reapers,Miami Fuego,4,bottom,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Tony Stark,Ed Turner,0
2,15,021502,175,21502042,Sopher McDophers,Humongous Melonheads,5,bottom,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Chris Robin,Carney Lerouix,0
2,16,021602,182,21602001,Aruba Sea Serpents,Carolina Reapers,1,top,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Robert Abenduct,Artie Ziff,0
3,03,030305,213,30305018,Raccoon City Outbreak,Miami Fuego,2,bottom,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Joanna McMartinez,Ronald Eagle V,0
3,11,031101,273,31101005,Ursa Major Grizzlies,Carolina Reapers,1,bottom,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Barney Turbo,Teddy Ballinger,0
5,12,051203,521,51203015,Gas House Gorillas,R'Lyeh Ancients,2,bottom,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Dick Richards,Bull Dozer,0
6,02,060202,559,60202028,Gas House Gorillas,Carolina Reapers,3,bottom,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Keyo,Brian MacDonald,0
6,05,060504,585,60504055,Halifax Highlanders,Portland Pioneers,6,bottom,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Johnny Omar,Poop McGee,0
6,07,060702,599,60702031,R'Lyeh Ancients,Gas House Gorillas,4,top,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Copenhagen Black,Hornot Hivez,0
6,08,060803,608,60803012,Humongous Melonheads,R'Lyeh Ancients,2,top,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Kanye East,Skye McDowell,0
7,01,070106,674,70106035,Carolina Reapers,Raccoon City Outbreak,5,top,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Peter Hoomanawanui,Joanna McMartinez,0
7,04,070405,697,70405005,Carolina Reapers,Miami Fuego,1,bottom,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Dallas Houston,Dylan Green,0
7,05,070504,704,70504004,Raccoon City Outbreak,Portland Pioneers,1,bottom,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Bobby Portis,Kevin James,0
7,06,070607,715,70607005,Carolina Reapers,Humongous Melonheads,1,bottom,0,000,AutoBB,0_0_AutoBB,no_pa_expected,Johnny McFarland,Stephen Sondheim,0
7,11,071102,750,71102021,Gas House Gorillas,Humongous Melonheads,3,top,0,000,AutoBB,0_0_AutoBB,no_pa_expected,King Kruul,Hudson Hildebrandt,0
