id,game_id,play_num,game_code,timestamp,umpire,away,home,inning_raw,away_score,home_score,play_type,result,play_code,pitcher_id,catcher_id,pos,batter_id,on_first,on_second,on_third,scored2,scored3,scored4,er1,er2,er3,er4,pitch,swing,throw_num,runner_id,steal_num,pitcher_name,batter_name,catcher_name,runner_name,off_team,def_team,inning,half,obc,outs,diff,is_fp_inn,is_fp_app,league,season,season_type
1911,3,10103016,null,null,null,null,null,null,0,3,Steal,CS,2_1_CS,1084,1164,null,1003,1005,0,0,0,0,0,null,null,null,null,0,0,201,1005,575,Willoughby Hoose,Buckeye Logan II,Zin Martinez,Hes Nahstee,Sopher McDophers,Miami Fuego,2,bottom,001,2,0,false,false,MLN,1,null
1932,3,10103037,null,null,null,null,null,null,0,4,Steal,SB,2_1_SB,1083,1164,null,1006,1006,0,0,0,0,0,null,null,null,null,0,0,202,1006,500,Tony Smehrik,Smitty Hoppenscotch,Zin Martinez,Smitty Hoppenscotch,Sopher McDophers,Miami Fuego,5,bottom,001,2,0,false,false,MLN,1,null
85663,1267,130202029,null,6/1/2026 10:38,U1023,R5,R4,T4,0,1,Steal,CS2,0_1_CS2,13057,13011,C,13038,13040,-,-,-,-,-,-,-,-,-,null,null,18,13040,427,Sara Rousseau,C.S. Verdad,J.G. Cobblestone,Carter Kendall,R5,R4,4,top,001,0,null,false,false,RLN,null,null
1992,4,10104053,null,null,null,null,null,null,3,3,Steal,SB,2_1_SB,1152,1041,null,1015,1014,0,0,0,0,0,null,null,null,null,0,0,232,1014,478,Hans Ali,Leche Galletitas Cigarillas de Culo,Barney Summers,Bud Tuggli,Halifax Highlanders,Baldur's Gate Beholders,6,bottom,001,2,0,false,false,MLN,1,null
2033,5,10105024,null,null,null,null,null,null,2,0,Steal,CS,2_1_CS,1110,1172,null,1035,1035,0,0,0,0,0,null,null,null,null,0,0,499,1035,30,Boaty McBoatface,Pete Wheeler,Lefty Schweez,Pete Wheeler,Sunnydale Slayers,R'Lyeh Ancients,3,bottom,001,2,0,false,false,MLN,1,null
75350,1082,100801040,null,null,null,null,null,null,1,2,Steal,CS2,2_1_CS2,9010,10047,null,1012,1012,0,0,0,0,0,null,null,null,null,0,0,222,1012,689,Brent Chillwater,Reservoir Butler,Saul Pewald,Reservoir Butler,Sopher McDophers,Kansas City Kitties,5,bottom,001,2,0,false,false,MLN,10,null
75354,1082,100801044,null,null,null,null,null,null,2,2,Steal,CS2,1_1_CS2,1008,9038,null,6049,6049,0,0,0,0,0,null,null,null,null,0,0,212,6049,741,Atlas Quin,Noodle Arm Big Power ODoyle,John McDonald Jr.,Noodle Arm Big Power ODoyle,Kansas City Kitties,Sopher McDophers,6,top,001,1,0,false,false,MLN,10,null
2096,6,10106036,null,null,null,null,null,null,1,5,Steal,CS,0_1_CS,1098,1086,null,1166,1166,0,0,0,0,0,null,null,null,null,0,0,844,1166,221,Kegs Mabry,Ecliptic Astrum,George Ewell,Ecliptic Astrum,Gas House Gorillas,Acadia Peregrines,4,bottom,001,0,0,false,true,MLN,1,null
75819,1091,100902036,null,null,null,null,null,null,6,1,Steal,CS2,0_1_CS2,8002,3071,null,5022,5022,0,0,0,0,0,null,null,null,null,0,0,334,5022,783,Trevor Rose,Franz Lisztpitcher,Jura,Franz Lisztpitcher,Gas House Gorillas,Halifax Highlanders,4,bottom,001,0,0,false,false,MLN,10,null
75358,1083,100802002,null,null,null,null,null,null,0,0,Steal,SB2,0_1_SB2,3089,1133,null,1120,1120,0,0,0,0,0,null,null,null,null,0,0,420,1120,375,Joey Wheeler,Johnny Hopkins,Hank Murphy,Johnny Hopkins,Carolina Reapers,Reykjavik Valkyries,1,top,001,0,0,false,false,MLN,10,null
2812,20,10402047,null,null,null,null,null,null,2,6,Steal,SB,1_1_SB,1145,1142,null,1074,1074,0,0,0,0,0,null,null,null,null,0,0,487,1074,690,Artie Ziff,Donked McToad,Bo-Horse Jackman,Donked McToad,Miami Fuego,Carolina Reapers,5,bottom,001,1,0,false,false,MLN,1,null
2330,11,10205011,null,null,null,null,null,null,1,0,Steal,SB,2_1_SB,1027,1028,null,1018,1018,0,0,0,0,0,null,null,null,null,0,0,881,1018,781,Thomas Nova,Lane Drew,Haraldo McKenzie,Lane Drew,Halifax Highlanders,Sunnydale Slayers,2,top,001,2,0,false,false,MLN,1,null
2395,12,10206029,null,null,null,null,null,null,0,3,Steal,CS,0_5_CS,1051,1041,null,1091,1091,1096,0,0,0,0,null,null,null,null,0,0,273,1091,902,Superbone Threefinger,Dougal McGoogol,Barney Summers,Dougal McGoogol,Acadia Peregrines,Baldur's Gate Beholders,4,top,011,0,0,false,false,MLN,1,null
2489,14,10302024,null,null,null,null,null,null,1,1,Steal,CS,1_1_CS,1084,1071,null,1055,1055,0,0,0,0,0,null,null,null,null,0,0,500,1055,939,Willoughby Hoose,Osmosis Jones,Isaac Saffron,Osmosis Jones,Humongous Melonheads,Miami Fuego,3,bottom,001,1,0,false,false,MLN,1,null
2532,15,10303020,null,null,null,null,null,null,2,1,Steal,SB,1_1_SB,1070,1063,null,1119,1123,0,0,0,0,0,null,null,null,null,0,0,628,1123,500,Tommy Foxconn,Willie Mays Hayes,Alex Yaxley,Kurt Anger,Aruba Sea Serpents,Carolina Reapers,3,top,001,1,0,false,false,MLN,1,null
2604,16,10304038,null,null,null,null,null,null,2,2,Steal,SB,1_1_SB,1176,1041,null,1180,1180,0,0,0,0,0,null,null,null,null,0,0,472,1180,718,Ace Brasco,War Hamster,Barney Summers,War Hamster,R'Lyeh Ancients,Baldur's Gate Beholders,5,bottom,001,1,0,false,false,MLN,1,null
2652,17,10305040,null,null,null,null,null,null,2,2,Steal,CS,1_1_CS,1140,1133,null,1035,1035,0,0,0,0,0,null,null,null,null,0,0,888,1035,569,Bartholomew Crumblepuff,Pete Wheeler,Hank Murphy,Pete Wheeler,Sunnydale Slayers,Gas House Gorillas,5,bottom,001,1,0,false,false,MLN,1,null
2699,18,10306038,null,null,null,null,null,null,0,0,Steal,SB,1_1_SB,1097,1087,null,1021,1021,0,0,0,0,0,null,null,null,null,0,0,777,1021,950,Jameson Poe,Q Kimbrel,Foxx Dashington,Q Kimbrel,Halifax Highlanders,Acadia Peregrines,6,top,001,1,0,false,false,MLN,1,null
2795,20,10402030,null,null,null,null,null,null,1,6,Steal,SB,0_1_SB,1085,1164,null,1143,1143,0,0,0,0,0,null,null,null,null,0,0,618,1143,315,Ed Turner,Viking Fishbird,Zin Martinez,Viking Fishbird,Carolina Reapers,Miami Fuego,4,top,001,0,0,false,false,MLN,1,null
2847,21,10403027,null,null,null,null,null,null,3,0,Steal,CS,0_1_CS,1008,1002,null,1119,1119,0,0,0,0,0,null,null,null,null,0,0,875,1119,345,Atlas Quin,Willie Mays Hayes,Garitek,Willie Mays Hayes,Aruba Sea Serpents,Sopher McDophers,4,bottom,001,0,0,false,false,MLN,1,null
2861,21,10403041,null,null,null,null,null,null,4,0,Steal,SB,2_1_SB,1111,1052,null,1006,1006,0,0,0,0,0,null,null,null,null,0,0,500,1006,450,Ronald Eagle V,Smitty Hoppenscotch,Zed Leona,Smitty Hoppenscotch,Sopher McDophers,Aruba Sea Serpents,6,top,001,2,0,false,false,MLN,1,null
2864,21,10403044,null,null,null,null,null,null,4,0,Steal,SB,0_1_SB,1008,1002,null,1123,1123,0,0,0,0,0,null,null,null,null,0,0,758,1123,700,Atlas Quin,Kurt Anger,Garitek,Kurt Anger,Aruba Sea Serpents,Sopher McDophers,6,bottom,001,0,0,false,false,MLN,1,null
2865,21,10403045,null,null,null,null,null,null,4,0,Steal,SB,0_2_SB,1008,1002,null,1123,0,1123,0,0,0,0,null,null,null,null,0,0,33,1123,999,Atlas Quin,Kurt Anger,Garitek,Kurt Anger,Aruba Sea Serpents,Sopher McDophers,6,bottom,010,0,0,false,false,MLN,1,null
2869,21,10403049,null,null,null,null,null,null,4,1,Steal,CS,2_1_CS,1008,1002,null,1119,1119,0,0,0,0,0,null,null,null,null,0,0,900,1119,400,Atlas Quin,Willie Mays Hayes,Garitek,Willie Mays Hayes,Aruba Sea Serpents,Sopher McDophers,6,bottom,001,2,0,false,false,MLN,1,null
2881,22,10404012,null,null,null,null,null,null,1,0,Steal,CS,0_1_CS,1023,1014,null,1180,1180,0,0,0,0,0,null,null,null,null,0,0,632,1180,16,Dan Gerzone,War Hamster,Bud Tuggli,War Hamster,R'Lyeh Ancients,Halifax Highlanders,2,top,001,0,0,false,false,MLN,1,null
3070,25,10501035,null,null,null,null,null,null,1,3,Steal,CS,1_4_CS,1116,1100,null,1143,1143,1159,0,0,0,0,null,null,null,null,0,0,227,1159,656,Lee Allen Ripley,Viking Fishbird,Antwan Zella,Clifton Outlaw,Carolina Reapers,Kansas City Kitties,4,bottom,011,1,0,false,false,MLN,1,null
3170,27,10503030,null,null,null,null,null,null,0,1,Steal,SB,0_1_SB,1083,1071,null,1123,1123,0,0,0,0,0,null,null,null,null,0,0,107,1123,950,Tony Smehrik,Kurt Anger,Isaac Saffron,Kurt Anger,Aruba Sea Serpents,Miami Fuego,4,bottom,001,0,0,false,false,MLN,1,null
3173,27,10503033,null,null,null,null,null,null,0,1,Steal,CS,2_2_CS,1083,1071,null,1125,0,1123,0,0,0,0,null,null,null,null,0,0,205,1123,421,Tony Smehrik,Brigham Young,Isaac Saffron,Kurt Anger,Aruba Sea Serpents,Miami Fuego,4,bottom,010,2,0,false,false,MLN,1,null
3237,28,10504036,null,null,null,null,null,null,2,4,Steal,SB,0_1_SB,1099,1087,null,1180,1180,0,0,0,0,0,null,null,null,null,0,0,250,1180,317,Baron Samedi,War Hamster,Foxx Dashington,War Hamster,R'Lyeh Ancients,Acadia Peregrines,4,bottom,001,0,0,false,false,MLN,1,null
3306,30,10506008,null,null,null,null,null,null,1,0,Steal,SB,2_1_SB,1027,1153,null,1044,1173,0,0,0,0,0,null,null,null,null,0,0,127,1173,379,Thomas Nova,John Fitz,Larry Longshot,Icna Comit,Baldur's Gate Beholders,Sunnydale Slayers,1,bottom,001,1,0,false,false,MLN,1,null
75451,1084,100803041,null,null,null,null,null,null,1,2,Steal,SB2,1_1_SB2,1061,1052,null,10015,10015,0,0,0,0,0,null,null,null,null,0,0,99,10015,776,Hudson Hildebrandt,Sir Walks A Lot,Zed Leona,Sir Walks A Lot,Raccoon City Outbreak,Humongous Melonheads,5,bottom,001,1,0,false,false,MLN,10,null
3367,31,10601009,null,null,null,null,null,null,0,0,Steal,CS,2_2_CS,1150,1192,null,1172,0,1196,0,0,0,0,null,null,null,null,0,0,689,1196,321,Ricky Vaughn,Lefty Schweez,Larry Slack,Devin Arianna,R'Lyeh Ancients,Humongous Melonheads,1,bottom,010,2,0,false,false,MLN,1,null
3396,31,10601038,null,null,null,null,null,null,5,3,Steal,SB,2_1_SB,1150,1192,null,1180,1180,0,0,0,0,0,null,null,null,null,0,0,461,1180,411,Ricky Vaughn,War Hamster,Larry Slack,War Hamster,R'Lyeh Ancients,Humongous Melonheads,4,bottom,001,2,0,false,false,MLN,1,null
3419,32,10602010,null,null,null,null,null,null,0,0,Steal,SB,1_1_SB,1023,1014,null,1144,1144,0,0,0,0,0,null,null,null,null,0,0,454,1144,340,Dan Gerzone,Jake Wilson,Bud Tuggli,Jake Wilson,Carolina Reapers,Halifax Highlanders,2,top,001,1,0,false,false,MLN,1,null
163077,1968,120113006,null,null,null,null,null,null,0,0,Steal,SB2,0_1_SB2,7023,9044,null,7028,12025,-,-,-,-,-,null,null,null,null,null,null,562,12025,771,Mickey May,Perome Jeterson,Strawberry Jones,Daniel Harrison,Carolina Reapers,Miami Fuego,1,bottom,001,0,null,false,false,MLN,null,null
3547,34,10604038,null,null,null,null,null,null,0,1,Steal,SB,0_1_SB,1195,1133,null,1012,1012,0,0,0,0,0,null,null,null,null,0,0,14,1012,306,Simon Dominic,SirNose d'Voidoffunk,Hank Murphy,SirNose d'Voidoffunk,Sopher McDophers,Gas House Gorillas,6,top,001,0,0,false,false,MLN,1,null
3572,35,10605011,null,null,null,null,null,null,3,0,Steal,CS,0_1_CS,1097,1087,null,1123,1123,0,0,0,0,0,null,null,null,null,0,0,500,1123,200,Jameson Poe,Kurt Anger,Foxx Dashington,Kurt Anger,Aruba Sea Serpents,Acadia Peregrines,2,top,001,0,0,false,false,MLN,1,null
3619,36,10606011,null,null,null,null,null,null,0,0,Steal,SB,1_1_SB,1191,1041,null,1082,1082,0,0,0,0,0,null,null,null,null,0,0,999,1082,845,Morris Deratt,Basebally McBaseballface Jr.,Barney Summers,Basebally McBaseballface Jr.,Miami Fuego,Baldur's Gate Beholders,2,top,001,1,0,false,false,MLN,1,null
163256,1971,120116037,null,null,null,null,null,null,3,5,Steal,CS2,2_1_CS2,12034,1063,null,11024,1080,-,-,-,-,-,null,null,null,null,null,null,143,1080,700,Triscuit McBiskit,Ferdinand Fritzwilliam,Alex Yaxley,Commie Ohtani,Humongous Melonheads,Sopher McDophers,3,bottom,001,2,null,false,false,MLN,null,null
160750,1269,130302023,null,6/7/2026 2:05,U1035,R4,R6,B2,4,2,Steal,SB2,0_1_SB2,13039,13054,1B,13035,13029,-,-,-,-,-,-,-,-,-,null,null,233,13029,1,Max Muncy,Rusty Hammerschlagen,Coco Harreece,Mickey Scales,R6,R4,2,bottom,001,0,null,false,false,RLN,null,null
80233,1169,110401031,null,null,null,null,null,null,2,1,Steal,CS2,1_1_CS2,1026,4010,null,10003,3057,0,0,0,0,0,null,null,null,null,0,0,599,3057,69,Angel Leon,Dolphin Dingers,Matthew Heskey,Speedo Meter,Portland Pioneers,Acadia Peregrines,4,top,001,1,0,false,false,MLN,11,null
85651,1267,130202017,null,5/29/2026 22:49,U1023,R5,R4,B2,0,1,Steal,SB2,1_1_SB2,7041,13038,RF,13062,13036,-,-,-,-,-,-,-,-,-,null,null,747,13036,4,Tyler Helman,Brian Brain Drain Watertrack,C.S. Verdad,Bob McGuire,R4,R5,2,bottom,001,1,null,false,false,RLN,null,null
163454,1975,120212021,null,null,null,null,null,null,5,3,Steal,SB2,0_1_SB2,9009,3007,null,3057,8008,-,-,-,-,-,null,null,null,null,null,null,10,8008,211,Jamal Fyre,Speedo Meter,Salvatore De Luca,Guy Gilwater,Portland Pioneers,Ursa Major Grizzlies,2,top,001,0,null,false,false,MLN,null,null
163460,1975,120212027,null,null,null,null,null,null,6,3,Steal,CS2,0_1_CS2,11045,11030,null,2095,12032,-,-,-,-,-,null,null,null,null,null,null,888,12032,415,Bucky Gorgonzola,Hecate Vassiliou,Ron Swanson,Camden Yardsy,Ursa Major Grizzlies,Portland Pioneers,2,bottom,001,0,null,false,false,MLN,null,null
80730,1178,110502011,null,null,null,null,null,null,1,0,Steal,SB2,0_1_SB2,10036,3043,null,11001,10063,0,0,0,0,0,null,null,null,null,0,0,633,10063,479,Kyuss Kosades,Alexis Texas Ranger,Keyo,Penguino,Kansas City Kitties,Gas House Gorillas,2,top,001,0,0,false,false,MLN,11,null
163965,1984,120313003,null,null,null,null,null,null,0,0,Steal,CS2,1_1_CS2,5014,1097,null,10071,8049,-,-,-,-,-,null,null,null,null,null,null,412,8049,996,Sheridan Blackstone,Bobert Hideyoshi,Jameson Poe,Kries Von Kriestalhauser,Kansas City Kitties,Baldur's Gate Beholders,1,top,001,1,null,false,false,MLN,null,null
165386,2008,120613038,null,null,null,null,null,null,5,5,Steal,SB2,2_1_SB2,1174,1097,null,10035,10033,-,-,-,-,-,null,null,null,null,null,null,620,10033,570,Mad Monty,Man of Steal,Jameson Poe,Ichiro Rose,Miami Fuego,Baldur's Gate Beholders,3,bottom,001,2,null,false,false,MLN,null,null
165841,2017,120714020,null,null,null,null,null,null,1,2,Steal,SB2,1_1_SB2,1217,9001,null,1021,12025,-,-,-,-,-,null,null,null,null,null,null,909,12025,32,Johnny Dickshot,Q Kimbrel,Harvey Burton,Daniel Harrison,Carolina Reapers,Raccoon City Outbreak,2,bottom,001,0,null,false,false,MLN,null,null
165870,2017,120714049,null,null,null,null,null,null,2,2,Steal,CS2,2_1_CS2,7014,7028,null,12036,11012,-,-,-,-,-,null,null,null,null,null,null,998,11012,619,Doc Dockerson,Doc Holliday II,Perome Jeterson,Ace Brickman,Raccoon City Outbreak,Carolina Reapers,6,top,001,2,null,false,false,MLN,null,null
3869,40,10704034,null,null,null,null,null,null,6,2,Steal,SB,2_1_SB,0,1002,null,1199,1160,0,0,0,0,0,null,null,null,null,0,0,923,1160,69,,Boof Boog,Garitek,Schluffer Dingus,R'Lyeh Ancients,Sopher McDophers,4,top,001,2,0,false,true,MLN,1,null
166837,2035,120916038,null,null,null,null,null,null,3,4,Steal,CS2,0_1_CS2,7023,9041,null,9017,8013,-,-,-,-,-,null,null,null,null,null,null,449,8013,911,Mickey May,Joe Yoshi,Himmy Proton,Johnny Drama,Ursa Major Grizzlies,Miami Fuego,4,bottom,001,0,null,false,false,MLN,null,null
3971,42,10706032,null,null,null,null,null,null,3,1,Steal,SB,1_1_SB,1025,1186,null,1114,1114,0,0,0,0,0,null,null,null,null,0,0,528,1114,464,Charlie Yeager,Mudflap Ricketts,Francis Herman Swagger,Mudflap Ricketts,Aruba Sea Serpents,Halifax Highlanders,4,bottom,001,1,0,false,false,MLN,1,null
3993,43,10801007,null,null,null,null,null,null,1,0,Steal,SB,0_1_SB,1145,1063,null,1205,1205,0,0,0,0,0,null,null,null,null,0,0,462,1205,666,Artie Ziff,Stephen Sondheim,Alex Yaxley,Stephen Sondheim,Humongous Melonheads,Carolina Reapers,1,bottom,001,0,0,false,false,MLN,1,null
4007,43,10801021,null,null,null,null,null,null,2,4,Steal,CS,0_1_CS,1145,1063,null,1205,1205,0,0,0,0,0,null,null,null,null,0,0,123,1205,700,Artie Ziff,Stephen Sondheim,Alex Yaxley,Stephen Sondheim,Humongous Melonheads,Carolina Reapers,2,bottom,001,0,0,false,false,MLN,1,null
4009,43,10801023,null,null,null,null,null,null,2,4,Steal,CS,1_1_CS,1145,1063,null,1055,1055,0,0,0,0,0,null,null,null,null,0,0,854,1055,0,Artie Ziff,Osmosis Jones,Alex Yaxley,Osmosis Jones,Humongous Melonheads,Carolina Reapers,2,bottom,001,0,0,false,false,MLN,1,null
4037,44,10802006,null,null,null,null,null,null,0,0,Steal,SB,1_1_SB,1009,1002,null,1082,1082,0,0,0,0,0,null,null,null,null,0,0,802,1082,500,Andrew Peters,Basebally McBaseballface Jr.,Garitek,Basebally McBaseballface Jr.,Miami Fuego,Sopher McDophers,1,bottom,001,1,0,false,false,MLN,1,null
4137,46,10804003,null,null,null,null,null,null,0,0,Steal,SB,1_1_SB,1176,1172,null,1035,1035,0,0,0,0,0,null,null,null,null,0,0,980,1035,888,Ace Brasco,Pete Wheeler,Lefty Schweez,Pete Wheeler,Sunnydale Slayers,R'Lyeh Ancients,1,top,001,1,0,false,false,MLN,1,null
4269,48,10806025,null,null,null,null,null,null,0,5,Steal,CS,2_3_CS,1023,1014,null,1048,0,0,1048,0,0,0,null,null,null,null,0,0,261,1048,531,Dan Gerzone,Spike McBride,Bud Tuggli,Spike McBride,Baldur's Gate Beholders,Halifax Highlanders,3,bottom,100,1,0,false,false,MLN,1,null
4274,48,10806030,null,null,null,null,null,null,0,5,Steal,CS,0_1_CS,1023,1014,null,1049,1049,0,0,0,0,0,null,null,null,null,0,0,876,1049,350,Dan Gerzone,Dixie Wrecked,Bud Tuggli,Dixie Wrecked,Baldur's Gate Beholders,Halifax Highlanders,4,bottom,001,0,0,false,false,MLN,1,null
4800,58,11004042,null,null,null,null,null,null,5,4,Steal,SB,0_1_SB,1025,1087,null,1197,1197,0,0,0,0,0,null,null,null,null,0,0,600,1197,400,Charlie Yeager,Isaiah Harmon,Foxx Dashington,Isaiah Harmon,Halifax Highlanders,Acadia Peregrines,5,bottom,001,0,0,false,false,MLN,1,null
4353,49,10901043,null,null,null,null,null,null,9,1,Steal,CS,0_1_CS,1083,1164,null,1100,1100,0,0,0,0,0,null,null,null,null,0,0,317,1100,819,Tony Smehrik,Antwan Zella,Zin Martinez,Antwan Zella,Kansas City Kitties,Miami Fuego,5,bottom,001,0,0,false,false,MLN,1,null
4426,51,10903019,null,null,null,null,null,null,1,2,Steal,SB,1_1_SB,1111,1052,null,1205,1205,0,0,0,0,0,null,null,null,null,0,0,200,1205,500,Ronald Eagle V,Stephen Sondheim,Zed Leona,Stephen Sondheim,Humongous Melonheads,Aruba Sea Serpents,3,top,001,1,0,false,false,MLN,1,null
83082,1219,111003042,null,null,null,null,null,null,2,5,Steal,CS2,1_1_CS2,6022,8016,null,9035,11012,0,0,0,0,0,null,null,null,null,0,0,20,11012,500,Six,Mike Ock,Robbie TIghtpants,Ace Brickman,Miami Fuego,R'Lyeh Ancients,5,bottom,001,1,0,false,false,MLN,11,null
4543,53,10905042,null,null,null,null,null,null,3,0,Steal,SB,2_1_SB,1110,1210,null,1166,1166,0,0,0,0,0,null,null,null,null,0,0,379,1166,355,Boaty McBoatface,Ecliptic Astrum,Berna Pozo,Ecliptic Astrum,Gas House Gorillas,R'Lyeh Ancients,5,bottom,001,2,0,false,false,MLN,1,null
83242,1222,111006051,null,null,null,null,null,null,6,4,Steal,CS2,0_1_CS2,3005,9044,null,5011,2097,0,0,0,0,0,null,null,null,null,0,0,401,2097,930,Pablo Sanchez,Mo Mo,Strawberry Jones,Dirtbag Darrell,Aruba Sea Serpents,Halifax Highlanders,5,bottom,001,0,0,false,false,MLN,11,null
4640,55,11001031,null,null,null,null,null,null,8,3,Steal,CS,1_2_CS,1116,1100,null,1006,0,1006,0,0,0,0,null,null,null,null,0,0,123,1006,325,Lee Allen Ripley,Smitty Hoppenscotch,Antwan Zella,Smitty Hoppenscotch,Sopher McDophers,Kansas City Kitties,3,top,010,1,0,false,false,MLN,1,null
4727,57,11003019,null,null,null,null,null,null,1,0,Steal,SB,1_1_SB,1113,1052,null,1120,1120,0,0,0,0,0,null,null,null,null,0,0,800,1120,625,Sam Seaborn,Johnny Hopkins,Zed Leona,Johnny Hopkins,Carolina Reapers,Aruba Sea Serpents,3,top,001,1,0,false,false,MLN,1,null
4912,60,11006041,null,null,null,null,null,null,6,2,Steal,AutoSB,2_1_AutoSB,1204,1041,null,1158,1180,0,0,0,0,0,null,null,null,null,0,0,0,1180,0,Syd Kidd,Master Cashier,Barney Summers,War Hamster,R'Lyeh Ancients,Baldur's Gate Beholders,5,top,001,2,0,false,false,MLN,1,null
83636,1229,111105030,null,null,null,null,null,null,0,0,Steal,CS2,0_1_CS2,5014,1166,null,5030,2020,0,0,0,0,0,null,null,null,null,0,0,21,2020,500,Sheridan Blackstone,Dirk Digglet,Ecliptic Astrum,Demetrios Ooga,Aruba Sea Serpents,Baldur's Gate Beholders,5,top,001,0,0,false,false,MLN,11,null
4997,62,11102028,null,null,null,null,null,null,2,6,Steal,SB,1_1_SB,1085,1071,null,1120,1120,0,0,0,0,0,null,null,null,null,0,0,257,1120,49,Ed Turner,Johnny Hopkins,Isaac Saffron,Johnny Hopkins,Carolina Reapers,Miami Fuego,3,bottom,001,1,0,false,false,MLN,1,null
5010,62,11102041,null,null,null,null,null,null,2,8,Steal,CS,2_5_CS,1084,1071,null,1120,1120,0,1064,0,0,0,null,null,null,null,0,0,800,1120,411,Willoughby Hoose,Johnny Hopkins,Isaac Saffron,Johnny Hopkins,Carolina Reapers,Miami Fuego,4,bottom,101,2,0,false,false,MLN,1,null
5038,63,11103011,null,null,null,null,null,null,1,1,Steal,SB,1_1_SB,1009,1002,null,1114,1114,0,0,0,0,0,null,null,null,null,0,0,262,1114,534,Andrew Peters,Mudflap Ricketts,Garitek,Mudflap Ricketts,Aruba Sea Serpents,Sopher McDophers,2,top,001,1,0,false,false,MLN,1,null
5044,63,11103017,null,null,null,null,null,null,1,1,Steal,SB,1_1_SB,1123,1052,null,1006,1006,0,0,0,0,0,null,null,null,null,0,0,150,1006,900,Kurt Anger,Smitty Hoppenscotch,Zed Leona,Smitty Hoppenscotch,Sopher McDophers,Aruba Sea Serpents,2,bottom,001,1,0,false,false,MLN,1,null
