con,eye,pwr,spd,batter_label,pitcher,p_hand,p_mov,p_cmd,p_vel,p_awr,HR,3B,2B,1B,IF1B,BB,FO,PO,GO,K,BB_pct,1B_pct,2B_pct,3B_pct,HR_pct,H_pct,AVG,OBP,SLG,OPS,xRV,steal_bonus,xRV_steal
1,1,5,5,1-1-5-5,Mickey Martino,L,4,4,1,3,48,8,33,35,12,14,40,10,156,145,0.0279,0.0938,0.0659,0.016,0.0958,0.2715,0.2793,0.2994,0.6756,0.975,-0.0054,0.0,-0.0054
1,1,5,5,1-1-5-5,C.S. Verdad,R,4,5,2,1,31,10,39,42,17,2,46,14,162,138,0.004,0.1178,0.0778,0.02,0.0619,0.2774,0.2786,0.2814,0.5832,0.8646,-0.0338,0.0,-0.0338
1,1,5,5,1-1-5-5,Carter Kendall,R,4,3,3,2,23,8,35,54,13,22,48,17,143,138,0.0439,0.1337,0.0699,0.016,0.0459,0.2655,0.2777,0.3094,0.5282,0.8376,-0.0318,0.0,-0.0318
1,1,5,5,1-1-5-5,Don Bon,L,4,2,4,2,22,9,36,58,14,30,48,20,119,145,0.0599,0.1437,0.0719,0.018,0.0439,0.2774,0.2951,0.3373,0.5499,0.8872,-0.0146,0.0,-0.0146
1,1,5,5,1-1-5-5,Fat Lever,L,3,3,3,3,24,8,33,68,12,23,46,17,140,130,0.0459,0.1597,0.0659,0.016,0.0479,0.2894,0.3033,0.3353,0.5565,0.8918,-0.0158,0.0,-0.0158
1,1,5,5,1-1-5-5,Gracie Mlodzianowski-Cwej,R,3,5,2,2,31,8,35,55,13,2,45,14,175,123,0.004,0.1357,0.0699,0.016,0.0619,0.2834,0.2846,0.2874,0.5731,0.8606,-0.0344,0.0,-0.0344
1,1,5,5,1-1-5-5,Salami,L,4,2,3,3,24,8,33,59,12,30,46,17,127,145,0.0599,0.1417,0.0659,0.016,0.0479,0.2715,0.2887,0.3313,0.5456,0.877,-0.0182,0.0,-0.0182
1,1,5,5,1-1-5-5,Tuck,R,5,5,1,1,45,10,39,17,17,2,42,10,163,156,0.004,0.0679,0.0778,0.02,0.0898,0.2555,0.2565,0.2595,0.6453,0.9048,-0.0283,0.0,-0.0283
1,1,5,5,1-1-5-5,Mickey May,R,2,5,4,1,21,10,39,67,17,2,50,21,162,112,0.004,0.1677,0.0778,0.02,0.0419,0.3074,0.3086,0.3114,0.5531,0.8645,-0.029,0.0,-0.029
1,1,5,5,1-1-5-5,Sonar McDeuceski,R,5,4,2,1,31,10,39,31,17,13,46,14,144,156,0.0259,0.0958,0.0778,0.02,0.0619,0.2555,0.2623,0.2814,0.5738,0.8552,-0.0338,0.0,-0.0338
1,1,5,5,1-1-5-5,Bingle Johnson,L,5,3,1,3,48,8,33,24,12,23,40,10,139,164,0.0459,0.0719,0.0659,0.016,0.0958,0.2495,0.2615,0.2954,0.6653,0.9607,-0.0079,0.0,-0.0079
1,1,5,5,1-1-5-5,Henry Atombomb,R,2,3,5,2,19,8,35,73,13,22,49,23,147,112,0.0439,0.1717,0.0699,0.016,0.0379,0.2954,0.309,0.3393,0.5344,0.8738,-0.019,0.0,-0.019
1,1,5,5,1-1-5-5,Nathanial Swenson,L,5,1,3,3,24,8,33,48,12,35,47,17,113,164,0.0699,0.1198,0.0659,0.016,0.0479,0.2495,0.2682,0.3194,0.5279,0.8473,-0.0255,0.0,-0.0255
1,1,5,5,1-1-5-5,Nash Ellis,R,2,2,4,4,21,6,30,75,10,29,48,20,150,112,0.0579,0.1697,0.0599,0.012,0.0419,0.2834,0.3008,0.3413,0.5233,0.8646,-0.0199,0.0,-0.0199
1,1,5,5,1-1-5-5,Hudson Hildebrandt,R,5,1,5,1,19,10,39,43,17,34,50,23,110,156,0.0679,0.1198,0.0778,0.02,0.0379,0.2555,0.2741,0.3234,0.5225,0.8458,-0.0245,0.0,-0.0245
1,1,5,5,1-1-5-5,Rascal Alex,L,2,4,3,3,24,8,33,76,12,14,46,17,154,117,0.0279,0.1756,0.0659,0.016,0.0479,0.3054,0.3142,0.3333,0.5626,0.896,-0.017,0.0,-0.017
1,1,5,5,1-1-5-5,Sleve McDichael,R,5,1,3,3,23,7,32,46,11,34,48,17,127,156,0.0679,0.1138,0.0639,0.014,0.0459,0.2375,0.2548,0.3054,0.5011,0.8065,-0.0369,0.0,-0.0369
1,1,5,5,1-1-5-5,Mad Monty,L,4,4,1,3,48,8,33,35,12,14,40,10,156,145,0.0279,0.0938,0.0659,0.016,0.0958,0.2715,0.2793,0.2994,0.6756,0.975,-0.0054,0.0,-0.0054
1,1,5,5,1-1-5-5,John Wittman,L,3,2,5,2,20,9,36,69,14,30,48,23,122,130,0.0599,0.1657,0.0719,0.018,0.0399,0.2954,0.3142,0.3553,0.5563,0.9116,-0.0064,0.0,-0.0064
1,1,5,5,1-1-5-5,Maurice Cheeks,R,4,2,5,1,19,10,39,54,17,29,49,23,123,138,0.0579,0.1417,0.0778,0.02,0.0379,0.2774,0.2945,0.3353,0.5403,0.8756,-0.0172,0.0,-0.0172
1,1,5,5,1-1-5-5,Ricky Venucci,L,3,2,5,2,20,9,36,69,14,30,48,23,122,130,0.0599,0.1657,0.0719,0.018,0.0399,0.2954,0.3142,0.3553,0.5563,0.9116,-0.0064,0.0,-0.0064
1,1,5,5,1-1-5-5,Ryan Gastings,L,2,4,2,4,32,7,31,69,11,14,43,14,163,117,0.0279,0.1597,0.0619,0.014,0.0639,0.2994,0.308,0.3273,0.5975,0.9249,-0.012,0.0,-0.012
1,1,5,5,1-1-5-5,Sheldor Sheldor,R,3,2,4,3,21,7,32,68,11,29,48,20,142,123,0.0579,0.1577,0.0639,0.014,0.0419,0.2774,0.2945,0.3353,0.5254,0.8608,-0.0214,0.0,-0.0214
1,1,5,5,1-1-5-5,Geno Scaramucci,L,5,4,1,2,48,9,36,21,14,14,40,10,145,164,0.0279,0.0699,0.0719,0.018,0.0958,0.2555,0.2628,0.2834,0.6694,0.9528,-0.0125,0.0,-0.0125
1,1,5,5,1-1-5-5,Kancing Mutlak,R,2,2,4,4,21,6,30,75,10,29,48,20,150,112,0.0579,0.1697,0.0599,0.012,0.0419,0.2834,0.3008,0.3413,0.5233,0.8646,-0.0199,0.0,-0.0199
1,1,5,5,1-1-5-5,peachespeachespeaches,R,2,3,2,5,31,5,29,65,9,22,43,13,172,112,0.0439,0.1477,0.0579,0.01,0.0619,0.2774,0.2902,0.3214,0.5658,0.8871,-0.0201,0.0,-0.0201
1,1,5,5,1-1-5-5,Matt Himynamis,R,2,5,3,2,23,8,35,69,13,2,48,18,173,112,0.004,0.1637,0.0699,0.016,0.0459,0.2954,0.2966,0.2994,0.5371,0.8365,-0.0378,0.0,-0.0378
1,1,5,5,1-1-5-5,AALarry Longshot,R,3,2,4,3,21,7,32,68,11,29,48,20,142,123,0.0579,0.1577,0.0639,0.014,0.0419,0.2774,0.2945,0.3353,0.5254,0.8608,-0.0214,0.0,-0.0214
1,1,5,5,1-1-5-5,Joe Mitsubishi,R,3,5,3,1,23,10,39,59,17,2,48,18,162,123,0.004,0.1517,0.0778,0.02,0.0459,0.2954,0.2966,0.2994,0.5531,0.8525,-0.0336,0.0,-0.0336
1,1,5,5,1-1-5-5,Satchel O'Cultist 44,L,4,2,4,2,22,9,36,58,14,30,48,20,119,145,0.0599,0.1437,0.0719,0.018,0.0439,0.2774,0.2951,0.3373,0.5499,0.8872,-0.0146,0.0,-0.0146
1,1,5,5,1-1-5-5,Brent Chillwater,L,5,3,1,3,48,8,33,24,12,23,40,10,139,164,0.0459,0.0719,0.0659,0.016,0.0958,0.2495,0.2615,0.2954,0.6653,0.9607,-0.0079,0.0,-0.0079
1,1,5,5,1-1-5-5,Triscuit McBiskit,R,5,4,1,2,45,8,35,21,13,13,41,10,159,156,0.0259,0.0679,0.0699,0.016,0.0898,0.2435,0.25,0.2695,0.6311,0.9006,-0.0265,0.0,-0.0265
1,1,5,5,1-1-5-5,R'lyeh R'ivy,R,4,2,4,2,21,8,35,56,13,29,49,20,132,138,0.0579,0.1377,0.0699,0.016,0.0419,0.2655,0.2818,0.3234,0.5233,0.8467,-0.026,0.0,-0.026
1,1,5,5,1-1-5-5,Atlas Quin,L,3,2,4,3,22,8,33,70,12,30,47,20,129,130,0.0599,0.1637,0.0659,0.016,0.0439,0.2894,0.3079,0.3493,0.552,0.9013,-0.01,0.0,-0.01
1,1,5,5,1-1-5-5,Bartholomew Crumblepuff,L,3,2,4,3,22,8,33,70,12,30,47,20,129,130,0.0599,0.1637,0.0659,0.016,0.0439,0.2894,0.3079,0.3493,0.552,0.9013,-0.01,0.0,-0.01
1,1,5,5,1-1-5-5,Kenji Matsumoto,L,3,3,4,2,22,9,36,67,14,23,48,20,132,130,0.0459,0.1617,0.0719,0.018,0.0439,0.2954,0.3096,0.3413,0.5607,0.902,-0.0122,0.0,-0.0122
1,1,5,5,1-1-5-5,Liam,L,4,3,4,1,22,11,41,53,18,23,48,20,120,145,0.0459,0.1417,0.0818,0.022,0.0439,0.2894,0.3033,0.3353,0.5732,0.9086,-0.0111,0.0,-0.0111
1,1,5,5,1-1-5-5,Max Muncy,L,5,2,3,2,24,9,36,45,14,30,47,17,115,164,0.0599,0.1178,0.0719,0.018,0.0479,0.2555,0.2718,0.3154,0.5393,0.8546,-0.0253,0.0,-0.0253
1,1,5,5,1-1-5-5,Rusty Hammerschlagen,R,3,4,4,1,21,10,39,61,17,13,49,21,147,123,0.0259,0.1557,0.0778,0.02,0.0419,0.2954,0.3033,0.3214,0.5533,0.8746,-0.023,0.0,-0.023
1,1,5,5,1-1-5-5,Sara Rousseau,R,3,5,3,1,23,10,39,59,17,2,48,18,162,123,0.004,0.1517,0.0778,0.02,0.0459,0.2954,0.2966,0.2994,0.5531,0.8525,-0.0336,0.0,-0.0336
1,1,5,5,1-1-5-5,Tyler Helman,L,3,4,4,1,22,11,41,62,18,14,48,21,134,130,0.0279,0.1597,0.0818,0.022,0.0439,0.3074,0.3162,0.3353,0.5811,0.9164,-0.0111,0.0,-0.0111
1,1,5,5,1-1-5-5,James St. Louis,R,2,5,2,3,31,7,32,64,11,2,45,14,183,112,0.004,0.1497,0.0639,0.014,0.0619,0.2894,0.2906,0.2934,0.5691,0.8626,-0.0334,0.0,-0.0334
1,1,5,5,1-1-5-5,Joey Wheeler,L,5,3,2,2,32,9,36,37,14,23,44,13,129,164,0.0459,0.1018,0.0719,0.018,0.0639,0.2555,0.2678,0.3014,0.5816,0.883,-0.023,0.0,-0.023
1,1,5,5,1-1-5-5,LaCarpetron Dukemarriot II,R,4,2,4,2,21,8,35,56,13,29,49,20,132,138,0.0579,0.1377,0.0699,0.016,0.0419,0.2655,0.2818,0.3234,0.5233,0.8467,-0.026,0.0,-0.026
1,1,5,5,1-1-5-5,Lane Drew,L,3,3,4,2,22,9,36,67,14,23,48,20,132,130,0.0459,0.1617,0.0719,0.018,0.0439,0.2954,0.3096,0.3413,0.5607,0.902,-0.0122,0.0,-0.0122
1,1,5,5,1-1-5-5,Pablo Sanchez,R,5,4,2,1,31,10,39,31,17,13,46,14,144,156,0.0259,0.0958,0.0778,0.02,0.0619,0.2555,0.2623,0.2814,0.5738,0.8552,-0.0338,0.0,-0.0338
1,1,5,5,1-1-5-5,Finkle Sparkles,R,4,2,4,2,21,8,35,56,13,29,49,20,132,138,0.0579,0.1377,0.0699,0.016,0.0419,0.2655,0.2818,0.3234,0.5233,0.8467,-0.026,0.0,-0.026
1,1,5,5,1-1-5-5,Kyuss Kosades,R,3,3,5,1,19,10,39,63,17,22,49,23,136,123,0.0439,0.1597,0.0778,0.02,0.0379,0.2954,0.309,0.3393,0.5511,0.8905,-0.0148,0.0,-0.0148
1,1,5,5,1-1-5-5,Mama Luigi,L,4,1,2,5,32,6,30,52,10,35,43,13,135,145,0.0699,0.1238,0.0599,0.012,0.0639,0.2595,0.279,0.3293,0.5751,0.9044,-0.0124,0.0,-0.0124
1,1,5,5,1-1-5-5,Meerkat Preller,L,4,5,1,2,48,9,36,32,14,3,40,10,164,145,0.006,0.0918,0.0719,0.018,0.0958,0.2774,0.2791,0.2834,0.6767,0.9601,-0.0125,0.0,-0.0125
1,1,5,5,1-1-5-5,Adam Croft,L,5,4,1,2,48,9,36,21,14,14,40,10,145,164,0.0279,0.0699,0.0719,0.018,0.0958,0.2555,0.2628,0.2834,0.6694,0.9528,-0.0125,0.0,-0.0125
1,1,5,5,1-1-5-5,Jamal Fyre,R,4,1,5,2,19,8,35,58,13,34,49,23,124,138,0.0679,0.1417,0.0699,0.016,0.0379,0.2655,0.2848,0.3333,0.5161,0.8494,-0.0226,0.0,-0.0226
1,1,5,5,1-1-5-5,Sock Monkey,L,2,3,4,3,22,8,33,78,12,23,47,20,141,117,0.0459,0.1796,0.0659,0.016,0.0439,0.3054,0.3201,0.3513,0.5607,0.912,-0.0088,0.0,-0.0088
1,1,5,5,1-1-5-5,Tony Smehrik,L,3,5,2,2,32,9,36,57,14,3,44,14,162,130,0.006,0.1417,0.0719,0.018,0.0639,0.2954,0.2972,0.3014,0.5984,0.8998,-0.023,0.0,-0.023
1,1,5,5,1-1-5-5,Arby Eye,L,1,5,4,2,22,9,36,79,14,3,49,21,161,107,0.006,0.1856,0.0719,0.018,0.0439,0.3194,0.3213,0.3253,0.5622,0.8876,-0.0219,0.0,-0.0219
1,1,5,5,1-1-5-5,Jimothy Jhompson,L,4,2,4,2,22,9,36,58,14,30,48,20,119,145,0.0599,0.1437,0.0719,0.018,0.0439,0.2774,0.2951,0.3373,0.5499,0.8872,-0.0146,0.0,-0.0146
1,1,5,5,1-1-5-5,Jura Benjamin Juney,R,2,5,4,1,21,10,39,67,17,2,50,21,162,112,0.004,0.1677,0.0778,0.02,0.0419,0.3074,0.3086,0.3114,0.5531,0.8645,-0.029,0.0,-0.029
1,1,5,5,1-1-5-5,Trevor Rose,R,3,2,4,3,21,7,32,68,11,29,48,20,142,123,0.0579,0.1577,0.0639,0.014,0.0419,0.2774,0.2945,0.3353,0.5254,0.8608,-0.0214,0.0,-0.0214
1,1,5,5,1-1-5-5,K Junk,R,5,4,1,2,45,8,35,21,13,13,41,10,159,156,0.0259,0.0679,0.0699,0.016,0.0898,0.2435,0.25,0.2695,0.6311,0.9006,-0.0265,0.0,-0.0265
1,1,5,5,1-1-5-5,Kevin James,L,3,3,5,1,20,11,41,64,18,23,48,23,123,130,0.0459,0.1637,0.0818,0.022,0.0399,0.3074,0.3222,0.3533,0.5795,0.9328,-0.0029,0.0,-0.0029
1,1,5,5,1-1-5-5,Damon Razor,L,2,4,4,2,22,9,36,75,14,14,48,21,145,117,0.0279,0.1776,0.0719,0.018,0.0439,0.3114,0.3203,0.3393,0.5667,0.9061,-0.0134,0.0,-0.0134
1,1,5,5,1-1-5-5,Dakota Carolina Montana,R,3,4,2,3,31,7,32,58,11,13,44,14,168,123,0.0259,0.1377,0.0639,0.014,0.0619,0.2774,0.2848,0.3034,0.5697,0.8731,-0.0273,0.0,-0.0273
1,1,5,5,1-1-5-5,Haloick Oasis,L,3,5,2,2,32,9,36,57,14,3,44,14,162,130,0.006,0.1417,0.0719,0.018,0.0639,0.2954,0.2972,0.3014,0.5984,0.8998,-0.023,0.0,-0.023
1,1,5,5,1-1-5-5,Johnny Dickshot,R,4,4,3,1,23,10,39,50,17,13,48,17,146,138,0.0259,0.1337,0.0778,0.02,0.0459,0.2774,0.2848,0.3034,0.5471,0.8505,-0.0312,0.0,-0.0312
1,1,5,5,1-1-5-5,Mitch Meanmug,R,4,3,3,2,23,8,35,54,13,22,48,17,143,138,0.0439,0.1337,0.0699,0.016,0.0459,0.2655,0.2777,0.3094,0.5282,0.8376,-0.0318,0.0,-0.0318
1,1,5,5,1-1-5-5,Spitty McSpit,L,1,4,2,5,32,6,30,73,10,14,43,14,172,107,0.0279,0.1657,0.0599,0.012,0.0639,0.3014,0.3101,0.3293,0.5934,0.9228,-0.0124,0.0,-0.0124
1,1,5,5,1-1-5-5,Smokey Zygowski,R,4,4,2,2,31,8,35,46,13,13,45,14,158,138,0.0259,0.1178,0.0699,0.016,0.0619,0.2655,0.2725,0.2914,0.5676,0.859,-0.032,0.0,-0.032
1,1,5,5,1-1-5-5,XxXJuniJuni PandaXxX,L,2,5,4,1,22,11,41,70,18,3,49,21,149,117,0.006,0.1756,0.0818,0.022,0.0439,0.3234,0.3253,0.3293,0.5843,0.9137,-0.0147,0.0,-0.0147
1,1,5,5,1-1-5-5,R'lyeh Cultist 14,R,5,4,1,2,45,8,35,21,13,13,41,10,159,156,0.0259,0.0679,0.0699,0.016,0.0898,0.2435,0.25,0.2695,0.6311,0.9006,-0.0265,0.0,-0.0265
1,1,5,5,1-1-5-5,VI,L,3,3,5,1,20,11,41,64,18,23,48,23,123,130,0.0459,0.1637,0.0818,0.022,0.0399,0.3074,0.3222,0.3533,0.5795,0.9328,-0.0029,0.0,-0.0029
1,1,5,5,1-1-5-5,December Beckett,R,4,3,2,3,31,7,32,49,11,22,44,13,154,138,0.0439,0.1198,0.0639,0.014,0.0619,0.2595,0.2714,0.3034,0.5616,0.865,-0.0273,0.0,-0.0273
1,1,5,5,1-1-5-5,AJ Wolfe,L,5,5,1,1,48,11,41,16,18,3,41,10,149,164,0.006,0.0679,0.0818,0.022,0.0958,0.2675,0.2691,0.2735,0.6847,0.9582,-0.0137,0.0,-0.0137
1,1,5,5,1-1-5-5,John Applebees,R,3,3,4,2,21,8,35,65,13,22,49,20,145,123,0.0439,0.1557,0.0699,0.016,0.0419,0.2834,0.2965,0.3273,0.5344,0.8618,-0.0236,0.0,-0.0236
1,2,4,5,1-2-4-5,Bucky Gorgonzola,L,2,3,5,2,18,9,36,79,14,30,48,26,124,117,0.0599,0.1856,0.0719,0.018,0.0359,0.3114,0.3312,0.3713,0.5605,0.9318,0.0006,0.0,0.0006
1,2,4,5,1-2-4-5,Captain Trash,L,4,1,2,5,24,6,30,60,10,41,45,16,124,145,0.0818,0.1397,0.0599,0.012,0.0479,0.2595,0.2826,0.3413,0.5304,0.8718,-0.0158,0.0,-0.0158
1,2,4,5,1-2-4-5,Dirk Digglet,R,5,4,2,1,23,10,39,39,17,22,48,17,130,156,0.0439,0.1118,0.0778,0.02,0.0459,0.2555,0.2672,0.2994,0.5344,0.8338,-0.0336,0.0,-0.0336
1,2,4,5,1-2-4-5,Lightning Volt,R,4,1,4,3,19,7,32,61,11,39,49,23,122,138,0.0778,0.1437,0.0639,0.014,0.0379,0.2595,0.2814,0.3373,0.5043,0.8417,-0.0229,0.0,-0.0229
1,2,4,5,1-2-4-5,Sterling Turlington,R,4,4,2,2,23,8,35,54,13,22,48,17,143,138,0.0439,0.1337,0.0699,0.016,0.0459,0.2655,0.2777,0.3094,0.5282,0.8376,-0.0318,0.0,-0.0318
1,2,4,5,1-2-4-5,Daz Reference,R,4,3,2,3,23,7,32,57,11,29,47,17,140,138,0.0579,0.1357,0.0639,0.014,0.0459,0.2595,0.2754,0.3174,0.5191,0.8364,-0.0296,0.0,-0.0296
1,2,4,5,1-2-4-5,Dilwyn Silversheen,L,5,3,3,1,22,11,41,42,18,30,49,20,104,164,0.0599,0.1198,0.0818,0.022,0.0439,0.2675,0.2845,0.3273,0.5584,0.8857,-0.0159,0.0,-0.0159
1,2,4,5,1-2-4-5,Clifton McCullough,L,4,4,1,3,32,8,33,51,12,23,43,13,141,145,0.0459,0.1257,0.0659,0.016,0.0639,0.2715,0.2845,0.3174,0.5879,0.9052,-0.016,0.0,-0.016
1,2,4,5,1-2-4-5,Sheridan Blackstone,R,4,4,2,2,23,8,35,54,13,22,48,17,143,138,0.0439,0.1337,0.0699,0.016,0.0459,0.2655,0.2777,0.3094,0.5282,0.8376,-0.0318,0.0,-0.0318
1,2,4,5,1-2-4-5,Talon Wingdiver,R,4,2,5,1,17,10,39,56,17,34,50,26,114,138,0.0679,0.1457,0.0778,0.02,0.0339,0.2774,0.2976,0.3453,0.5332,0.8785,-0.0138,0.0,-0.0138
1,2,4,5,1-2-4-5,Chunky Menthol,L,3,4,1,4,32,7,31,61,11,23,43,13,150,130,0.0459,0.1437,0.0619,0.014,0.0639,0.2834,0.2971,0.3293,0.5921,0.9214,-0.0108,0.0,-0.0108
1,2,4,5,1-2-4-5,Doc Dockerson,R,4,3,3,2,21,8,35,56,13,29,49,20,132,138,0.0579,0.1377,0.0699,0.016,0.0419,0.2655,0.2818,0.3234,0.5233,0.8467,-0.026,0.0,-0.026
1,2,4,5,1-2-4-5,Ryan Sir-Wondery,L,4,2,4,2,20,9,36,60,14,35,48,23,111,145,0.0699,0.1477,0.0719,0.018,0.0399,0.2774,0.2983,0.3473,0.5429,0.8902,-0.0113,0.0,-0.0113
1,2,4,5,1-2-4-5,Alexander Duquense,R,2,4,5,1,17,10,39,71,17,22,49,27,137,112,0.0439,0.1756,0.0778,0.02,0.0339,0.3074,0.3215,0.3513,0.5511,0.9024,-0.0102,0.0,-0.0102
1,2,4,5,1-2-4-5,Annabelle TheGlorious,R,4,4,3,1,21,10,39,52,17,22,49,20,133,138,0.0439,0.1377,0.0778,0.02,0.0419,0.2774,0.2902,0.3214,0.5449,0.8662,-0.023,0.0,-0.023
1,2,4,5,1-2-4-5,Ant Man,R,3,3,5,1,17,10,39,65,17,29,49,26,126,123,0.0579,0.1637,0.0778,0.02,0.0339,0.2954,0.3136,0.3533,0.5466,0.8999,-0.009,0.0,-0.009
1,2,4,5,1-2-4-5,Fabian Seacaster,L,4,4,2,2,24,9,36,56,14,23,47,17,130,145,0.0459,0.1397,0.0719,0.018,0.0479,0.2774,0.2908,0.3234,0.5544,0.8777,-0.0204,0.0,-0.0204
1,2,4,5,1-2-4-5,Hubert Dubois,R,2,4,5,1,17,10,39,71,17,22,49,27,137,112,0.0439,0.1756,0.0778,0.02,0.0339,0.3074,0.3215,0.3513,0.5511,0.9024,-0.0102,0.0,-0.0102
1,2,4,5,1-2-4-5,Angel Leon,L,5,3,3,1,22,11,41,42,18,30,49,20,104,164,0.0599,0.1198,0.0818,0.022,0.0439,0.2675,0.2845,0.3273,0.5584,0.8857,-0.0159,0.0,-0.0159
1,2,4,5,1-2-4-5,Jacob BallHitter,R,4,4,3,1,21,10,39,52,17,22,49,20,133,138,0.0439,0.1377,0.0778,0.02,0.0419,0.2774,0.2902,0.3214,0.5449,0.8662,-0.023,0.0,-0.023
1,2,4,5,1-2-4-5,Mickey Martino,L,4,4,1,3,32,8,33,51,12,23,43,13,141,145,0.0459,0.1257,0.0659,0.016,0.0639,0.2715,0.2845,0.3174,0.5879,0.9052,-0.016,0.0,-0.016
