date,season,session,type,team,player,position,trade_partner,assets_sent,assets_received,notes,raw_message,needs_review
2019-07-23,3,,draft,Ursa Major Grizzlies,DeadRedd,,,,,Pick 2 | MLN S3,"With the second pick in the Season 3 Draft, the Ursa Major Grizzlies select @DeadRedd",
2019-07-23,3,,draft,Sunnydale Slayers,"EpicMowse, Pabs, and Moosey (in order)",,,,,Pick None | MLN S3,"With the third, fourth, and fifth picks in the Season 3 Draft, the Sunnydale Slayers select @EpicMowse, @Pabs, and @Moosey (in order)",
2019-07-23,3,,draft,Portland Pioneers,Bob Winn,,,,,Pick 6 | MLN S3,"With the sixth pick in the Season 3 Draft, the Portland Pioneers select @Bob Winn",
2019-07-23,3,,draft,New Orleans Crawdads,Andy,,,,,Pick 7 | MLN S3,"With the 7th pick in the Season 3 Draft, the New Orleans Crawdads select @Andy",
2019-07-23,3,,draft,Ursa Major Grizzlies,Deleted User,,,,,Pick 8 | MLN S3,"With the 8th pick in the season 3 draft, the Ursa Major Grizzlies select @Deleted User",
2019-07-23,3,,draft,Reykjavik Valkyries,DarthMosh911,,,,,Pick 9 | MLN S3,"With the 9th pick in the season 3 draft, the Reykjavik Valkyries select @DarthMosh911",
2019-07-23,3,,draft,Malibu Waverunners,Deleted User,,,,,Pick 10 | MLN S3,"With the 10th pick in the season 3 draft, the Malibu Waverunners select @Deleted User",
2019-07-23,3,,draft,Blubs Bay Flappy Bois,LlemonDuck,,,,,Pick 11 | MLN S3,"With the 11th pick in the season 3 draft, the Blubs Bay Flappy Bois select @LlemonDuck",
2019-07-23,3,,draft,Halifax Helmsmen,"rusty ""champion"" nails",,,,,Pick 12 | MLN S3,"With the 12th pick in the season 3 draft, the Halifax Helmsmen select @rusty ""champion"" nails",
2019-07-23,3,,draft,Cincinnati Rhinos,Time to get Buck Naked,,,,,Pick 13 | MLN S3,"With the 13th pick in the season 3 draft, the Cincinnati Rhinos select @Time to get Buck Naked!",
2019-07-23,3,,draft,Baldurs Gate Beholders,Doc Holliday,,,,,Pick 14 | MLN S3,"With the 14th pick in the season 3 draft, the Baldurs Gate Beholders select @Doc Holliday",
2019-07-23,3,,draft,Sleepy Hollow Horsemen,Jack,,,,,Pick 15 | MLN S3,"With the 15th pick in the season 3 draft, the Sleepy Hollow Horsemen select @Jack",
2019-07-23,3,,draft,Gas House Gorillas,Freewill99,,,,,Pick 16 | MLN S3,"With the 16th pick in the season 3 draft, the Gas House Gorillas select @Freewill99",
2019-07-23,3,,draft,Sunnydale Slayers,JEFFERS140,,,,,Pick 17 | MLN S3,"With the 17th pick in the season 3 draft, the Sunnydale Slayers select @JEFFERS140",
2019-07-23,3,,draft_pick_trade,,,,,,,Trade detected but sides not parsed | MLN draft,Sopher McDophers trade the 18th pick to the Valkyries for the 35th and 51st picks,Y
2019-07-23,3,,draft,Reykjavik Valkyries,Keyo,,,,,Pick 18 | MLN S3,"With the 18th pick in the season 3 draft, the Reykjavik Valkyries select @Keyo",
2019-07-23,3,,draft,Portland Pioneers,Chris88,,,,,Pick 19 | MLN S3,"With the 19th pick in the season 3 draft, the Portland Pioneers select @Chris88",
2019-07-23,3,,draft,New Orleans Crawdads,Redwagon,,,,,Pick 20 | MLN S3,"With the 20th pick in the season 3 draft, the New Orleans Crawdads select @Redwagon",
2019-07-23,3,,draft,New Orleans Crawdads,aidf,,,,,Pick 21 | MLN S3,"With the 21st pick in the season 3 draft, the New Orleans Crawdads select @aidf",
2019-07-23,3,,,,,,,,,Not parsed - review manually | MLN draft,Halifax has traded their 2nd (#26) and 3rd (#36) round picks to the Grizzlies for their second round pick (#23),Y
2019-07-23,3,,draft_pick_trade,Gorillas,,,Crawdads,"Viking Fishbird, Pick 41",Pick 22, | MLN draft,":Gorillas: receive: Pick 22
:Crawdads: receive: Viking Fishbird, Pick 41
:FlappyBois: receive: Will Charles",
2019-07-23,3,,draft_pick_trade,Crawdads,,,Gorillas,Pick 22,"Viking Fishbird, Pick 41", | MLN draft,":Gorillas: receive: Pick 22
:Crawdads: receive: Viking Fishbird, Pick 41
:FlappyBois: receive: Will Charles",
2019-07-23,3,,draft_pick_trade,FlappyBois,,,,,Will Charles,3-way trade - verify assets manually | MLN draft,":Gorillas: receive: Pick 22
:Crawdads: receive: Viking Fishbird, Pick 41
:FlappyBois: receive: Will Charles",Y
2019-07-23,3,,draft,Gas House Gorillas,Billy Winters-Retired,,,,,Pick 22 | MLN S3,With the 22nd pick the Gas House Gorillas select @Billy Winters-Retired,
2019-07-23,3,,draft,Halifax Helmsmen,Pizzatoes,,,,,Pick 23 | MLN S3,With the 23rd pick the Halifax Helmsmen select @Pizzatoes,
2019-07-23,3,,draft,Sunnydale Slayers,Riles McGiles,,,,,Pick 24 | MLN S3,With the 24th pick the Sunnydale Slayers select @Riles McGiles,
2019-07-23,3,,draft,Malibu Waverunners,Talon Wingdiver,,,,,Pick 25 | MLN S3,With the 25th pick the Malibu Waverunners select @Talon Wingdiver,
2019-07-23,3,,draft,Ursa Major Grizzlies,Declan Archer,,,,,Pick 26 | MLN S3,With the 26th pick the Ursa Major Grizzlies select @Declan Archer,
2019-07-23,3,,draft,Cincinnati Rhinos,Deleted User,,,,,Pick 27 | MLN S3,With the 27th pick the Cincinnati Rhinos select @Deleted User,
2019-07-23,3,,draft_pick_trade,,,,,,,Trade detected but sides not parsed | MLN draft,Slayers trade the 28th pick to the Waverunners for scouting,Y
2019-07-23,3,,draft,Malibu Waverunners,barnes,,,,,Pick 28 | MLN S3,With the 28th pick the Malibu Waverunners select @barnes,
2019-07-23,3,,draft,Sleepy Hollow Horsemen,Wazzup44,,,,,Pick 29 | MLN S3,With the 29th pick the Sleepy Hollow Horsemen select @Wazzup44,
2019-07-23,3,,draft,Baldurs Gate Beholders,kev,,,,,Pick 30 | MLN S3,With the 30th pick the Baldurs Gate Beholders select @kev,
2019-07-23,3,,draft,Portland Pioneers,Chevalier Mal Fet,,,,,Pick 31 | MLN S3,With the 31st pick the Portland Pioneers select @Chevalier Mal Fet,
2019-07-23,3,,draft,New Orleans Crawdads,Jarey Butts,,,,,Pick 32 | MLN S3,With the 32nd pick the New Orleans Crawdads select @Jarey Butts,
2019-07-23,3,,draft,Ursa Major Grizzlies,m🚲cycle,,,,,Pick 33 | MLN S3,With the 33rd pick the Ursa Major Grizzlies select @m🚲cycle,
2019-07-23,3,,draft,Ursa Major Grizzlies,GSchlim Dmitri Petrovich,,,,,Pick 34 | MLN S3,With the 34th pick the Ursa Major Grizzlies select @GSchlim Dmitri Petrovich,
2019-07-23,3,,draft,Cincinnati Rhinos,Alf,,,,,Pick 35 | MLN S3,With the 35th pick the Cincinnati Rhinos select @Alf,
2019-07-23,3,,,,,,,,,Not parsed - review manually | MLN draft,Sleepy Hollow gives the 36th pick to Gas House for future considerations,Y
2019-07-23,3,,draft,Gas House Gorillas,Jordon Adell,,,,,Pick 36 | MLN S3,With the 36th pick the Gas House Gorillas select @Jordon Adell,
2019-07-23,3,,draft,New Orleans Crawdads,Diego Medina,,,,,Pick 37 | MLN S3,With the 37th pick the New Orleans Crawdads select @Diego Medina,
2019-07-23,3,,draft,New Orleans Crawdads,Jojo Black,,,,,Pick 38 | MLN S3,With the 38th pick the New Orleans Crawdads select Jojo Black,
2019-07-23,3,,draft,Ursa Major Grizzlies,Magic Simmons,,,,,Pick 39 | MLN S3,With the 39th pick the Ursa Major Grizzlies select Magic Simmons,
2019-07-23,3,,draft,Reykjavik Valkyries,shealuca,,,,,Pick 40 | MLN S3,With the 40th pick the Reykjavik Valkyries select @shealuca,
2019-07-23,3,,draft,New Orleans Crawdads,Bryzzo El Mago,,,,,Pick 41 | MLN S3,With the 41st pick the New Orleans Crawdads select @Bryzzo El Mago,
2019-07-23,3,,draft,Ursa Major Grizzlies,Francis Wu,,,,,Pick 42 | MLN S3,With the 42nd pick the Ursa Major Grizzlies select Francis Wu,
2019-07-23,3,,draft,New Orleans Crawdads,CodyH,,,,,Pick 43 | MLN S3,With the 43rd pick the New Orleans Crawdads select @CodyH,
2019-07-23,3,,draft,Ursa Major Grizzlies,Sal De Luca,,,,,Pick 44 | MLN S3,With the 44th pick the Ursa Major Grizzlies select @Sal De Luca,
2019-07-23,3,,draft,New Orleans Crawdads,Deleted User,,,,,Pick 45 | MLN S3,With the 45th pick the New Orleans Crawdads select @Deleted User,
2020-02-23,4,,draft,Reykjavik Valkyries,Russel Ellis,2B,,,,Pick 1 | MLN S4,With the 1st overall pick in the S4 Draft the Reykjavik Valkyries select **2B Russel Ellis**,
2020-02-23,4,,draft,Blubs Bay Flappy Bois,Barry McKockiner,P,,,,Pick 2 | MLN S4,With the 2nd overall pick in the S4 Draft the Blubs Bay Flappy Bois select **P Barry McKockiner**,
2020-02-23,4,,draft,Sopher McDophers,Plack Attack,1B,,,,Pick 3 | MLN S4,With the 3rd overall pick in the S4 Draft the Sopher McDophers select **1B Plack Attack**,
2020-02-23,4,,draft,Sleepy Hollow Horsemen,Aapo,SS,,,,Pick 4 | MLN S4,With the 4th overall pick in the S4 Draft the Sleepy Hollow Horsemen select **SS Aapo**,
2020-02-23,4,,draft,Arcadia Pierogies,Alex Lahey,2B,,,,Pick 5 | MLN S4,With the 5th overall pick in the S4 Draft the Arcadia Pierogies select **2B Alex Lahey**,
2020-02-23,4,,draft,Sopher McDophers,LeCarpetron Dukemarriot,P,,,,Pick 6 | MLN S4,With the 6th overall pick in the S4 Draft the Sopher McDophers select **P LeCarpetron Dukemarriot**,
2020-02-23,4,,draft,Baldur's Gate Beholders,Leonidas States,1B,,,,Pick 7 | MLN S4,With the 7th overall pick in the S4 Draft the Baldur's Gate Beholders select **1B Leonidas States**,
2020-02-23,4,,draft,Halifax Helmsmen,Shortpoleon Napsleeve,SS,,,,Pick 8 | MLN S4,With the 8th overall pick in the S4 Draft the Halifax Helmsmen select **SS Shortpoleon Napsleeve**,
2020-02-23,4,,draft,Sleepy Hollow Horsemen,North McClean,CF,,,,Pick 9 | MLN S4,With the 9th overall pick in the S4 Draft the Sleepy Hollow Horsemen select **CF North McClean**,
2020-02-23,4,,draft,Gassy Gorillas,King Kruul,RF,,,,Pick 10 | MLN S4,With the 10th overall pick in the S4 Draft the Gassy Gorillas select **RF King Kruul**,
2020-02-23,4,,draft,Cincinnati Redlegs Longhorns Rhinos,Red Arrow,P,,,,Pick 11 | MLN S4,With the 11th overall pick in the S4 Draft the Cincinnati ~~Redlegs~~ ~~Longhorns~~ Rhinos select **P Red Arrow**,
2020-02-23,4,,draft,Sopher McDophers,Jeff Shagwell,1B,,,,Pick 12 | MLN S4,With the 12th overall pick in the S4 Draft the Sopher McDophers select **1B Jeff Shagwell**,
2020-02-23,4,,draft,Reyahgsdavik Valkyries,Andrew Nova,P,,,,Pick 13 | MLN S4,With the 13th overall pick in the S4 Draft the Reyahgsdavik Valkyries select **P Andrew Nova**,
2020-02-23,4,,draft,Blubs Bay Flappy Bois,Xerxes Dalin,SS,,,,Pick 14 | MLN S4,With the 14th overall pick in the S4 Draft the Blubs Bay Flappy Bois select **SS Xerxes Dalin**,
2020-02-23,4,,draft,Ursa Major Grizzlies,Adonis Sinoda,1B,,,,Pick 15 | MLN S4,With the 15th overall pick in the S4 Draft the Ursa Major Grizzlies select **1B Adonis Sinoda**,
2020-02-23,4,,draft,,,,,,,Draft message not parsed | MLN,With the 16th overall pick in the S4 Draft the Acadia Peregrines **think they're too good to make another pick**,Y
2020-02-23,4,,draft,Sopher McDophers,Basethony Balltano,C/COF,,,,Pick 17 | MLN S4,With the 17th overall pick in the S4 Draft the Sopher McDophers select **C/COF Basethony Balltano**,
2020-02-23,4,,draft,Baldur's Gate Beholders,Bast Fidgewidget,RF,,,,Pick 18 | MLN S4,With the 18th overall pick in the S4 Draft the Baldur's Gate Beholders select **RF Bast Fidgewidget**,
2020-02-23,4,,draft,Kentucky Mashers,Callie Braden,P,,,,Pick 19 | MLN S4,With the 19th overall pick in the S4 Draft the Kentucky Mashers select **P Callie Braden**,
2020-02-23,4,,draft,Cincinnati Rhinoleghorns,Slow Low,2B,,,,Pick 20 | MLN S4,With the 20th overall pick in the S4 Draft the Cincinnati Rhinoleghorns select **2B Slow Low**,
2020-02-23,4,,draft,Sunnydale Slayers,Gargle Nuts,2B,,,,Pick 21 | MLN S4,With the 21st overall pick in the S4 Draft the Sunnydale Slayers select **2B Gargle Nuts**,
2020-02-23,4,,draft,Blubs Bay Flappy Bois,Jeff Downey,3B,,,,Pick 22 | MLN S4,With the 22nd overall pick in the S4 Draft the Blubs Bay Flappy Bois select **3B Jeff Downey**,
2020-02-23,4,,draft,Sleepy Hollow Horsemen,Ike Martillo,3B,,,,Pick 23 | MLN S4,With the 23rd overall pick in the S4 Draft the Sleepy Hollow Horsemen select **3B Ike Martillo**,
2020-02-23,4,,draft,Kentucky Mashers,Dirk Dangerous,CF,,,,Pick 24 | MLN S4,With the 24th overall pick in the S4 Draft the Kentucky Mashers select **CF Dirk Dangerous**,
2020-02-23,4,,draft,Baldur's Gate Beholders,Didja Naylor,1B,,,,Pick 25 | MLN S4,With the 25th overall pick in the S4 Draft the Baldur's Gate Beholders select **1B Didja Naylor**,
2020-02-23,4,,draft,Kentucky Mashers,Jonah Levin,2B,,,,Pick 26 | MLN S4,With the 26th overall pick in the S4 Draft the Kentucky Mashers select **2B Jonah Levin**,
2020-02-23,4,,draft,Cincinnati Red Longhorned Rhinos,Thelonius Junk,RF,,,,Pick 27 | MLN S4,With the 27th overall pick in the S4 Draft the Cincinnati Red Longhorned Rhinos select **RF Thelonius Junk**,
2020-03-10,4,,hiatus,Slayers,Bill Bison,,,,,,Slayers move Bill Bison to hiatus,
2020-03-10,4,,hiatus,Helmsmen,Joe Runzer III,,,,,,Helmsmen move Joe Runzer III to hiatus,
2020-03-10,4,,hiatus,Waverunners,Val Pix,,,,,,Waverunners move Val Pix to hiatus,
2020-03-11,4,,hiatus_return,Waverunners,Val Pix,,,,,,Waverunners move Val Pix from hiatus to active roster,
2020-03-27,4,,sign,beholders,Hans Ali P,,,,,,:beholders: sign Hans Ali P,
2020-03-27,4,,release,beholders,Eli Sasak,,,,,,:beholders: release Eli Sasak,
2020-03-27,4,,gm_change,Waverunners,Hans Jerkins,,,,,"Hans Jerkins is ""promoted"" to co-GM",":Waverunners: Hans Jerkins is ""promoted"" to co-GM",
2020-03-27,4,,sign,Rhinos,Turk Schmidt 3B,,,,,,:Rhinos: sign Turk Schmidt 3B,
2020-03-27,4,,release,Rhinos,Bico Nico,,,,,,:Rhinos: release Bico Nico,
2020-03-27,4,,hiatus_return,Mashers,Jerry Jingles,,,,,,:Mashers: Jerry Jingles returns from hiatus list,
2020-04-08,4,,hiatus_return,slayers,Bill Bison,,,,,,:slayers: activate Bill Bison from hiatus,
2020-04-20,4,,hiatus,nola,Mat Gamel,,,,,,:nola: place Mat Gamel on hiatus,
2020-04-20,4,,sign,nola,Lincoln Crawford 1B/UTIL,,,,,,:nola: sign Lincoln Crawford 1B/UTIL,
2020-05-14,4,,hiatus,Buffalo,Kurt Anger,,,,,,:Buffalo: place Kurt Anger on hiatus list,
2020-05-14,4,,release,Waverunners,Tanner Hendrix,,,,,,:Waverunners: release Tanner Hendrix,
2020-05-14,4,,position_switch,nola,Kiger Wulf secondary position,Catcher,,,,,:nola: Kiger Wulf secondary position changed to Catcher,
2020-05-14,4,,position_switch,Buffalo,Aapo secondary position,COF,,,,,:Buffalo: Aapo secondary position changed to COF,
2020-05-14,4,,position_switch,slayerscrown,Thomas Nova,LHP,,,,,:slayerscrown: Thomas Nova changes primary position to LHP,
2020-05-14,4,,trade,slayerscrown,,SS/Util,Portland,,Bob Wehadababyitzaboy,one-sided receive entry - trade partner assets unknown,:slayerscrown: receives Bob Wehadababyitzaboy (SS/Util) from Portland,Y
2020-05-14,4,,trade,Pioneers,,LHP,Sunnydale,,Loghan O'Brien,one-sided receive entry - trade partner assets unknown,:Pioneers: receives Loghan O'Brien (LHP) from Sunnydale,Y
2020-05-14,4,,hiatus,Pioneers,Gus Buster to,,,,,,:Pioneers: Gus Buster to hiatus list,
2020-05-14,4,,hiatus,McDophers,Chris Robin to,,,,,,:McDophers: Chris Robin to hiatus list,
2020-06-09,5,,hiatus,Waverunners,Nuke Laloosh,,,,,,:Waverunners: place Nuke Laloosh on the hiatus list,
2020-06-09,5,,sign,Waverunners,Barry McKockiner,LHP,,,,,:Waverunners: sign Barry McKockiner (LHP),
2020-06-09,5,,sign,FlappyBois,Cali Guerensk,RHP,,,,,:FlappyBois: sign Cali Guerensk (RHP),
2020-06-09,5,,hiatus_return,Buffalo,Kurt Anger,,,,,,:Buffalo: actives Kurt Anger from hiatus,
2020-06-09,5,,trade,rek,,,Pioneers,,Babatunde Oladotun,one-sided receive entry - trade partner assets unknown,:rek: receive Babatunde Oladotun from :Pioneers:,Y
2020-06-09,5,,hiatus_return,Pioneers,Gus Buster,,,,,,:Pioneers: activate Gus Buster from hiatus,
2020-06-09,5,,hiatus,FlappyBois,Fuzzy Dunlop,,,,,,:FlappyBois: place Fuzzy Dunlop on the hiatus list,
2020-06-09,5,,sign,FlappyBois,Cam'ron West,,,,,,:FlappyBois: sign Cam'ron West,
2020-09-21,5,,sign,Mashers,Duwan Anonly,,,,,,:Mashers: sign **Duwan Anonly**,
2020-09-21,5,,sign,Gorillas,Dixon Uraz,,,,,,:Gorillas: sign **Dixon Uraz**,
2020-09-21,5,,sign,Peregrines,Jimmy Johns,,,,,,:Peregrines: sign **Jimmy Johns**,
2020-09-21,5,,sign,Rhinos,Donatello Chalupa,,,,,,:Rhinos: sign **Donatello Chalupa**,
2020-09-21,5,,sign,Gorillas,Cap Keeler,,,,,,:Gorillas:  sign **Cap Keeler**,
2020-09-21,5,,sign,McDophers,Spags as Media Manager,,,,,,:McDophers: sign **Spags** as Media Manager,
2020-09-21,5,,sign,Peregrines,Will The Thrill,,,,,,:Peregrines: sign **Will The Thrill**,
2020-09-21,5,,release,BBG sign,T. Kraken,,,,,,":BBG:  sign **Release T. Kraken**
:Rhinos:  sign **Harry Peritestes**
:McDophers:  sign **Thomas Nova**
:Helmsmen:  sign **Dylan Green**
:Melonhead:  sign **Haraldo ""Mack"" MacKenzie**
:FlappyBois:  sign **Baron Samedi**",
