remaining,outs,obc,batting_lead,win_prob
12,0,10,14,0.9993
12,0,10,13,0.9983
12,0,10,12,0.9977
12,0,10,11,0.9953
12,0,10,10,0.99
12,0,10,9,0.9823
12,0,10,8,0.9787
12,0,10,7,0.962
12,0,10,6,0.9271
12,0,10,5,0.8957
12,0,10,4,0.8649
12,0,10,3,0.8113
12,0,10,2,0.7262
12,0,10,1,0.6598
12,0,10,0,0.5609
12,0,10,-1,0.4673
12,0,10,-2,0.3537
12,0,10,-3,0.2797
12,0,10,-4,0.1967
12,0,10,-5,0.1453
12,0,10,-6,0.1003
12,0,10,-7,0.0667
12,0,10,-8,0.0373
12,0,10,-9,0.0307
12,0,10,-10,0.0163
12,0,10,-11,0.012
12,0,10,-12,0.0047
12,0,10,-13,0.004
12,0,10,-14,0.0023
12,0,10,-15,0.002
12,0,10,-16,0.0013
12,0,10,-17,0.0007
12,0,10,-18,0
12,0,100,18,0.9997
12,0,100,17,0.9997
12,0,100,16,0.9997
12,0,100,15,0.9997
12,0,100,14,0.999
12,0,100,13,0.9987
12,0,100,12,0.9973
12,0,100,11,0.9957
12,0,100,10,0.9943
12,0,100,9,0.9873
12,0,100,8,0.9803
12,0,100,7,0.9687
12,0,100,6,0.9
12,0,100,5,0.9
12,0,100,4,0.8831
12,0,100,3,0.8085
12,0,100,2,0.773
12,0,100,1,0.6821
12,0,100,0,0.5864
12,0,100,-1,0.4853
12,0,100,-2,0.373
12,0,100,-3,0.2817
12,0,100,-4,0.197
12,0,100,-5,0.151
12,0,100,-6,0.093
12,0,100,-7,0.07
12,0,100,-8,0.0467
12,0,100,-9,0.031
12,0,100,-10,0.02
12,0,100,-11,0.0117
12,0,100,-12,0.0093
12,0,100,-13,0.0033
12,0,100,-14,0.0013
12,0,100,-15,0.0013
12,0,100,-16,0.0007
12,0,100,-17,0.0003
12,0,100,-18,0.0003
12,0,11,18,1
12,0,11,17,1
12,0,11,16,0.9987
12,0,11,15,0.9987
12,0,11,14,0.9987
12,0,11,13,0.9987
12,0,11,12,0.9963
12,0,11,11,0.9963
12,0,11,10,0.989
12,0,11,9,0.9847
12,0,11,8,0.9703
12,0,11,7,0.968
12,0,11,6,0.9516
12,0,11,5,0.9054
12,0,11,4,0.9031
12,0,11,3,0.8179
12,0,11,2,0.7488
12,0,11,1,0.6699
12,0,11,0,0.5809
12,0,11,-1,0.4767
12,0,11,-2,0.389
12,0,11,-3,0.2977
12,0,11,-4,0.2147
12,0,11,-5,0.1607
12,0,11,-6,0.1227
12,0,11,-7,0.0823
12,0,11,-8,0.0503
12,0,11,-9,0.032
12,0,11,-10,0.0197
12,0,11,-11,0.0097
12,0,11,-12,0.0097
12,0,11,-13,0.0047
12,0,11,-14,0.0027
12,0,11,-15,0.002
12,0,11,-16,0.001
12,0,11,-17,0.0007
12,0,11,-18,0.0003
12,0,101,18,1
12,0,101,17,0.9997
12,0,101,16,0.9997
12,0,101,15,0.9993
12,0,101,14,0.9993
12,0,101,13,0.9987
12,0,101,12,0.9977
12,0,101,11,0.997
12,0,101,10,0.9927
12,0,101,9,0.984
12,0,101,8,0.9787
12,0,101,7,0.974
12,0,101,6,0.9153
12,0,101,5,0.9015
12,0,101,4,0.8877
12,0,101,3,0.8387
12,0,101,2,0.7861
12,0,101,1,0.7075
12,0,101,0,0.607
12,0,101,-1,0.5013
12,0,101,-2,0.421
12,0,101,-3,0.337
12,0,101,-4,0.2537
12,0,101,-5,0.1733
12,0,101,-6,0.1277
12,0,101,-7,0.087
12,0,101,-8,0.0533
12,0,101,-9,0.036
12,0,101,-10,0.0263
12,0,101,-11,0.0153
12,0,101,-12,0.008
12,0,101,-13,0.008
12,0,101,-14,0.007
12,0,101,-15,0.002
12,0,101,-16,0.0003
12,0,101,-17,0.0003
12,0,101,-18,0.0003
12,0,110,18,1
12,0,110,17,1
12,0,110,16,0.9997
12,0,110,15,0.999
12,0,110,14,0.9987
12,0,110,13,0.9977
12,0,110,12,0.9977
12,0,110,11,0.9953
12,0,110,10,0.9953
12,0,110,9,0.987
12,0,110,8,0.9827
12,0,110,7,0.9737
12,0,110,6,0.8913
12,0,110,5,0.8913
12,0,110,4,0.8867
12,0,110,3,0.8347
12,0,110,2,0.7954
12,0,110,1,0.7044
12,0,110,0,0.6257
12,0,110,-1,0.534
12,0,110,-2,0.4447
12,0,110,-3,0.347
12,0,110,-4,0.2683
12,0,110,-5,0.1903
12,0,110,-6,0.1373
12,0,110,-7,0.0837
12,0,110,-8,0.0643
12,0,110,-9,0.04
12,0,110,-10,0.027
12,0,110,-11,0.0123
12,0,110,-12,0.0113
12,0,110,-13,0.0057
12,0,110,-14,0.004
12,0,110,-15,0.003
12,0,110,-16,0.0017
12,0,110,-17,0.0003
12,0,110,-18,0.0003
12,0,111,18,0.9997
12,0,111,17,0.9997
12,0,111,16,0.9997
12,0,111,15,0.9997
12,0,111,14,0.9997
12,0,111,13,0.999
12,0,111,12,0.9983
12,0,111,11,0.9963
12,0,111,10,0.9907
12,0,111,9,0.9893
12,0,111,8,0.9807
12,0,111,7,0.9707
12,0,111,6,0.9655
12,0,111,5,0.9655
12,0,111,4,0.9089
12,0,111,3,0.8432
12,0,111,2,0.7979
12,0,111,1,0.7346
12,0,111,0,0.6447
12,0,111,-1,0.5517
12,0,111,-2,0.464
12,0,111,-3,0.3573
12,0,111,-4,0.2677
12,0,111,-5,0.213
12,0,111,-6,0.1597
12,0,111,-7,0.1107
12,0,111,-8,0.0717
12,0,111,-9,0.0487
12,0,111,-10,0.032
12,0,111,-11,0.0193
12,0,111,-12,0.0123
12,0,111,-13,0.009
12,0,111,-14,0.0077
12,0,111,-15,0.0033
12,0,111,-16,0.002
12,0,111,-17,0.0013
12,0,111,-18,0
12,1,0,18,1
12,1,0,17,1
12,1,0,16,0.9993
12,1,0,15,0.9987
12,1,0,14,0.9973
12,1,0,13,0.9973
12,1,0,12,0.996
12,1,0,11,0.993
12,1,0,10,0.989
12,1,0,9,0.989
12,1,0,8,0.9746
12,1,0,7,0.9359
12,1,0,6,0.9215
12,1,0,5,0.8801
12,1,0,4,0.8399
12,1,0,3,0.7633
12,1,0,2,0.6804
12,1,0,1,0.5812
12,1,0,0,0.4729
12,1,0,-1,0.355
12,1,0,-2,0.2837
12,1,0,-3,0.194
12,1,0,-4,0.1357
12,1,0,-5,0.09
12,1,0,-6,0.0583
12,1,0,-7,0.0443
12,1,0,-8,0.025
12,1,0,-9,0.0147
12,1,0,-10,0.0113
12,1,0,-11,0.0033
12,1,0,-12,0.0027
12,1,0,-13,0.0017
12,1,0,-14,0.0013
12,1,0,-15,0.0003
12,1,0,-16,0.0003
12,1,0,-17,0.0003
12,1,0,-18,0
12,1,1,18,1
12,1,1,17,0.9993
12,1,1,16,0.9993
12,1,1,15,0.9983
12,1,1,14,0.9977
12,1,1,13,0.996
12,1,1,12,0.994
12,1,1,11,0.9933
12,1,1,10,0.9843
12,1,1,9,0.9773
12,1,1,8,0.9651
12,1,1,7,0.9637
12,1,1,6,0.9263
12,1,1,5,0.884
12,1,1,4,0.843
12,1,1,3,0.7789
12,1,1,2,0.7013
12,1,1,1,0.6019
12,1,1,0,0.4983
12,1,1,-1,0.381
12,1,1,-2,0.296
12,1,1,-3,0.224
12,1,1,-4,0.173
12,1,1,-5,0.102
12,1,1,-6,0.085
12,1,1,-7,0.045
12,1,1,-8,0.026
12,1,1,-9,0.0197
12,1,1,-10,0.0147
12,1,1,-11,0.007
12,1,1,-12,0.0037
12,1,1,-13,0.0017
12,1,1,-14,0.0017
12,1,1,-15,0.0007
12,1,1,-16,0.0003
12,1,1,-17,0.0003
12,1,1,-18,0
12,1,10,18,1
12,1,10,17,0.9997
12,1,10,16,0.9997
12,1,10,15,0.9993
12,1,10,14,0.999
12,1,10,13,0.998
12,1,10,12,0.9973
12,1,10,11,0.9927
12,1,10,10,0.9857
12,1,10,9,0.9793
12,1,10,8,0.9265
12,1,10,7,0.9265
12,1,10,6,0.9265
12,1,10,5,0.877
12,1,10,4,0.8453
12,1,10,3,0.7959
12,1,10,2,0.7101
12,1,10,1,0.6139
12,1,10,0,0.5169
12,1,10,-1,0.4147
12,1,10,-2,0.3363
12,1,10,-3,0.2337
12,1,10,-4,0.173
12,1,10,-5,0.116
12,1,10,-6,0.0767
12,1,10,-7,0.058
12,1,10,-8,0.035
12,1,10,-9,0.0187
12,1,10,-10,0.0147
12,1,10,-11,0.008
12,1,10,-12,0.0047
12,1,10,-13,0.0013
12,1,10,-14,0.001
12,1,10,-15,0.001
12,1,10,-16,0.001
12,1,10,-17,0
12,1,10,-18,0
12,1,100,18,1
12,1,100,17,0.9997
12,1,100,16,0.9997
12,1,100,15,0.9997
12,1,100,14,0.9983
12,1,100,13,0.998
12,1,100,12,0.994
12,1,100,11,0.994
12,1,100,10,0.9907
12,1,100,9,0.9813
12,1,100,8,0.976
12,1,100,7,0.9672
12,1,100,6,0.9337
12,1,100,5,0.911
12,1,100,4,0.8749
12,1,100,3,0.7972
12,1,100,2,0.7275
12,1,100,1,0.6478
12,1,100,0,0.5402
12,1,100,-1,0.4503
12,1,100,-2,0.3347
12,1,100,-3,0.245
12,1,100,-4,0.168
12,1,100,-5,0.1277
12,1,100,-6,0.0887
12,1,100,-7,0.0477
12,1,100,-8,0.036
12,1,100,-9,0.0167
12,1,100,-10,0.0137
12,1,100,-11,0.009
12,1,100,-12,0.0057
12,1,100,-13,0.0017
12,1,100,-14,0.0013
12,1,100,-15,0.0013
12,1,100,-16,0.0007
12,1,100,-17,0.0003
12,1,100,-18,0
12,1,11,18,0.9997
12,1,11,17,0.9997
12,1,11,16,0.9993
12,1,11,15,0.999
12,1,11,14,0.998
12,1,11,13,0.9953
12,1,11,12,0.9953
12,1,11,11,0.9933
12,1,11,10,0.99
12,1,11,9,0.986
12,1,11,8,0.9723
12,1,11,7,0.9647
12,1,11,6,0.908
12,1,11,5,0.8989
12,1,11,4,0.8526
12,1,11,3,0.7964
12,1,11,2,0.7288
12,1,11,1,0.6323
12,1,11,0,0.5352
12,1,11,-1,0.4283
12,1,11,-2,0.3437
12,1,11,-3,0.262
12,1,11,-4,0.185
12,1,11,-5,0.1303
12,1,11,-6,0.084
12,1,11,-7,0.0593
12,1,11,-8,0.04
12,1,11,-9,0.0257
12,1,11,-10,0.0143
12,1,11,-11,0.0073
12,1,11,-12,0.0043
12,1,11,-13,0.003
12,1,11,-14,0.002
12,1,11,-15,0.0003
12,1,11,-16,0.0003
12,1,11,-17,0
12,1,11,-18,0
12,1,101,18,1
12,1,101,17,1
12,1,101,16,0.9997
12,1,101,15,0.9993
12,1,101,14,0.998
12,1,101,13,0.998
12,1,101,12,0.9967
12,1,101,11,0.993
12,1,101,10,0.9917
12,1,101,9,0.986
12,1,101,8,0.95
12,1,101,7,0.9375
12,1,101,6,0.9375
12,1,101,5,0.8942
12,1,101,4,0.8596
12,1,101,3,0.8101
12,1,101,2,0.7418
12,1,101,1,0.6578
12,1,101,0,0.5587
12,1,101,-1,0.4593
12,1,101,-2,0.3617
12,1,101,-3,0.2797
12,1,101,-4,0.1977
12,1,101,-5,0.1373
12,1,101,-6,0.094
12,1,101,-7,0.0687
12,1,101,-8,0.0367
12,1,101,-9,0.0287
12,1,101,-10,0.0147
12,1,101,-11,0.009
12,1,101,-12,0.006
12,1,101,-13,0.0037
12,1,101,-14,0.0017
12,1,101,-15,0.0017
12,1,101,-16,0.0003
12,1,101,-17,0.0003
12,1,101,-18,0
12,1,110,18,0.9997
12,1,110,17,0.999
12,1,110,16,0.999
12,1,110,15,0.999
12,1,110,14,0.999
12,1,110,13,0.998
12,1,110,12,0.998
12,1,110,11,0.995
12,1,110,10,0.992
12,1,110,9,0.988
12,1,110,8,0.9757
12,1,110,7,0.9651
12,1,110,6,0.9239
12,1,110,5,0.9211
12,1,110,4,0.8635
12,1,110,3,0.8232
12,1,110,2,0.7552
12,1,110,1,0.6745
12,1,110,0,0.5874
12,1,110,-1,0.4803
12,1,110,-2,0.379
12,1,110,-3,0.2953
12,1,110,-4,0.224
12,1,110,-5,0.155
12,1,110,-6,0.1043
12,1,110,-7,0.0763
12,1,110,-8,0.0503
12,1,110,-9,0.0297
12,1,110,-10,0.0183
12,1,110,-11,0.0117
12,1,110,-12,0.009
12,1,110,-13,0.006
12,1,110,-14,0.0023
12,1,110,-15,0.0007
12,1,110,-16,0.0003
12,1,110,-17,0
12,1,110,-18,0
12,1,111,18,0.9997
12,1,111,17,0.9993
12,1,111,16,0.9993
12,1,111,15,0.9993
12,1,111,14,0.9993
12,1,111,13,0.998
12,1,111,12,0.9957
12,1,111,11,0.9957
12,1,111,10,0.99
12,1,111,9,0.983
12,1,111,8,0.9808
12,1,111,7,0.9623
12,1,111,6,0.944
12,1,111,5,0.9068
12,1,111,4,0.8711
12,1,111,3,0.8292
12,1,111,2,0.754
12,1,111,1,0.6728
12,1,111,0,0.582
12,1,111,-1,0.474
12,1,111,-2,0.3887
12,1,111,-3,0.3087
12,1,111,-4,0.221
12,1,111,-5,0.1603
12,1,111,-6,0.115
12,1,111,-7,0.079
12,1,111,-8,0.049
12,1,111,-9,0.0313
12,1,111,-10,0.023
12,1,111,-11,0.0127
12,1,111,-12,0.0103
12,1,111,-13,0.006
12,1,111,-14,0.0023
12,1,111,-15,0.0017
12,1,111,-16,0.0017
12,1,111,-17,0.0003
12,1,111,-18,0.0003
12,2,0,18,0.9997
12,2,0,17,0.9997
12,2,0,16,0.9987
12,2,0,15,0.9987
12,2,0,14,0.998
12,2,0,13,0.997
12,2,0,12,0.9957
12,2,0,11,0.9957
12,2,0,10,0.9957
12,2,0,9,0.9854
12,2,0,8,0.962
12,2,0,7,0.9372
12,2,0,6,0.9154
12,2,0,5,0.8786
12,2,0,4,0.8241
12,2,0,3,0.7512
12,2,0,2,0.6628
12,2,0,1,0.5607
12,2,0,0,0.4505
12,2,0,-1,0.3463
12,2,0,-2,0.2473
12,2,0,-3,0.191
12,2,0,-4,0.1207
12,2,0,-5,0.077
12,2,0,-6,0.0507
12,2,0,-7,0.034
12,2,0,-8,0.018
12,2,0,-9,0.0147
12,2,0,-10,0.0077
12,2,0,-11,0.003
12,2,0,-12,0.0013
12,2,0,-13,0.001
12,2,0,-14,0
12,2,0,-15,0
12,2,0,-16,0
12,2,0,-17,0
12,2,0,-18,0
12,2,1,18,1
12,2,1,17,1
12,2,1,16,1
12,2,1,15,1
12,2,1,14,0.9983
12,2,1,13,0.9983
12,2,1,12,0.997
12,2,1,11,0.9943
12,2,1,10,0.9865
12,2,1,9,0.9831
12,2,1,8,0.9455
12,2,1,7,0.9455
12,2,1,6,0.9311
12,2,1,5,0.8877
12,2,1,4,0.8329
12,2,1,3,0.7634
12,2,1,2,0.6769
12,2,1,1,0.5787
12,2,1,0,0.4699
12,2,1,-1,0.3477
12,2,1,-2,0.2707
12,2,1,-3,0.1887
12,2,1,-4,0.1413
12,2,1,-5,0.0893
12,2,1,-6,0.0663
12,2,1,-7,0.0357
12,2,1,-8,0.0233
12,2,1,-9,0.017
12,2,1,-10,0.0093
12,2,1,-11,0.0067
12,2,1,-12,0.0033
12,2,1,-13,0.001
12,2,1,-14,0.001
12,2,1,-15,0.001
12,2,1,-16,0.0003
12,2,1,-17,0
12,2,1,-18,0
12,2,10,18,1
12,2,10,17,0.9997
12,2,10,16,0.9993
12,2,10,15,0.9993
12,2,10,14,0.9983
12,2,10,13,0.998
12,2,10,12,0.9933
12,2,10,11,0.9897
12,2,10,10,0.9897
12,2,10,9,0.9897
12,2,10,8,0.9625
12,2,10,7,0.9616
12,2,10,6,0.9237
12,2,10,5,0.8817
12,2,10,4,0.8323
12,2,10,3,0.7685
12,2,10,2,0.6834
12,2,10,1,0.5795
12,2,10,0,0.4764
12,2,10,-1,0.3653
12,2,10,-2,0.2833
12,2,10,-3,0.1997
12,2,10,-4,0.1473
12,2,10,-5,0.098
12,2,10,-6,0.0673
12,2,10,-7,0.04
12,2,10,-8,0.029
12,2,10,-9,0.016
12,2,10,-10,0.0103
12,2,10,-11,0.0057
12,2,10,-12,0.0043
12,2,10,-13,0.0007
12,2,10,-14,0
12,2,10,-15,0
12,2,10,-16,0
12,2,10,-17,0
12,2,10,-18,0
12,2,100,18,1
12,2,100,17,1
12,2,100,16,0.9993
12,2,100,15,0.9987
12,2,100,14,0.998
12,2,100,13,0.998
12,2,100,12,0.9977
12,2,100,11,0.9933
12,2,100,10,0.9883
12,2,100,9,0.9512
12,2,100,8,0.9512
12,2,100,7,0.9268
12,2,100,6,0.8957
12,2,100,5,0.8924
12,2,100,4,0.8376
12,2,100,3,0.7701
12,2,100,2,0.6893
12,2,100,1,0.5925
12,2,100,0,0.4852
12,2,100,-1,0.3877
12,2,100,-2,0.2807
12,2,100,-3,0.189
12,2,100,-4,0.137
12,2,100,-5,0.0937
12,2,100,-6,0.0577
12,2,100,-7,0.0407
12,2,100,-8,0.0223
12,2,100,-9,0.0177
12,2,100,-10,0.009
12,2,100,-11,0.0043
12,2,100,-12,0.003
12,2,100,-13,0.002
12,2,100,-14,0.0017
12,2,100,-15,0.001
12,2,100,-16,0.0007
12,2,100,-17,0.0003
12,2,100,-18,0
12,2,11,18,1
12,2,11,17,0.9997
12,2,11,16,0.9997
12,2,11,15,0.9983
12,2,11,14,0.9983
12,2,11,13,0.9983
12,2,11,12,0.994
12,2,11,11,0.993
12,2,11,10,0.9883
12,2,11,9,0.9867
12,2,11,8,0.9592
12,2,11,7,0.9576
12,2,11,6,0.9249
12,2,11,5,0.8834
12,2,11,4,0.8491
12,2,11,3,0.7793
12,2,11,2,0.696
12,2,11,1,0.6045
12,2,11,0,0.4992
12,2,11,-1,0.3937
12,2,11,-2,0.2923
12,2,11,-3,0.229
12,2,11,-4,0.1533
12,2,11,-5,0.1037
12,2,11,-6,0.0733
12,2,11,-7,0.0477
12,2,11,-8,0.0397
12,2,11,-9,0.0187
12,2,11,-10,0.0123
12,2,11,-11,0.0063
12,2,11,-12,0.004
12,2,11,-13,0.0023
12,2,11,-14,0.001
12,2,11,-15,0.0007
12,2,11,-16,0.0003
12,2,11,-17,0
12,2,11,-18,0
12,2,101,18,1
12,2,101,17,0.9997
12,2,101,16,0.999
12,2,101,15,0.999
12,2,101,14,0.9987
12,2,101,13,0.9987
12,2,101,12,0.993
12,2,101,11,0.993
12,2,101,10,0.993
12,2,101,9,0.9899
12,2,101,8,0.9802
12,2,101,7,0.958
12,2,101,6,0.9431
12,2,101,5,0.8923
12,2,101,4,0.8408
12,2,101,3,0.7851
12,2,101,2,0.7042
12,2,101,1,0.6097
12,2,101,0,0.5045
12,2,101,-1,0.408
12,2,101,-2,0.3157
12,2,101,-3,0.2313
12,2,101,-4,0.147
12,2,101,-5,0.114
12,2,101,-6,0.0707
12,2,101,-7,0.0443
12,2,101,-8,0.0333
12,2,101,-9,0.019
12,2,101,-10,0.0123
12,2,101,-11,0.004
12,2,101,-12,0.004
12,2,101,-13,0.0027
12,2,101,-14,0.0013
12,2,101,-15,0.0013
12,2,101,-16,0
12,2,101,-17,0
12,2,101,-18,0
12,2,110,18,0.9997
12,2,110,17,0.9997
12,2,110,16,0.9993
12,2,110,15,0.9993
12,2,110,14,0.999
12,2,110,13,0.9967
12,2,110,12,0.9967
12,2,110,11,0.9917
12,2,110,10,0.987
12,2,110,9,0.9823
12,2,110,8,0.9823
12,2,110,7,0.9745
12,2,110,6,0.9317
12,2,110,5,0.9067
12,2,110,4,0.8412
12,2,110,3,0.7969
12,2,110,2,0.7111
12,2,110,1,0.6227
12,2,110,0,0.5208
12,2,110,-1,0.4167
12,2,110,-2,0.3073
12,2,110,-3,0.229
12,2,110,-4,0.1647
12,2,110,-5,0.11
12,2,110,-6,0.0783
12,2,110,-7,0.059
12,2,110,-8,0.032
12,2,110,-9,0.021
12,2,110,-10,0.0117
12,2,110,-11,0.007
12,2,110,-12,0.0033
12,2,110,-13,0.0033
12,2,110,-14,0.0007
12,2,110,-15,0.0007
12,2,110,-16,0
12,2,110,-17,0
12,2,110,-18,0
12,2,111,18,0.9997
12,2,111,17,0.9997
12,2,111,16,0.9997
12,2,111,15,0.9997
12,2,111,14,0.999
12,2,111,13,0.9983
12,2,111,12,0.995
12,2,111,11,0.992
12,2,111,10,0.9863
12,2,111,9,0.9843
12,2,111,8,0.9843
12,2,111,7,0.9557
12,2,111,6,0.9242
12,2,111,5,0.8985
12,2,111,4,0.8521
12,2,111,3,0.8018
12,2,111,2,0.7188
12,2,111,1,0.6249
12,2,111,0,0.5296
12,2,111,-1,0.4353
12,2,111,-2,0.344
12,2,111,-3,0.2547
12,2,111,-4,0.1857
12,2,111,-5,0.1223
12,2,111,-6,0.0887
12,2,111,-7,0.0577
12,2,111,-8,0.048
12,2,111,-9,0.0277
12,2,111,-10,0.0137
12,2,111,-11,0.0087
12,2,111,-12,0.0063
12,2,111,-13,0.0023
12,2,111,-14,0.001
12,2,111,-15,0.001
12,2,111,-16,0.0003
12,2,111,-17,0.0003
12,2,111,-18,0.0003
11,0,0,-18,0
11,0,0,-17,0.0007
11,0,0,-16,0.001
11,0,0,-15,0.002
11,0,0,-14,0.002
11,0,0,-13,0.0033
11,0,0,-12,0.0063
11,0,0,-11,0.0095
11,0,0,-10,0.0095
11,0,0,-9,0.0159
11,0,0,-8,0.0428
11,0,0,-7,0.0622
11,0,0,-6,0.0889
11,0,0,-5,0.1279
11,0,0,-4,0.1853
11,0,0,-3,0.2593
11,0,0,-2,0.3505
11,0,0,-1,0.4557
11,0,0,0,0.5671
11,0,0,1,0.6744
11,0,0,2,0.7671
11,0,0,3,0.8316
11,0,0,4,0.8801
11,0,0,5,0.919
11,0,0,6,0.9588
11,0,0,7,0.9588
11,0,0,8,1
11,0,0,9,1
11,0,0,10,1
11,0,0,11,1
11,0,0,12,1
11,0,0,13,1
11,0,0,14,1
11,0,0,15,1
11,0,0,16,1
11,0,0,17,1
11,0,0,18,1
11,0,1,-18,0.0003
11,0,1,-17,0.001
11,0,1,-16,0.001
11,0,1,-15,0.0017
11,0,1,-14,0.0033
11,0,1,-13,0.0057
11,0,1,-12,0.0087
11,0,1,-11,0.0143
11,0,1,-10,0.0172
11,0,1,-9,0.0172
11,0,1,-8,0.052
11,0,1,-7,0.0824
11,0,1,-6,0.1107
11,0,1,-5,0.1563
11,0,1,-4,0.2173
11,0,1,-3,0.2986
11,0,1,-2,0.3807
11,0,1,-1,0.4901
11,0,1,0,0.5971
11,0,1,1,0.6959
11,0,1,2,0.7939
11,0,1,3,0.8654
11,0,1,4,0.8873
11,0,1,5,0.9339
11,0,1,6,0.9688
11,0,1,7,0.9688
11,0,1,8,0.9847
11,0,1,9,0.9923
11,0,1,10,0.996
11,0,1,11,0.997
11,0,1,12,0.9977
11,0,1,13,0.9997
11,0,1,14,0.9997
11,0,1,15,1
11,0,1,16,1
11,0,1,17,1
11,0,1,18,1
11,0,10,-18,0
11,0,10,-17,0.0017
11,0,10,-16,0.0017
11,0,10,-15,0.0017
11,0,10,-14,0.0027
11,0,10,-13,0.004
11,0,10,-12,0.0103
11,0,10,-11,0.0147
11,0,10,-10,0.0193
11,0,10,-9,0.0193
11,0,10,-8,0.0847
11,0,10,-7,0.0847
11,0,10,-6,0.1194
11,0,10,-5,0.1635
11,0,10,-4,0.2401
11,0,10,-3,0.311
11,0,10,-2,0.4166
11,0,10,-1,0.5129
11,0,10,0,0.6278
11,0,10,1,0.7276
11,0,10,2,0.7926
11,0,10,3,0.8597
11,0,10,4,0.8879
11,0,10,5,0.9213
11,0,10,6,0.9683
11,0,10,7,0.9777
11,0,10,8,0.9847
11,0,10,9,0.9937
11,0,10,10,0.9943
11,0,10,11,0.9973
11,0,10,12,0.9987
11,0,10,13,0.9993
11,0,10,14,0.9993
11,0,10,15,1
11,0,10,16,1
11,0,10,17,1
11,0,10,18,1
11,0,100,-18,0.0003
11,0,100,-17,0.0007
11,0,100,-16,0.002
11,0,100,-15,0.0033
11,0,100,-14,0.0033
11,0,100,-13,0.0047
11,0,100,-12,0.0063
11,0,100,-11,0.01
11,0,100,-10,0.0203
11,0,100,-9,0.0343
11,0,100,-8,0.054
11,0,100,-7,0.0833
11,0,100,-6,0.122
11,0,100,-5,0.2024
11,0,100,-4,0.2509
11,0,100,-3,0.3196
11,0,100,-2,0.4484
11,0,100,-1,0.551
11,0,100,0,0.6484
11,0,100,1,0.7451
11,0,100,2,0.8279
11,0,100,3,0.8845
11,0,100,4,0.9174
11,0,100,5,0.9174
11,0,100,6,0.961
11,0,100,7,0.9783
11,0,100,8,0.987
11,0,100,9,0.9937
11,0,100,10,0.9963
11,0,100,11,0.998
11,0,100,12,0.999
11,0,100,13,0.9997
11,0,100,14,1
11,0,100,15,1
11,0,100,16,1
11,0,100,17,1
11,0,100,18,1
11,0,11,-18,0.0003
11,0,11,-17,0.0007
11,0,11,-16,0.0013
11,0,11,-15,0.0037
11,0,11,-14,0.0037
11,0,11,-13,0.0077
11,0,11,-12,0.0077
11,0,11,-11,0.016
11,0,11,-10,0.0287
11,0,11,-9,0.045
11,0,11,-8,0.0976
11,0,11,-7,0.1366
11,0,11,-6,0.17
11,0,11,-5,0.1942
11,0,11,-4,0.2554
11,0,11,-3,0.3388
11,0,11,-2,0.4296
11,0,11,-1,0.5407
11,0,11,0,0.6439
11,0,11,1,0.7379
11,0,11,2,0.8099
11,0,11,3,0.8763
11,0,11,4,0.9051
11,0,11,5,0.9576
11,0,11,6,0.9811
11,0,11,7,0.9811
11,0,11,8,0.9853
11,0,11,9,0.9907
11,0,11,10,0.9953
11,0,11,11,0.9977
11,0,11,12,0.9977
11,0,11,13,0.9987
11,0,11,14,1
11,0,11,15,1
11,0,11,16,1
11,0,11,17,1
