result,spray_bucket,station_idx,q,la_topped,ev_topped,dist_topped,la_uppercut,ev_uppercut,dist_uppercut
GO,,43,0.43,-18.0,91.8,8.0,-12.0,66.9,9.0
GO,,44,0.44,-17.0,79.6,8.0,-12.0,83.1,9.0
GO,,45,0.45,-17.0,96.4,8.0,-12.0,95.3,9.0
GO,,46,0.46,-16.0,69.3,9.0,-11.0,95.8,9.0
GO,,47,0.47,-16.0,53.8,9.0,-11.0,64.7,10.0
GO,,48,0.48,-15.0,92.0,10.0,-11.0,96.6,10.0
GO,,49,0.49,-14.0,91.9,10.0,-10.0,83.5,10.0
GO,,50,0.5,-14.0,98.3,10.0,-10.0,103.3,11.0
GO,,51,0.51,-13.0,104.2,11.0,-10.0,88.6,11.0
GO,,52,0.52,-13.0,74.5,10.0,-10.0,98.9,10.0
GO,,53,0.53,-13.0,101.1,11.0,-9.0,88.5,11.0
GO,,54,0.54,-12.0,55.9,12.0,-9.0,72.1,11.0
GO,,55,0.55,-12.0,93.5,12.0,-9.0,91.2,12.0
GO,,56,0.56,-11.0,95.9,12.0,-8.0,51.0,13.0
GO,,57,0.57,-11.0,70.6,13.0,-8.0,95.6,12.0
GO,,58,0.58,-10.0,100.8,14.0,-8.0,96.0,13.0
GO,,59,0.59,-10.0,95.9,14.0,-7.0,99.8,14.0
GO,,60,0.6,-9.0,76.4,14.0,-7.0,88.7,15.0
GO,,61,0.61,-9.0,60.0,16.0,-7.0,80.3,14.0
GO,,62,0.62,-8.0,95.4,15.0,-7.0,61.3,15.0
GO,,63,0.63,-8.0,98.9,16.0,-6.0,85.0,16.0
GO,,64,0.64,-8.0,68.6,16.0,-6.0,76.5,16.0
GO,,65,0.65,-7.0,97.7,17.0,-6.0,101.8,18.0
GO,,66,0.66,-7.0,62.3,17.0,-5.0,64.5,19.0
GO,,67,0.67,-6.0,96.6,20.0,-5.0,91.6,20.0
GO,,68,0.68,-6.0,105.8,20.0,-5.0,88.4,20.0
GO,,69,0.69,-6.0,95.2,22.0,-4.0,95.0,22.0
GO,,70,0.7,-5.0,83.4,21.0,-4.0,81.7,22.0
GO,,71,0.71,-5.0,70.5,23.0,-4.0,74.2,22.0
GO,,72,0.72,-4.0,93.9,23.0,-3.0,83.4,25.0
GO,,73,0.73,-4.0,87.9,27.0,-3.0,95.7,25.0
GO,,74,0.74,-4.0,101.1,25.0,-3.0,79.3,27.0
GO,,75,0.75,-3.0,65.5,29.0,-3.0,109.6,30.0
GO,,76,0.76,-3.0,88.7,29.0,-2.0,86.9,28.0
GO,,77,0.77,-3.0,84.6,30.0,-2.0,101.0,32.0
GO,,78,0.78,-2.0,92.1,31.0,-1.0,85.3,33.0
GO,,79,0.79,-2.0,91.2,36.0,-1.0,71.8,34.0
GO,,80,0.8,-1.0,98.2,35.0,-1.0,100.7,39.0
GO,,81,0.81,-1.0,80.6,36.0,-1.0,104.9,39.0
GO,,82,0.82,-1.0,101.0,43.0,0.0,85.2,43.0
GO,,83,0.83,0.0,87.4,41.0,0.0,99.2,44.0
GO,,84,0.84,0.0,81.1,42.0,0.0,103.8,45.0
GO,,85,0.85,0.0,104.4,48.0,1.0,98.8,45.0
GO,,86,0.86,1.0,90.1,53.0,1.0,109.9,48.0
GO,,87,0.87,1.0,90.4,49.0,1.0,97.1,52.0
GO,,88,0.88,1.0,97.2,55.0,2.0,87.5,55.0
GO,,89,0.89,2.0,81.9,55.0,2.0,99.6,58.0
GO,,90,0.9,2.0,80.8,60.0,3.0,78.3,59.0
GO,,91,0.91,3.0,86.1,63.0,3.0,87.3,67.0
GO,,92,0.92,3.0,90.8,63.0,3.0,84.7,63.0
GO,,93,0.93,3.0,99.7,71.0,4.0,82.2,74.0
GO,,94,0.94,4.0,81.2,72.0,4.0,86.5,77.0
GO,,95,0.95,4.0,86.3,75.0,4.0,93.5,80.0
GO,,96,0.96,5.0,83.1,87.0,5.0,91.4,81.0
GO,,97,0.97,5.0,83.1,89.0,5.0,102.5,91.0
GO,,98,0.98,6.0,87.3,93.0,6.0,76.5,89.0
GO,,99,0.99,6.0,90.3,90.0,6.0,91.2,99.0
GO,,100,1.0,6.0,104.2,101.0,6.0,104.2,101.0
GORA,,0,0.0,-57.0,48.5,2.0,-29.0,86.7,2.0
GORA,,1,0.01,-57.0,48.5,2.0,-29.0,86.7,2.0
GORA,,2,0.02,-57.0,87.0,2.0,-29.0,78.5,2.0
GORA,,3,0.03,-57.0,87.8,2.0,-29.0,99.1,2.0
GORA,,4,0.04,-57.0,71.0,2.0,-29.0,84.0,2.0
GORA,,5,0.05,-57.0,68.7,2.0,-29.0,67.8,2.0
GORA,,6,0.06,-56.0,37.6,2.0,-26.0,90.4,3.0
GORA,,7,0.07,-55.0,76.7,2.0,-24.0,74.6,3.0
GORA,,8,0.08,-50.0,77.0,3.0,-22.0,97.1,3.0
GORA,,9,0.09,-46.0,71.5,3.0,-22.0,55.6,3.0
GORA,,10,0.1,-46.0,35.5,3.0,-22.0,70.5,3.0
GORA,,11,0.11,-45.0,64.0,3.0,-22.0,54.4,3.0
GORA,,12,0.12,-45.0,75.8,3.0,-22.0,100.4,3.0
GORA,,13,0.13,-44.0,79.5,3.0,-23.0,82.7,3.0
GORA,,14,0.14,-43.0,86.7,3.0,-21.0,91.9,3.0
GORA,,15,0.15,-41.0,77.7,3.0,-20.0,100.3,4.0
GORA,,16,0.16,-37.0,82.6,3.0,-19.0,72.6,4.0
GORA,,17,0.17,-35.0,84.8,4.0,-19.0,66.3,4.0
GORA,,18,0.18,-35.0,91.6,4.0,-19.0,98.8,4.0
GORA,,19,0.19,-35.0,44.1,4.0,-20.0,106.9,4.0
GORA,,20,0.2,-35.0,62.7,4.0,-20.0,99.8,4.0
GORA,,21,0.21,-35.0,82.6,4.0,-19.0,76.1,4.0
GORA,,22,0.22,-33.0,57.7,4.0,-18.0,108.6,4.0
GORA,,23,0.23,-31.0,92.1,4.0,-18.0,85.5,5.0
GORA,,24,0.24,-29.0,93.6,5.0,-17.0,94.0,5.0
GORA,,25,0.25,-29.0,83.6,5.0,-17.0,83.7,5.0
GORA,,26,0.26,-29.0,81.8,5.0,-17.0,80.2,5.0
GORA,,27,0.27,-28.0,90.2,5.0,-17.0,92.3,5.0
GORA,,28,0.28,-28.0,91.2,5.0,-17.0,108.5,5.0
GORA,,29,0.29,-26.0,94.0,6.0,-16.0,109.3,5.0
GORA,,30,0.3,-25.0,79.5,6.0,-16.0,79.8,6.0
GORA,,31,0.31,-24.0,101.6,6.0,-15.0,98.6,6.0
GORA,,32,0.32,-24.0,76.7,6.0,-15.0,96.7,6.0
GORA,,33,0.33,-24.0,89.5,6.0,-15.0,98.6,6.0
GORA,,34,0.34,-23.0,68.6,6.0,-15.0,68.1,6.0
GORA,,35,0.35,-22.0,99.7,6.0,-14.0,96.3,7.0
GORA,,36,0.36,-21.0,94.0,6.0,-14.0,83.6,7.0
GORA,,37,0.37,-21.0,71.8,7.0,-14.0,74.2,7.0
GORA,,38,0.38,-21.0,87.7,7.0,-14.0,84.2,7.0
GORA,,39,0.39,-20.0,107.5,7.0,-14.0,82.0,7.0
GORA,,40,0.4,-20.0,94.3,8.0,-13.0,71.7,8.0
GORA,,41,0.41,-19.0,85.7,8.0,-13.0,77.2,8.0
GORA,,42,0.42,-18.0,88.9,8.0,-12.0,93.8,8.0
GORA,,43,0.43,-18.0,91.8,8.0,-12.0,66.9,9.0
GORA,,44,0.44,-17.0,79.6,8.0,-12.0,83.1,9.0
GORA,,45,0.45,-17.0,96.4,8.0,-12.0,95.3,9.0
GORA,,46,0.46,-16.0,69.3,9.0,-11.0,95.8,9.0
GORA,,47,0.47,-16.0,53.8,9.0,-11.0,64.7,10.0
GORA,,48,0.48,-15.0,92.0,10.0,-11.0,96.6,10.0
GORA,,49,0.49,-14.0,91.9,10.0,-10.0,83.5,10.0
GORA,,50,0.5,-14.0,98.3,10.0,-10.0,103.3,11.0
GORA,,51,0.51,-13.0,104.2,11.0,-10.0,88.6,11.0
GORA,,52,0.52,-13.0,74.5,10.0,-10.0,98.9,10.0
GORA,,53,0.53,-13.0,101.1,11.0,-9.0,88.5,11.0
GORA,,54,0.54,-12.0,55.9,12.0,-9.0,72.1,11.0
GORA,,55,0.55,-12.0,93.5,12.0,-9.0,91.2,12.0
GORA,,56,0.56,-11.0,95.9,12.0,-8.0,51.0,13.0
GORA,,57,0.57,-11.0,70.6,13.0,-8.0,95.6,12.0
GORA,,58,0.58,-10.0,100.8,14.0,-8.0,96.0,13.0
GORA,,59,0.59,-10.0,95.9,14.0,-7.0,99.8,14.0
GORA,,60,0.6,-9.0,76.4,14.0,-7.0,88.7,15.0
GORA,,61,0.61,-9.0,60.0,16.0,-7.0,80.3,14.0
GORA,,62,0.62,-8.0,95.4,15.0,-7.0,61.3,15.0
GORA,,63,0.63,-8.0,98.9,16.0,-6.0,85.0,16.0
GORA,,64,0.64,-8.0,68.6,16.0,-6.0,76.5,16.0
GORA,,65,0.65,-7.0,97.7,17.0,-6.0,101.8,18.0
GORA,,66,0.66,-7.0,62.3,17.0,-5.0,64.5,19.0
GORA,,67,0.67,-6.0,96.6,20.0,-5.0,91.6,20.0
GORA,,68,0.68,-6.0,105.8,20.0,-5.0,88.4,20.0
GORA,,69,0.69,-6.0,95.2,22.0,-4.0,95.0,22.0
GORA,,70,0.7,-5.0,83.4,21.0,-4.0,81.7,22.0
GORA,,71,0.71,-5.0,70.5,23.0,-4.0,74.2,22.0
GORA,,72,0.72,-4.0,93.9,23.0,-3.0,83.4,25.0
GORA,,73,0.73,-4.0,87.9,27.0,-3.0,95.7,25.0
GORA,,74,0.74,-4.0,101.1,25.0,-3.0,79.3,27.0
GORA,,75,0.75,-3.0,65.5,29.0,-3.0,109.6,30.0
GORA,,76,0.76,-3.0,88.7,29.0,-2.0,86.9,28.0
GORA,,77,0.77,-3.0,84.6,30.0,-2.0,101.0,32.0
GORA,,78,0.78,-2.0,92.1,31.0,-1.0,85.3,33.0
GORA,,79,0.79,-2.0,91.2,36.0,-1.0,71.8,34.0
GORA,,80,0.8,-1.0,98.2,35.0,-1.0,100.7,39.0
GORA,,81,0.81,-1.0,80.6,36.0,-1.0,104.9,39.0
GORA,,82,0.82,-1.0,101.0,43.0,0.0,85.2,43.0
GORA,,83,0.83,0.0,87.4,41.0,0.0,99.2,44.0
GORA,,84,0.84,0.0,81.1,42.0,0.0,103.8,45.0
GORA,,85,0.85,0.0,104.4,48.0,1.0,98.8,45.0
GORA,,86,0.86,1.0,90.1,53.0,1.0,109.9,48.0
GORA,,87,0.87,1.0,90.4,49.0,1.0,97.1,52.0
GORA,,88,0.88,1.0,97.2,55.0,2.0,87.5,55.0
GORA,,89,0.89,2.0,81.9,55.0,2.0,99.6,58.0
GORA,,90,0.9,2.0,80.8,60.0,3.0,78.3,59.0
GORA,,91,0.91,3.0,86.1,63.0,3.0,87.3,67.0
GORA,,92,0.92,3.0,90.8,63.0,3.0,84.7,63.0
GORA,,93,0.93,3.0,99.7,71.0,4.0,82.2,74.0
GORA,,94,0.94,4.0,81.2,72.0,4.0,86.5,77.0
GORA,,95,0.95,4.0,86.3,75.0,4.0,93.5,80.0
GORA,,96,0.96,5.0,83.1,87.0,5.0,91.4,81.0
GORA,,97,0.97,5.0,83.1,89.0,5.0,102.5,91.0
GORA,,98,0.98,6.0,87.3,93.0,6.0,76.5,89.0
GORA,,99,0.99,6.0,90.3,90.0,6.0,91.2,99.0
GORA,,100,1.0,6.0,104.2,101.0,6.0,104.2,101.0
FC,,0,0.0,-57.0,58.8,2.0,-32.0,67.4,2.0
FC,,1,0.01,-57.0,58.8,2.0,-32.0,67.4,2.0
FC,,2,0.02,-57.0,73.2,2.0,-33.0,81.8,2.0
FC,,3,0.03,-57.0,73.2,2.0,-32.0,103.0,2.0
FC,,4,0.04,-58.0,77.5,2.0,-32.0,79.1,2.0
FC,,5,0.05,-57.0,57.2,2.0,-30.0,67.4,2.0
FC,,6,0.06,-59.0,65.0,2.0,-29.0,61.3,2.0
FC,,7,0.07,-55.0,67.0,2.0,-24.0,88.3,3.0
FC,,8,0.08,-53.0,81.9,2.0,-22.0,102.3,3.0
FC,,9,0.09,-45.0,76.2,3.0,-21.0,63.8,3.0
FC,,10,0.1,-44.0,78.4,3.0,-21.0,73.4,3.0
FC,,11,0.11,-46.0,51.0,3.0,-21.0,90.9,3.0
FC,,12,0.12,-45.0,28.7,3.0,-23.0,76.1,3.0
FC,,13,0.13,-43.0,74.6,3.0,-23.0,84.2,3.0
FC,,14,0.14,-45.0,28.7,3.0,-23.0,76.1,3.0
FC,,15,0.15,-42.0,70.6,3.0,-22.0,90.8,4.0
FC,,16,0.16,-39.0,79.0,3.0,-20.0,101.2,4.0
FC,,17,0.17,-35.0,76.7,3.0,-18.0,90.9,4.0
FC,,18,0.18,-36.0,93.8,4.0,-18.0,71.0,4.0
FC,,19,0.19,-36.0,55.3,4.0,-18.0,71.0,4.0
FC,,20,0.2,-38.0,80.5,4.0,-21.0,82.3,4.0
FC,,21,0.21,-37.0,72.2,4.0,-19.0,90.8,4.0
FC,,22,0.22,-37.0,72.2,4.0,-20.0,94.1,4.0
FC,,23,0.23,-33.0,89.0,4.0,-20.0,85.0,4.0
FC,,24,0.24,-32.0,93.8,4.0,-18.0,70.7,5.0
FC,,25,0.25,-31.0,83.2,4.0,-17.0,75.2,5.0
FC,,26,0.26,-29.0,85.7,5.0,-16.0,104.8,5.0
FC,,27,0.27,-29.0,95.7,5.0,-17.0,75.2,5.0
FC,,28,0.28,-28.0,75.7,5.0,-19.0,69.2,5.0
FC,,29,0.29,-27.0,90.7,5.0,-17.0,87.1,5.0
FC,,30,0.3,-28.0,72.7,5.0,-16.0,82.3,6.0
FC,,31,0.31,-27.0,49.6,5.0,-15.0,107.3,5.0
FC,,32,0.32,-26.0,84.5,6.0,-15.0,65.3,6.0
FC,,33,0.33,-23.0,91.2,6.0,-15.0,87.4,6.0
FC,,34,0.34,-23.0,85.3,6.0,-15.0,70.9,6.0
FC,,35,0.35,-23.0,85.3,6.0,-15.0,87.4,6.0
FC,,36,0.36,-23.0,60.1,6.0,-16.0,86.1,6.0
FC,,37,0.37,-22.0,100.6,6.0,-14.0,98.3,7.0
FC,,38,0.38,-21.0,55.2,7.0,-13.0,82.0,7.0
FC,,39,0.39,-20.0,86.4,7.0,-14.0,78.7,7.0
FC,,40,0.4,-21.0,81.7,7.0,-15.0,100.0,7.0
FC,,41,0.41,-21.0,52.4,7.0,-16.0,80.1,7.0
FC,,42,0.42,-21.0,85.2,8.0,-14.0,98.6,8.0
FC,,43,0.43,-19.0,96.4,8.0,-13.0,101.7,8.0
FC,,44,0.44,-18.0,86.8,8.0,-12.0,80.4,8.0
FC,,45,0.45,-19.0,81.6,8.0,-12.0,106.8,8.0
FC,,46,0.46,-18.0,56.3,8.0,-12.0,69.9,8.0
FC,,47,0.47,-16.0,67.3,9.0,-11.0,75.4,9.0
FC,,48,0.48,-15.0,74.1,9.0,-11.0,104.9,9.0
FC,,49,0.49,-15.0,103.3,9.0,-12.0,100.3,9.0
FC,,50,0.5,-15.0,97.2,9.0,-11.0,87.1,9.0
FC,,51,0.51,-15.0,91.9,10.0,-11.0,72.2,9.0
FC,,52,0.52,-14.0,91.1,10.0,-10.0,97.3,10.0
FC,,53,0.53,-14.0,96.2,10.0,-11.0,92.5,10.0
FC,,54,0.54,-13.0,98.3,10.0,-10.0,98.6,11.0
FC,,55,0.55,-13.0,67.2,10.0,-9.0,71.3,11.0
FC,,56,0.56,-12.0,85.0,11.0,-9.0,74.8,12.0
FC,,57,0.57,-11.0,65.2,12.0,-9.0,75.1,12.0
FC,,58,0.58,-11.0,83.2,12.0,-8.0,94.8,12.0
FC,,59,0.59,-10.0,99.0,12.0,-8.0,105.3,13.0
FC,,60,0.6,-11.0,94.7,12.0,-8.0,105.3,13.0
FC,,61,0.61,-10.0,84.6,13.0,-8.0,80.6,13.0
FC,,62,0.62,-10.0,101.4,14.0,-7.0,106.5,13.0
FC,,63,0.63,-9.0,75.8,14.0,-6.0,68.4,14.0
FC,,64,0.64,-8.0,35.4,15.0,-7.0,63.7,14.0
FC,,65,0.65,-8.0,69.3,15.0,-7.0,77.6,15.0
FC,,66,0.66,-8.0,111.2,15.0,-6.0,93.3,16.0
FC,,67,0.67,-7.0,97.5,16.0,-6.0,100.7,17.0
FC,,68,0.68,-7.0,99.3,17.0,-6.0,75.4,16.0
FC,,69,0.69,-7.0,67.0,17.0,-5.0,98.2,19.0
FC,,70,0.7,-6.0,103.6,19.0,-5.0,63.5,20.0
FC,,71,0.71,-6.0,85.8,21.0,-5.0,104.6,21.0
FC,,72,0.72,-5.0,109.1,19.0,-5.0,107.9,21.0
FC,,73,0.73,-5.0,109.2,20.0,-4.0,68.1,22.0
FC,,74,0.74,-5.0,107.9,21.0,-4.0,97.2,23.0
FC,,75,0.75,-4.0,97.3,23.0,-4.0,68.3,24.0
FC,,76,0.76,-4.0,103.2,24.0,-3.0,56.6,24.0
FC,,77,0.77,-4.0,99.3,26.0,-3.0,97.8,25.0
FC,,78,0.78,-4.0,79.9,25.0,-3.0,95.8,25.0
FC,,79,0.79,-3.0,108.9,26.0,-3.0,99.3,26.0
FC,,80,0.8,-3.0,79.9,29.0,-2.0,89.8,28.0
FC,,81,0.81,-2.0,64.0,29.0,-2.0,100.9,28.0
FC,,82,0.82,-2.0,92.6,34.0,-1.0,69.6,31.0
FC,,83,0.83,-2.0,107.1,37.0,-1.0,80.9,35.0
FC,,84,0.84,-1.0,88.9,38.0,0.0,79.3,37.0
FC,,85,0.85,-1.0,96.5,40.0,0.0,90.7,40.0
FC,,86,0.86,0.0,97.0,42.0,0.0,82.7,42.0
FC,,87,0.87,0.0,80.9,43.0,0.0,90.7,40.0
FC,,88,0.88,0.0,96.7,49.0,1.0,74.6,46.0
FC,,89,0.89,1.0,92.4,51.0,1.0,98.4,51.0
FC,,90,0.9,1.0,89.9,52.0,1.0,98.2,55.0
FC,,91,0.91,1.0,101.5,56.0,2.0,96.3,52.0
FC,,92,0.92,2.0,104.8,57.0,2.0,96.3,52.0
FC,,93,0.93,2.0,94.1,61.0,2.0,94.4,60.0
FC,,94,0.94,2.0,107.0,66.0,3.0,84.9,59.0
FC,,95,0.95,3.0,103.1,64.0,3.0,84.1,65.0
FC,,96,0.96,3.0,94.4,76.0,3.0,107.1,75.0
FC,,97,0.97,4.0,96.2,78.0,4.0,86.0,70.0
FC,,98,0.98,4.0,101.7,80.0,4.0,94.5,76.0
FC,,99,0.99,5.0,98.5,85.0,5.0,81.1,81.0
FC,,100,1.0,5.0,98.5,85.0,5.0,98.5,85.0
FC3rd,,0,0.0,-57.0,58.8,2.0,-32.0,67.4,2.0
FC3rd,,1,0.01,-57.0,58.8,2.0,-32.0,67.4,2.0
FC3rd,,2,0.02,-57.0,73.2,2.0,-33.0,81.8,2.0
FC3rd,,3,0.03,-57.0,73.2,2.0,-32.0,103.0,2.0
FC3rd,,4,0.04,-58.0,77.5,2.0,-32.0,79.1,2.0
FC3rd,,5,0.05,-57.0,57.2,2.0,-30.0,67.4,2.0
FC3rd,,6,0.06,-59.0,65.0,2.0,-29.0,61.3,2.0
FC3rd,,7,0.07,-55.0,67.0,2.0,-24.0,88.3,3.0
FC3rd,,8,0.08,-53.0,81.9,2.0,-22.0,102.3,3.0
FC3rd,,9,0.09,-45.0,76.2,3.0,-21.0,63.8,3.0
FC3rd,,10,0.1,-44.0,78.4,3.0,-21.0,73.4,3.0
FC3rd,,11,0.11,-46.0,51.0,3.0,-21.0,90.9,3.0
FC3rd,,12,0.12,-45.0,28.7,3.0,-23.0,76.1,3.0
FC3rd,,13,0.13,-43.0,74.6,3.0,-23.0,84.2,3.0
FC3rd,,14,0.14,-45.0,28.7,3.0,-23.0,76.1,3.0
FC3rd,,15,0.15,-42.0,70.6,3.0,-22.0,90.8,4.0
FC3rd,,16,0.16,-39.0,79.0,3.0,-20.0,101.2,4.0
FC3rd,,17,0.17,-35.0,76.7,3.0,-18.0,90.9,4.0
FC3rd,,18,0.18,-36.0,93.8,4.0,-18.0,71.0,4.0
FC3rd,,19,0.19,-36.0,55.3,4.0,-18.0,71.0,4.0
FC3rd,,20,0.2,-38.0,80.5,4.0,-21.0,82.3,4.0
FC3rd,,21,0.21,-37.0,72.2,4.0,-19.0,90.8,4.0
FC3rd,,22,0.22,-37.0,72.2,4.0,-20.0,94.1,4.0
FC3rd,,23,0.23,-33.0,89.0,4.0,-20.0,85.0,4.0
FC3rd,,24,0.24,-32.0,93.8,4.0,-18.0,70.7,5.0
FC3rd,,25,0.25,-31.0,83.2,4.0,-17.0,75.2,5.0
FC3rd,,26,0.26,-29.0,85.7,5.0,-16.0,104.8,5.0
FC3rd,,27,0.27,-29.0,95.7,5.0,-17.0,75.2,5.0
FC3rd,,28,0.28,-28.0,75.7,5.0,-19.0,69.2,5.0
FC3rd,,29,0.29,-27.0,90.7,5.0,-17.0,87.1,5.0
FC3rd,,30,0.3,-28.0,72.7,5.0,-16.0,82.3,6.0
FC3rd,,31,0.31,-27.0,49.6,5.0,-15.0,107.3,5.0
FC3rd,,32,0.32,-26.0,84.5,6.0,-15.0,65.3,6.0
FC3rd,,33,0.33,-23.0,91.2,6.0,-15.0,87.4,6.0
FC3rd,,34,0.34,-23.0,85.3,6.0,-15.0,70.9,6.0
FC3rd,,35,0.35,-23.0,85.3,6.0,-15.0,87.4,6.0
FC3rd,,36,0.36,-23.0,60.1,6.0,-16.0,86.1,6.0
FC3rd,,37,0.37,-22.0,100.6,6.0,-14.0,98.3,7.0
FC3rd,,38,0.38,-21.0,55.2,7.0,-13.0,82.0,7.0
FC3rd,,39,0.39,-20.0,86.4,7.0,-14.0,78.7,7.0
FC3rd,,40,0.4,-21.0,81.7,7.0,-15.0,100.0,7.0
FC3rd,,41,0.41,-21.0,52.4,7.0,-16.0,80.1,7.0
FC3rd,,42,0.42,-21.0,85.2,8.0,-14.0,98.6,8.0
FC3rd,,43,0.43,-19.0,96.4,8.0,-13.0,101.7,8.0
FC3rd,,44,0.44,-18.0,86.8,8.0,-12.0,80.4,8.0
FC3rd,,45,0.45,-19.0,81.6,8.0,-12.0,106.8,8.0
FC3rd,,46,0.46,-18.0,56.3,8.0,-12.0,69.9,8.0
FC3rd,,47,0.47,-16.0,67.3,9.0,-11.0,75.4,9.0
FC3rd,,48,0.48,-15.0,74.1,9.0,-11.0,104.9,9.0
FC3rd,,49,0.49,-15.0,103.3,9.0,-12.0,100.3,9.0
FC3rd,,50,0.5,-15.0,97.2,9.0,-11.0,87.1,9.0
FC3rd,,51,0.51,-15.0,91.9,10.0,-11.0,72.2,9.0
FC3rd,,52,0.52,-14.0,91.1,10.0,-10.0,97.3,10.0
FC3rd,,53,0.53,-14.0,96.2,10.0,-11.0,92.5,10.0
FC3rd,,54,0.54,-13.0,98.3,10.0,-10.0,98.6,11.0
FC3rd,,55,0.55,-13.0,67.2,10.0,-9.0,71.3,11.0
FC3rd,,56,0.56,-12.0,85.0,11.0,-9.0,74.8,12.0
FC3rd,,57,0.57,-11.0,65.2,12.0,-9.0,75.1,12.0
FC3rd,,58,0.58,-11.0,83.2,12.0,-8.0,94.8,12.0
FC3rd,,59,0.59,-10.0,99.0,12.0,-8.0,105.3,13.0
FC3rd,,60,0.6,-11.0,94.7,12.0,-8.0,105.3,13.0
FC3rd,,61,0.61,-10.0,84.6,13.0,-8.0,80.6,13.0
FC3rd,,62,0.62,-10.0,101.4,14.0,-7.0,106.5,13.0
FC3rd,,63,0.63,-9.0,75.8,14.0,-6.0,68.4,14.0
FC3rd,,64,0.64,-8.0,35.4,15.0,-7.0,63.7,14.0
FC3rd,,65,0.65,-8.0,69.3,15.0,-7.0,77.6,15.0
FC3rd,,66,0.66,-8.0,111.2,15.0,-6.0,93.3,16.0
FC3rd,,67,0.67,-7.0,97.5,16.0,-6.0,100.7,17.0
FC3rd,,68,0.68,-7.0,99.3,17.0,-6.0,75.4,16.0
FC3rd,,69,0.69,-7.0,67.0,17.0,-5.0,98.2,19.0
FC3rd,,70,0.7,-6.0,103.6,19.0,-5.0,63.5,20.0
FC3rd,,71,0.71,-6.0,85.8,21.0,-5.0,104.6,21.0
FC3rd,,72,0.72,-5.0,109.1,19.0,-5.0,107.9,21.0
FC3rd,,73,0.73,-5.0,109.2,20.0,-4.0,68.1,22.0
FC3rd,,74,0.74,-5.0,107.9,21.0,-4.0,97.2,23.0
FC3rd,,75,0.75,-4.0,97.3,23.0,-4.0,68.3,24.0
