outs,obc,result,count,probability
1,001,IBB,1,0.00030721966205837174
1,010,GO,310,0.20221787345075015
1,010,K,283,0.18460534898891062
1,010,1B,202,0.13176777560339203
1,010,GORA,127,0.08284409654272668
1,010,FO,114,0.07436399217221135
1,010,BB,90,0.05870841487279843
1,010,2B,89,0.05805609915198956
1,010,1BWH,65,0.042400521852576645
1,010,PO,65,0.042400521852576645
1,010,HR,63,0.0410958904109589
1,010,DFO,30,0.019569471624266144
1,010,IF1B,26,0.016960208741030658
1,010,IBB,21,0.0136986301369863
1,010,3B,19,0.012393998695368558
1,010,LODP,15,0.009784735812133072
1,010,bAuto,6,0.003913894324853229
1,010,CS3,5,0.0032615786040443573
1,010,B1B,1,0.0006523157208088715
1,010,BFC,1,0.0006523157208088715
1,010,SB3,1,0.0006523157208088715
1,011,K,241,0.20406435224386113
1,011,1B,178,0.15071972904318373
1,011,FO,103,0.08721422523285352
1,011,DP21,102,0.0863674851820491
1,011,BB,90,0.07620660457239628
1,011,DP31,85,0.07197290431837426
1,011,FC3rd,60,0.05080440304826418
1,011,2B,57,0.04826418289585097
1,011,PO,50,0.04233700254022015
1,011,FC,40,0.03386960203217612
1,011,IF1B,40,0.03386960203217612
1,011,HR,39,0.03302286198137172
1,011,GORA,25,0.021168501270110076
1,011,1BWH,19,0.016088060965283656
1,011,3B,16,0.013547840812870448
1,011,DFO,15,0.012701100762066046
1,011,2BWH,11,0.009314140558848433
1,011,1BWH2,5,0.004233700254022015
1,011,CS3,2,0.001693480101608806
1,011,B1B,1,0.000846740050804403
1,011,IBB,1,0.000846740050804403
1,011,bAuto,1,0.000846740050804403
1,100,K,104,0.2458628841607565
1,100,1B,84,0.19858156028368795
1,100,GO,74,0.17494089834515367
1,100,SacF,46,0.10874704491725769
1,100,BB,24,0.05673758865248227
1,100,2B,21,0.04964539007092199
1,100,GORA,18,0.0425531914893617
1,100,HR,16,0.037825059101654845
1,100,PO,16,0.037825059101654845
1,100,IBB,7,0.016548463356973995
1,100,3B,5,0.01182033096926714
1,100,IF1B,4,0.009456264775413711
1,100,Balk,1,0.002364066193853428
1,100,CS4,1,0.002364066193853428
1,100,LODP,1,0.002364066193853428
1,100,bAuto,1,0.002364066193853428
1,101,K,135,0.2115987460815047
1,101,FC,74,0.11598746081504702
1,101,DP,70,0.109717868338558
1,101,1B,60,0.09404388714733543
1,101,SacF,53,0.08307210031347963
1,101,HR,36,0.05642633228840126
1,101,SB2,35,0.054858934169279
1,101,2B,33,0.05172413793103448
1,101,BB,33,0.05172413793103448
1,101,1BWH,27,0.04231974921630094
1,101,PO,21,0.032915360501567396
1,101,2BWH,14,0.0219435736677116
1,101,GORA,14,0.0219435736677116
1,101,IF1B,12,0.018808777429467086
1,101,CS2,9,0.014106583072100314
1,101,3B,6,0.009404388714733543
1,101,IBB,3,0.004702194357366771
1,101,FO,2,0.003134796238244514
1,101,Balk,1,0.001567398119122257
1,110,K,81,0.1883720930232558
1,110,GO,74,0.17209302325581396
1,110,1B,62,0.14418604651162792
1,110,SacF,33,0.07674418604651163
1,110,BB,32,0.07441860465116279
1,110,IBB,30,0.06976744186046512
1,110,2B,29,0.06744186046511629
1,110,GORA,26,0.06046511627906977
1,110,PO,17,0.03953488372093023
1,110,1BWH,13,0.030232558139534883
1,110,HR,13,0.030232558139534883
1,110,3B,10,0.023255813953488372
1,110,DSacF,7,0.01627906976744186
1,110,LODP,2,0.004651162790697674
1,110,IF1B,1,0.002325581395348837
1,111,K,127,0.20385232744783308
1,111,1B,80,0.12841091492776885
1,111,SacF,53,0.08507223113964688
1,111,DPH1,50,0.08025682182985554
1,111,DP21,41,0.06581059390048154
1,111,GORA,37,0.0593900481540931
1,111,DP31,36,0.05778491171749599
1,111,BB,33,0.052969502407704656
1,111,FCH,32,0.051364365971107544
1,111,2B,30,0.048154093097913325
1,111,PO,28,0.0449438202247191
1,111,HR,22,0.03531300160513644
1,111,1BWH,13,0.02086677367576244
1,111,DSacF,11,0.01765650080256822
1,111,3B,10,0.016051364365971106
1,111,IF1B,8,0.012841091492776886
1,111,2BWH,5,0.008025682182985553
1,111,1BWH2,3,0.004815409309791332
1,111,CS4,1,0.0016051364365971107
1,111,FO,1,0.0016051364365971107
1,111,IBB,1,0.0016051364365971107
1,111,bAuto,1,0.0016051364365971107
2,000,GO,1657,0.2855419610546269
2,000,K,1214,0.20920213682577976
2,000,1B,1010,0.17404790625538513
2,000,FO,546,0.09408926417370325
2,000,BB,371,0.06393244873341375
2,000,2B,350,0.06031363088057901
2,000,HR,240,0.04135791831811132
2,000,PO,201,0.03463725659141823
2,000,IF1B,125,0.021540582457349647
2,000,3B,70,0.012062726176115802
2,000,bAuto,10,0.0017232465965879718
2,000,IBB,4,0.0006892986386351886
2,000,pAuto,3,0.0005169739789763915
2,000,B1B,2,0.0003446493193175943
2,001,GO,863,0.2676799007444169
2,001,K,580,0.17990074441687345
2,001,FO,277,0.0859181141439206
2,001,1B,249,0.07723325062034739
2,001,1BWH,224,0.06947890818858561
2,001,BB,199,0.06172456575682382
2,001,SB2,184,0.05707196029776675
2,001,HR,143,0.04435483870967742
2,001,PO,127,0.03939205955334987
2,001,CS2,95,0.02946650124069479
2,001,2B,92,0.028535980148883373
2,001,2BWH,80,0.02481389578163772
2,001,IF1B,63,0.019540942928039703
2,001,3B,36,0.011166253101736972
2,001,bAuto,9,0.002791563275434243
2,001,IBB,2,0.0006203473945409429
2,001,Balk,1,0.00031017369727047146
2,010,GO,514,0.282883874518437
2,010,K,361,0.19867914144193727
2,010,1BWH,190,0.10456796917996698
2,010,FO,175,0.09631260319207485
2,010,1B,143,0.0787011557512383
2,010,BB,128,0.07044578976334617
2,010,2B,100,0.0550357732526142
2,010,HR,65,0.03577325261419923
2,010,PO,61,0.033571821684094665
2,010,IF1B,41,0.022564667033571822
2,010,3B,25,0.01375894331315355
2,010,SB3,5,0.00275178866263071
2,010,Balk,3,0.001651073197578426
2,010,CS3,2,0.001100715465052284
2,010,IBB,2,0.001100715465052284
2,010,B1B,1,0.000550357732526142
2,010,bAuto,1,0.000550357732526142
2,011,GO,330,0.2560124127230411
2,011,K,264,0.20480993017843288
2,011,FO,141,0.10938712179984485
2,011,1B,114,0.08844065166795965
2,011,BB,88,0.0682699767261443
2,011,1BWH,77,0.05973622963537626
2,011,2B,57,0.04422032583397983
2,011,2BWH,55,0.04266873545384019
2,011,HR,55,0.04266873545384019
2,011,PO,48,0.037238169123351435
2,011,1BWH2,26,0.02017067494181536
2,011,IF1B,21,0.016291698991466253
2,011,3B,9,0.0069821567106283944
2,011,IBB,2,0.0015515903801396431
2,011,bAuto,2,0.0015515903801396431
2,100,GO,185,0.28637770897832815
2,100,K,125,0.19349845201238391
2,100,1B,117,0.18111455108359134
2,100,FO,65,0.10061919504643962
2,100,2B,41,0.06346749226006192
2,100,BB,35,0.05417956656346749
2,100,HR,24,0.03715170278637771
2,100,PO,20,0.030959752321981424
2,100,IF1B,16,0.02476780185758514
2,100,3B,8,0.01238390092879257
2,100,CS4,5,0.007739938080495356
2,100,BFC,1,0.0015479876160990713
2,100,BGO,1,0.0015479876160990713
2,100,IBB,1,0.0015479876160990713
2,100,SB4,1,0.0015479876160990713
2,100,bAuto,1,0.0015479876160990713
2,101,GO,261,0.2599601593625498
2,101,K,203,0.20219123505976094
2,101,1BWH,108,0.10756972111553785
2,101,1B,90,0.08964143426294821
2,101,FO,71,0.07071713147410359
2,101,BB,67,0.06673306772908366
2,101,HR,41,0.04083665338645418
2,101,PO,40,0.0398406374501992
2,101,2B,35,0.0348605577689243
2,101,2BWH,30,0.029880478087649404
2,101,SB2,22,0.021912350597609563
2,101,IF1B,21,0.02091633466135458
2,101,3B,7,0.0069721115537848604
2,101,CS2,5,0.0049800796812749
2,101,CS4,1,0.00099601593625498
2,101,IBB,1,0.00099601593625498
2,101,bAuto,1,0.00099601593625498
2,110,GO,133,0.2860215053763441
2,110,K,90,0.1935483870967742
2,110,1BWH,49,0.1053763440860215
2,110,2B,44,0.09462365591397849
2,110,FO,40,0.08602150537634409
2,110,1B,37,0.07956989247311828
2,110,BB,27,0.05806451612903226
2,110,PO,16,0.034408602150537634
2,110,HR,15,0.03225806451612903
2,110,IF1B,8,0.017204301075268817
2,110,3B,5,0.010752688172043012
2,110,IBB,1,0.002150537634408602
2,111,GO,176,0.29042904290429045
2,111,K,117,0.19306930693069307
2,111,FO,60,0.09900990099009901
2,111,1B,54,0.0891089108910891
2,111,1BWH,42,0.06930693069306931
2,111,BB,41,0.06765676567656766
2,111,HR,26,0.0429042904290429
2,111,PO,22,0.036303630363036306
2,111,2BWH,21,0.034653465346534656
2,111,2B,14,0.0231023102310231
2,111,3B,12,0.019801980198019802
2,111,1BWH2,10,0.0165016501650165
2,111,IF1B,10,0.0165016501650165
2,111,B1B,1,0.0016501650165016502
